date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id,steam_candidates
2014-07-10,00:41.25,kil boy 1,jump_egyptian_b2,WR,Course 2,,-00:21.07,,false,10172,76561198040983512,STEAM_0:0:40358892,
2014-07-10,00:54.23,kil boy 1,jump_egyptian_b2,WR,Course 1,,-00:11.97,,false,10172,76561198040983512,STEAM_0:0:40358892,
2014-07-10,01:40.34,kil boy 1,jump_egyptian_b2,WR,MapRecord,,-00:39.90,,false,10172,76561198040983512,STEAM_0:0:40358892,
2014-07-10,01:40.34,kil boy 1,jump_egyptian_b2,WR,IRC,,-00:39.90,,false,10173,76561198040983512,STEAM_0:0:40358892,
2014-10-11,01:30.31,Koi Passionbreez,jump_egyptian_b2,WR,IRC,,-00:10.03,,false,22880,,,
2014-10-11,01:30.31,Koi Passionbreez,jump_egyptian_b2,WR,IRC,,-00:10.03,,false,22883,,,
2014-10-11,00:36.52,Koi Passionbreez,jump_egyptian_b2,WR,Course 2,,-00:03.39,00:04.98,false,22884,,,
2014-10-11,00:40.52,Koi Passionbreez,jump_egyptian_b2,WR,Course 1,,-00:02.96,00:02.96,false,22884,,,
2014-10-11,00:43.49,Koi Passionbreez,jump_egyptian_b2,WR,Course 1,,-00:00.22,00:00.22,false,22884,,,
2014-10-11,00:43.72,Koi Passionbreez,jump_egyptian_b2,WR,Course 1,,-00:00.64,00:00.64,false,22884,,,
2014-10-11,00:44.37,Koi Passionbreez,jump_egyptian_b2,WR,Course 1,,-00:01.58,00:01.58,false,22884,,,
2014-10-11,00:45.95,Koi Passionbreez,jump_egyptian_b2,WR,Course 1,,-00:06.45,00:06.45,false,22884,,,
2014-10-11,00:52.40,Koi Passionbreez,jump_egyptian_b2,WR,Course 1,,-00:01.82,00:05.96,false,22884,,,
2014-10-11,01:30.31,Koi Passionbreez,jump_egyptian_b2,WR,MapRecord,,-00:10.03,00:14.08,false,22884,,,
2015-08-21,00:35.05,sunrise,jump_egyptian_b2,WR,Course 2,,-00:00.86,00:07.17,false,131017,76561198042495717,[U:1:82229989],
2015-08-21,01:32.42,sunrise,jump_egyptian_b2,WR,MapRecord,,-00:07.92,00:16.91,false,131017,76561198042495717,[U:1:82229989],
2015-08-21,01:40.34,alle,jump_egyptian_b2,WR,Compact,,,,false,131017,,,
2015-08-21,01:40.34,alle,jump_egyptian_b2,WR,Compact,,,,false,131017,,,
2015-08-21,01:40.34,alle,jump_egyptian_b2,WR,Ranked,,,,true,131017,,,
2015-08-21,01:40.34,sunrise,jump_egyptian_b2,WR,MapRun,02:15.35,+00:35.01,,true,131017,76561198042495717,[U:1:82229989],
2015-08-21,01:40.35,sunrise,jump_egyptian_b2,WR,MapRun,01:49.34,+00:08.99,00:09.23,true,131017,76561198042495717,[U:1:82229989],
2015-08-21,01:40.35,sunrise,jump_egyptian_b2,WR,MapRun,01:58.88,+00:18.53,,true,131017,76561198042495717,[U:1:82229989],
2015-08-21,01:40.35,sunrise,jump_egyptian_b2,WR,MapRun,03:48.82,+02:08.47,,true,131017,76561198042495717,[U:1:82229989],
2015-08-21,01:32.42,sunrise,jump_egyptian_b2,WR,IRC,,-00:07.92,,false,131055,,,
2015-09-13,00:34.64,snrs,jump_egyptian_b2,WR,Course 2,,-00:01.27,00:25.74,false,139779,76561198042495717,[U:1:82229989],
2015-09-13,00:43.79,snrs,jump_egyptian_b2,WR,Course 1,,-00:00.55,00:02.82,false,139779,76561198042495717,[U:1:82229989],
2015-09-13,01:30.10,snrs,jump_egyptian_b2,WR,MapRecord,,-00:10.24,00:34.93,false,139779,76561198042495717,[U:1:82229989],
2015-09-13,01:30.10,snrs,jump_egyptian_b2,WR,Compact,,,,false,139779,76561198042495717,[U:1:82229989],
2015-09-13,01:30.10,snrs,jump_egyptian_b2,WR,Compact,,,,false,139779,76561198042495717,[U:1:82229989],
2015-09-13,01:30.10,Dr. Heinz,jump_egyptian_b2,WR,MapRun,05:56.48,+04:26.38,,true,139779,76561197999361638,[U:1:39095910],
2015-09-13,01:30.10,Funk,jump_egyptian_b2,WR,MapRun,10:28.09,+08:57.99,,true,139779,76561198044533177,[U:1:84267449],
2015-09-13,01:30.10,Kucino -tt,jump_egyptian_b2,WR,MapRun,01:36.89,+00:06.79,00:18.43,true,139779,76561198045405184,[U:1:85139456],
2015-09-13,01:30.10,Qwerty シ,jump_egyptian_b2,WR,MapRun,05:21.04,+03:50.94,,true,139779,76561198039397836,[U:1:79132108],
2015-09-13,01:30.10,geto,jump_egyptian_b2,WR,MapRun,27:42.88,+26:12.78,,true,139779,76561198138628577,[U:1:178362849],
2015-09-13,01:30.10,moofy,jump_egyptian_b2,WR,MapRun,02:06.59,+00:36.49,00:18.71,true,139779,76561198060322392,[U:1:100056664],
2015-09-13,01:30.10,moofy,jump_egyptian_b2,WR,MapRun,02:09.40,+00:39.30,,true,139779,76561198060322392,[U:1:100056664],
2015-09-13,01:30.10,moofy,jump_egyptian_b2,WR,MapRun,02:25.31,+00:55.21,00:26.36,true,139779,76561198060322392,[U:1:100056664],
2015-09-13,01:30.10,moofy,jump_egyptian_b2,WR,MapRun,02:51.68,+01:21.58,,true,139779,76561198060322392,[U:1:100056664],
2015-09-13,01:30.10,porkie,jump_egyptian_b2,WR,MapRun,05:46.64,+04:16.54,,true,139779,76561198054239403,[U:1:93973675],
2015-09-13,01:30.10,twitch.tv/avadot,jump_egyptian_b2,WR,MapRun,15:43.98,+14:13.88,,true,139779,,,
2015-09-13,01:30.11,yip yip,jump_egyptian_b2,WR,MapRun,13:43.68,+12:13.57,,true,139779,76561198094652091,[U:1:134386363],
2015-09-13,01:40.35,snrs,jump_egyptian_b2,WR,MapRun,02:05.03,+00:24.68,,true,139779,76561198042495717,[U:1:82229989],
2018-01-10,00:28.39,gonk,jump_egyptian_b2,WR,Course 2,,-00:00.07,00:01.91,false,548837,76561198396018338,[U:1:435752610],
2018-01-10,00:39.59,gonk,jump_egyptian_b2,WR,Course 1,,-00:00.24,00:01.72,false,548837,76561198396018338,[U:1:435752610],
2018-01-10,01:19.39,gonk,jump_egyptian_b2,WR,MapRecord,,-00:01.18,00:01.18,false,548837,76561198396018338,[U:1:435752610],
2018-01-10,01:19.39,gonk,jump_egyptian_b2,WR,Compact,,,,false,548837,76561198396018338,[U:1:435752610],
2018-01-10,01:19.39,Illuminated Exil,jump_egyptian_b2,WR,MapRun,10:50.87,+09:31.48,,true,548837,,,
2018-01-10,01:19.39,gonk,jump_egyptian_b2,WR,Ranked,,,,true,548837,76561198396018338,[U:1:435752610],
2018-01-10,01:19.40,Consition,jump_egyptian_b2,WR,MapRun,06:45.27,+05:25.87,,true,548837,76561198045329479,[U:1:85063751],
2018-01-10,01:20.58,gonk,jump_egyptian_b2,WR,MapRecord,,-00:00.77,00:04.39,false,548837,76561198396018338,[U:1:435752610],
2018-01-10,01:21.36,gonk,jump_egyptian_b2,WR,MapRun,01:53.20,+00:31.84,,true,548837,76561198396018338,[U:1:435752610],
2018-01-28,01:19.19,mesatech,jump_egyptian_b2,WR,MapRecord,,-00:00.19,00:17.35,false,562501,76561198111845972,[U:1:151580244],
2018-01-28,01:19.39,mesatech,jump_egyptian_b2,WR,MapRun,01:36.55,+00:17.16,00:02.20,true,562501,76561198111845972,[U:1:151580244],
2018-01-28,01:19.39,mesatech,jump_egyptian_b2,WR,MapRun,01:38.75,+00:19.36,00:12.51,true,562501,76561198111845972,[U:1:151580244],
2018-02-05,00:28.39,gonk,jump_egyptian_b2,WR,Course 2,,,,false,569104,76561198396018338,[U:1:435752610],
2018-02-05,00:38.08,gonk,jump_egyptian_b2,WR,Course 1,,-00:00.91,00:00.91,false,569104,76561198396018338,[U:1:435752610],
2018-02-05,00:39.00,gonk,jump_egyptian_b2,WR,Course 1,,-00:00.44,00:00.44,false,569104,76561198396018338,[U:1:435752610],
2018-02-05,00:39.44,gonk,jump_egyptian_b2,WR,Course 1,,-00:00.15,00:00.15,false,569104,76561198396018338,[U:1:435752610],
2018-02-05,00:39.59,gonk,jump_egyptian_b2,WR,Course 1,,,,false,569104,76561198396018338,[U:1:435752610],
2018-02-05,01:14.29,gonk,jump_egyptian_b2,WR,MapRecord,,-00:04.90,00:05.09,false,569104,76561198396018338,[U:1:435752610],
2018-02-05,01:14.29,DOPeD DeAF DAVe,jump_egyptian_b2,WR,MapRun,13:37.61,+12:23.32,,true,569104,76561198163830422,[U:1:203564694],
2018-02-05,01:14.29,Steve,jump_egyptian_b2,WR,MapRun,01:57.76,+00:43.47,00:17.41,true,569104,76561198063901478,[U:1:103635750],
2018-02-05,01:14.29,enrith,jump_egyptian_b2,WR,MapRun,13:07.69,+11:53.40,,true,569104,76561198051825104,[U:1:91559376],
2018-02-05,01:14.29,scotch,jump_egyptian_b2,WR,MapRun,01:53.45,+00:39.16,00:25.02,true,569104,76561198041597961,[U:1:81332233],
2018-02-05,01:14.30,scotch,jump_egyptian_b2,WR,MapRun,01:51.58,+00:37.28,00:01.87,true,569104,76561198041597961,[U:1:81332233],
2018-02-05,01:19.19,mesatech,jump_egyptian_b2,WR,Compact,,,,false,569104,,,
2018-02-05,01:19.19,mesatech,jump_egyptian_b2,WR,Compact,,,,false,569104,,,
2018-02-05,01:19.19,mesatech,jump_egyptian_b2,WR,Compact,,,,false,569104,,,
2018-02-05,01:19.19,mesatech,jump_egyptian_b2,WR,Compact,,,,false,569104,,,
2018-02-05,01:19.19,mesatech,jump_egyptian_b2,WR,Compact,,,,false,569104,,,
2018-02-05,01:19.19,Nycryte,jump_egyptian_b2,WR,MapRun,11:01.22,+09:42.03,,true,569104,76561198105277071,[U:1:145011343],
2018-02-05,01:19.19,gonk,jump_egyptian_b2,WR,MapRun,01:19.82,+00:00.63,,true,569104,76561198396018338,[U:1:435752610],
