date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id,steam_candidates
2015-08-20,51:00.67,seras,jump_egyptian_b2,WR,Course 2 First,,,,false,130729,76561198060172237,[U:1:99906509],
2015-08-20,55:58.36,seras,jump_egyptian_b2,WR,FirstRecord,,,,false,130729,76561198060172237,[U:1:99906509],
2015-08-21,55:58.36,seras,jump_egyptian_b2,WR,Compact,,,,false,131017,76561198060172237,[U:1:99906509],
2015-08-21,55:58.36,seras,jump_egyptian_b2,WR,Compact,,,,false,131017,76561198060172237,[U:1:99906509],
2015-08-21,55:58.36,seras | tipofthe,jump_egyptian_b2,WR,Compact,,,,false,131017,,,
2015-09-13,01:21.78,porkie,jump_egyptian_b2,WR,Course 1,,-00:04.56,00:07.06,false,139779,76561198054239403,[U:1:93973675],
2015-09-13,01:26.34,guyyst | tipofth,jump_egyptian_b2,WR,Course 1,,,,false,139779,,,
2015-09-13,01:26.34,guyyst | tipofth,jump_egyptian_b2,WR,Course 1,,-00:02.50,00:09.93,false,139779,,,
2015-09-13,01:28.84,porkie,jump_egyptian_b2,WR,Course 1,,-00:00.68,00:02.50,false,139779,76561198054239403,[U:1:93973675],
2015-09-13,01:29.53,func,jump_egyptian_b2,WR,Course 1,,-00:03.15,00:18.93,false,139779,76561198088581265,[U:1:128315537],
2015-09-13,01:32.69,porkie,jump_egyptian_b2,WR,Course 1,,-00:02.66,00:31.58,false,139779,76561198054239403,[U:1:93973675],
2015-09-13,01:35.35,Bøshy,jump_egyptian_b2,WR,Course 1,,,,false,139779,76561198046601398,[U:1:86335670],
2015-09-13,02:40.84,seras,jump_egyptian_b2,WR,Course 2,,,,false,139779,76561198060172237,[U:1:99906509],
2015-09-13,02:40.84,seras,jump_egyptian_b2,WR,Course 2,,,,false,139779,76561198060172237,[U:1:99906509],
2015-09-13,04:34.81,seras,jump_egyptian_b2,WR,Compact,,,,false,139779,76561198060172237,[U:1:99906509],
2015-09-13,04:34.81,seras,jump_egyptian_b2,WR,Compact,,,,false,139779,76561198060172237,[U:1:99906509],
2015-09-13,04:34.81,seras,jump_egyptian_b2,WR,IRC,,-51:23.55,,false,139779,76561198060172237,[U:1:99906509],
2015-09-13,55:58.36,seras,jump_egyptian_b2,WR,Compact,,,,false,139779,76561198060172237,[U:1:99906509],
2015-09-13,55:58.36,seras,jump_egyptian_b2,WR,Compact,,,,false,139779,76561198060172237,[U:1:99906509],
2015-09-13,55:58.36,seras,jump_egyptian_b2,WR,Compact,,,,false,139779,76561198060172237,[U:1:99906509],
2015-09-13,55:58.36,seras,jump_egyptian_b2,WR,Compact,,,,false,139779,76561198060172237,[U:1:99906509],
2015-09-13,02:40.84,seras,jump_egyptian_b2,WR,Course 2,,-48:19.82,48:19.82,false,139835,76561198060172237,[U:1:99906509],
2015-09-13,04:34.81,seras,jump_egyptian_b2,WR,MapRecord,,-51:23.55,51:23.55,false,139835,76561198060172237,[U:1:99906509],
