date,record_time,player,map,record_type,segment,evidence,evidence_source,run_time,split,improvement,demo_id,steam_id64,steam_id,steam_candidates
2018-06-19,05:38.22,MR. big Painis,jump_elite,WR,Map,command,wr_command,,,,,,,
2018-10-24,00:36.83,BIGTROLL,jump_elite,WR,C1 - Grassy Grove,record,zone_record,,-00:00.73,00:01.68,798358,76561198066351321,[U:1:106085593],
2020-02-17,00:48.19,[LT]slayer250,jump_elite,WR,Course 3,command,wr_command,,,,,,,
2020-09-24,00:42.52,The Demon Core .,jump_elite,WR,Course 2,command,wr_command,,,,,,,
2020-09-24,00:41.84,mr gato,jump_elite,WR,C2 - Hardware Hurtles,record,zone_record,,-00:00.68,00:03.35,1367121,76561198126091800,[U:1:165826072],
2020-09-29,00:35.80,mr gato,jump_elite,WR,C1 - Grassy Grove,record,zone_record,,-00:01.02,00:01.21,1372488,76561198126091800,[U:1:165826072],
2022-03-27,05:14.82,hool,jump_elite,WR,Map,record,map_record,,-00:23.40,00:31.66,1899721,76561198090809881,[U:1:130544153],
2022-03-27,00:46.87,hool,jump_elite,WR,C3 - Cyberspace Cell,record,zone_record,,-00:01.14,00:03.88,1899721,76561198090809881,[U:1:130544153],
2022-03-30,00:35.80,I Deaf & Blind,jump_elite,WR,Course 1,command,wr_command,,,,,76561198126091800,[U:1:165826072],
2022-03-30,00:43.96,riot,jump_elite,WR,C3 - Cyberspace Cell,record,zone_record,,-00:02.91,00:12.31,1901977,76561198065169685,[U:1:104903957],
2022-03-30,00:40.05,riot,jump_elite,WR,C2 - Hardware Hurtles,record,zone_record,,-00:01.79,00:04.36,1901977,76561198065169685,[U:1:104903957],
2022-03-30,00:38.82,riot,jump_elite,WR,C2 - Hardware Hurtles,record,zone_record,,-00:01.23,00:01.23,1901977,76561198065169685,[U:1:104903957],
2022-03-30,01:54.46,riot,jump_elite,WR,C4 - Ruinous Realm,record,zone_record,,-00:10.44,00:10.95,1902280,76561198065169685,[U:1:104903957],
2022-12-04,00:38.52,Rellort,jump_elite,WR,C2 - Hardware Hurtles,record,zone_record,,-00:00.69,00:00.69,2137012,76561198090668406,[U:1:130402678],
2022-12-06,00:43.69,Rellort,jump_elite,WR,C3 - Cyberspace Cell,record,zone_record,,-00:00.27,00:06.72,2138170,76561198090668406,[U:1:130402678],
2022-12-29,05:05.46,kanye east,jump_elite,WR,Map,record,map_record,,-00:09.36,00:13.78,2162478,76561198102462417,[U:1:142196689],
2022-12-31,05:01.26,wrath,jump_elite,WR,Map,record,map_record,,-00:04.20,00:04.20,2165052,76561198102462417,[U:1:142196689],
2023-01-01,04:55.53,wrath,jump_elite,WR,Map,record,map_record,,-00:05.73,00:05.73,2165763,76561198102462417,[U:1:142196689],
2025-01-10,01:49.57,spidda,jump_elite,WR,C4 - Ruinous Realm,record,zone_record,,-00:04.89,00:11.32,3212417,76561198057436685,[U:1:97170957],
2025-01-15,00:38.11,spidda,jump_elite,WR,C2 - Hardware Hurtles,record,zone_record,,-00:00.40,00:00.97,3220114,76561198057436685,[U:1:97170957],
2025-01-15,00:37.65,spidda,jump_elite,WR,C2 - Hardware Hurtles,record,zone_record,,-00:00.46,00:00.46,3220114,76561198057436685,[U:1:97170957],
2025-01-15,00:37.29,spidda,jump_elite,WR,C2 - Hardware Hurtles,record,zone_record,,-00:00.36,00:00.36,3220114,76561198057436685,[U:1:97170957],
2025-01-16,00:41.89,spidda,jump_elite,WR,C3 - Cyberspace Cell,record,zone_record,,-00:01.51,00:01.51,3222633,76561198057436685,[U:1:97170957],
2025-01-17,00:35.77,spidda,jump_elite,WR,C1 - Grassy Grove,record,zone_record,,-00:00.03,00:01.08,3223147,76561198057436685,[U:1:97170957],
2025-01-17,04:43.86,spidda,jump_elite,WR,Map,record,map_record,,-00:11.67,00:12.39,3223147,76561198057436685,[U:1:97170957],
2025-02-12,00:35.77,spidda,jump_elite,WR,Course 1,command,rank_command,,,,,,,
2025-06-10,00:36.26,bugaj cenat,jump_elite,WR,C2 - Hardware Hurtles,record,zone_record,,-00:01.18,00:01.18,3356253,76561199514776310,[U:1:1554510582],
2025-06-10,01:46.68,bugaj cenat,jump_elite,WR,C4 - Ruinous Realm,record,zone_record,,-00:03.81,00:03.81,3356453,76561199514776310,[U:1:1554510582],
2025-06-13,00:40.58,vice,jump_elite,WR,C3 - Cyberspace Cell,record,zone_record,,-00:00.54,00:00.78,3360001,76561198366368448,[U:1:406102720],
2025-06-14,00:36.26,bugaj cenat,jump_elite,WR,Course 2,command,wr_command,,,,,76561199514776310,[U:1:1554510582],
2025-06-14,00:40.58,vice,jump_elite,WR,Course 3,command,wr_command,,,,,,,
2025-06-14,00:40.10,bugaj cenat,jump_elite,WR,C3 - Cyberspace Cell,record,zone_record,,-00:00.52,00:00.52,3362167,76561199514776310,[U:1:1554510582],
2025-06-20,00:35.48,YOUMAKEMYHATEPEN,jump_elite,WR,C1 - Grassy Grove,record,zone_record,,-00:00.39,00:00.39,3369736,,,
2025-08-05,00:35.10,vice,jump_elite,WR,C1 - Grassy Grove,record,zone_record,,-00:00.38,00:02.13,3436668,76561198366368448,[U:1:406102720],
2025-08-05,00:34.38,nikita@gosuslugi,jump_elite,WR,C1 - Grassy Grove,record,zone_record,,-00:00.75,00:00.75,3436776,,,
2025-08-29,01:46.47,"ุhelmi,,,,",jump_elite,WR,C4 - Ruinous Realm,record,zone_record,,-00:00.21,00:19.78,3471187,76561198201985399,[U:1:241719671],
2025-08-29,04:43.58,"ุhelmi,,,,",jump_elite,WR,Map,record,map_record,,-00:00.28,00:08.64,3471361,76561198201985399,[U:1:241719671],
2025-08-30,00:34.38,nikita@gosuslugi,jump_elite,WR,Course 1,command,rank_command,,,,,,,
2025-08-30,01:45.18,nikita@gosuslugi,jump_elite,WR,C4 - Ruinous Realm,record,zone_record,,-00:01.50,00:01.50,3472368,,,
