date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id,steam_candidates
2020-07-21,06:10.48,maxxy,jump_empusa_final,WR,IRCSet,,,,false,1306444,76561198083235528,[U:1:122969800],
2020-07-21,06:10.48,maxxy,jump_empusa_final,WR,IRCSet,,,,false,1306592,76561198083235528,[U:1:122969800],
2020-07-21,00:09.93,maxxy,jump_empusa_final,WR,Bonus 1,,-00:02.24,,false,1306598,76561198083235528,[U:1:122969800],
2020-07-21,00:12.18,Katto,jump_empusa_final,WR,Bonus 1 First,,,,false,1306598,76561198346669763,[U:1:386404035],
2020-07-21,06:10.48,maxxy,jump_empusa_final,WR,FirstRecord,,,,false,1306598,76561198083235528,[U:1:122969800],
2020-07-21,06:10.48,maxxy,jump_empusa_final,WR,IRCSet,,,,false,1306609,76561198083235528,[U:1:122969800],
2020-07-21,06:10.48,maxxy,jump_empusa_final,WR,IRCSet,,,,false,1306615,,,
2020-07-21,04:48.88,Pinki,jump_empusa_final,WR,Ranked,,,,true,1306613,76561198063239281,[U:1:102973553],
2020-07-21,06:10.48,maxxy,jump_empusa_final,WR,IRCSet,,,,false,1306613,,,
2020-07-21,06:10.48,maxxy,jump_empusa_final,WR,IRCSet,,,,false,1306614,,,
2020-07-21,06:10.48,maxxy,jump_empusa_final,WR,IRCSet,,,,false,1306631,,,
2020-07-21,00:08.20,riot,jump_empusa_final,WR,Bonus 1,,-00:01.72,,false,1306678,76561198065169685,[U:1:104903957],
2020-07-22,03:16.30,riot,jump_empusa_final,WR,IRC,,-01:32.58,,false,1306885,,,
2020-07-22,02:09.07,riot,jump_empusa_final,WR,IRC,,-01:07.23,,false,1307001,,,
2020-07-22,03:16.30,riot,jump_empusa_final,WR,IRC,,-01:32.58,,false,1307001,,,
2020-07-22,02:09.07,riot,jump_empusa_final,WR,IRC,,-01:07.23,,false,1307007,,,
2020-07-22,03:16.30,riot,jump_empusa_final,WR,IRC,,-01:32.58,,false,1307007,,,
2020-07-22,02:09.07,riot,jump_empusa_final,WR,IRC,,-01:07.23,,false,1307045,,,
2020-07-22,03:16.30,riot,jump_empusa_final,WR,IRC,,-01:32.58,,false,1307045,,,
2020-07-22,02:09.07,riot,jump_empusa_final,WR,IRC,,-01:07.23,,false,1307059,,,
2020-07-22,03:16.30,riot,jump_empusa_final,WR,IRC,,-01:32.58,,false,1307059,,,
2020-07-22,02:09.07,riot,jump_empusa_final,WR,IRC,,-01:07.23,,false,1307069,,,
2020-07-22,03:16.30,riot,jump_empusa_final,WR,IRC,,-01:32.58,,false,1307069,,,
2020-07-22,02:09.07,riot,jump_empusa_final,WR,IRC,,-01:07.23,,false,1307070,,,
2020-07-22,03:16.30,riot,jump_empusa_final,WR,IRC,,-01:32.58,,false,1307070,,,
2020-07-22,02:09.07,riot,jump_empusa_final,WR,IRC,,-01:07.23,,false,1307071,,,
2020-07-22,03:16.30,riot,jump_empusa_final,WR,IRC,,-01:32.58,,false,1307071,,,
2020-07-22,00:07.80,riot,jump_empusa_final,WR,Bonus 1,,-00:00.08,00:00.09,false,1307078,76561198065169685,[U:1:104903957],
2020-07-22,00:07.88,Elandi!! -mm -So,jump_empusa_final,WR,Bonus 1,,-00:00.31,00:00.31,false,1307078,,,
2020-07-22,02:09.07,riot,jump_empusa_final,WR,MapRecord,,-01:07.23,01:07.23,false,1307078,76561198065169685,[U:1:104903957],
2020-07-22,03:16.30,riot,jump_empusa_final,WR,MapRecord,,-01:32.58,04:02.14,false,1307078,76561198065169685,[U:1:104903957],
2020-07-22,02:09.07,riot,jump_empusa_final,WR,IRC,,-01:07.23,,false,1307106,,,
2020-07-22,02:09.07,riot,jump_empusa_final,WR,Compact,,,,false,1307203,,,
2020-07-24,01:48.81,vice,jump_empusa_final,WR,MapRun,20:28.79,+18:39.98,,true,1309006,76561198366368448,[U:1:406102720],
2020-07-24,01:26.91,Fluffie,jump_empusa_final,WR,MapRun,2:53:11.47,+2:51:44.56,,true,1309027,76561198028114870,[U:1:67849142],
2020-07-24,01:48.81,Pinki,jump_empusa_final,WR,Compact,,,,false,1309027,76561198063239281,[U:1:102973553],
2020-07-28,01:12.54,Zyphon,jump_empusa_final,WR,MapRun,34:41.14,+33:28.60,,true,1311599,76561198082664774,[U:1:122399046],
2020-08-24,00:06.69,Zyphon,jump_empusa_final,WR,Bonus 1,,-00:00.18,00:00.23,false,1334592,76561198082664774,[U:1:122399046],
2021-02-17,01:12.54,juup -rng,jump_empusa_final,WR,Compact,,,,false,1511222,,,
2022-05-10,01:06.31,riot,jump_empusa_final,WR,MapRecord,,-00:06.22,00:07.93,false,1943759,76561198065169685,[U:1:104903957],
2024-05-10,01:06.31,rizzlebizzle,jump_empusa_final,WR,Compact,,,,false,2853376,,,
2024-05-12,00:58.05,₍ᐢᐢ₎. us,jump_empusa_final,WR,IRC,,-00:08.26,,false,2855920,,,
2024-05-12,00:58.05,₍ᐢᐢ₎. us,jump_empusa_final,WR,IRC,,-00:08.26,,false,2856270,,,
2024-05-12,00:58.05,₍ᐢᐢ₎. us,jump_empusa_final,WR,IRC,,-00:08.26,,false,2856428,,,
