date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id,steam_candidates
2019-07-07,04:31.67,evaline,jump_fart2_final,WR,IRC,,-05:22.27,,false,1004324,,,
2019-07-07,09:53.95,agent00KFC,jump_fart2_final,WR,IRC,,-04:33.43,,false,1004324,,,
2019-07-07,14:27.39,Don't forget to,jump_fart2_final,WR,IRCSet,,,,false,1004324,,,
2019-07-07,04:31.67,evaline,jump_fart2_final,WR,IRC,,-05:22.27,,false,1004334,,,
2019-07-07,09:53.95,agent00KFC,jump_fart2_final,WR,IRC,,-04:33.43,,false,1004334,,,
2019-07-07,14:27.39,Don't forget to,jump_fart2_final,WR,IRCSet,,,,false,1004334,,,
2019-07-07,04:31.67,evaline,jump_fart2_final,WR,IRC,,-05:22.27,,false,1004340,,,
2019-07-07,09:53.95,agent00KFC,jump_fart2_final,WR,IRC,,-04:33.43,,false,1004340,,,
2019-07-07,14:27.39,Don't forget to,jump_fart2_final,WR,IRCSet,,,,false,1004340,,,
2019-07-07,04:31.67,evaline,jump_fart2_final,WR,IRC,,-05:22.27,,false,1004359,,,
2019-07-07,09:53.95,agent00KFC,jump_fart2_final,WR,IRC,,-04:33.43,,false,1004359,,,
2019-07-07,14:27.39,Don't forget to,jump_fart2_final,WR,IRCSet,,,,false,1004359,,,
2019-07-07,04:31.67,evaline,jump_fart2_final,WR,IRC,,-05:22.27,,false,1004361,,,
2019-07-07,09:53.95,agent00KFC,jump_fart2_final,WR,IRC,,-04:33.43,,false,1004361,,,
2019-07-07,14:27.39,Don't forget to,jump_fart2_final,WR,IRCSet,,,,false,1004361,,,
2019-07-07,04:31.67,evaline,jump_fart2_final,WR,IRC,,-05:22.27,,false,1004375,,,
2019-07-07,09:53.95,agent00KFC,jump_fart2_final,WR,IRC,,-04:33.43,,false,1004375,,,
2019-07-07,14:27.39,Don't forget to,jump_fart2_final,WR,IRCSet,,,,false,1004375,,,
2019-07-07,04:31.67,evaline,jump_fart2_final,WR,IRC,,-05:22.27,,false,1004378,,,
2019-07-07,09:53.95,agent00KFC,jump_fart2_final,WR,IRC,,-04:33.43,,false,1004378,,,
2019-07-07,14:27.39,Don't forget to,jump_fart2_final,WR,FirstRecord,,,,false,1004378,,,
2019-07-07,04:31.67,evaline,jump_fart2_final,WR,IRC,,-05:22.27,,false,1004392,76561198281755237,[U:1:321489509],
2019-07-07,09:53.95,agent00KFC,jump_fart2_final,WR,IRC,,-04:33.43,,false,1004392,,,
