date,record_time,player,map,record_type,segment,evidence,evidence_source,run_time,split,improvement,demo_id,steam_id64,steam_id,steam_candidates
2019-07-07,06:23.00,melons,jump_fart2_final,WR,Map,record,first_record,,,,1004335,76561198050611961,[U:1:90346233],
2019-07-07,05:20.24,Warped,jump_fart2_final,WR,Map,record,map_record,,-01:02.75,,1004378,76561197989916494,[U:1:29650766],
2019-07-07,03:19.31,Warped,jump_fart2_final,WR,Map,record,map_record,,-02:00.92,02:00.92,1004378,76561197989916494,[U:1:29650766],
2019-07-07,00:17.57,osplo,jump_fart2_final,WR,Bonus 1,record,zone_record,,-00:05.55,,1004402,76561198047229461,[U:1:86963733],
2019-07-07,00:32.98,osplo,jump_fart2_final,WR,Bonus 2,record,zone_record,,-00:03.76,,1004402,76561198047229461,[U:1:86963733],
2019-07-07,00:25.88,tragedy,jump_fart2_final,WR,Bonus 2,record,zone_record,,-00:07.09,,1004412,76561198073843879,[U:1:113578151],
2019-07-07,00:21.70,tragedy,jump_fart2_final,WR,Bonus 2,record,zone_record,,-00:04.18,00:04.18,1004412,76561198073843879,[U:1:113578151],
2019-07-07,03:02.26,vic,jump_fart2_final,WR,Map,record,map_record,,-00:17.05,01:53.71,1004412,,,
2019-07-07,02:40.96,vic,jump_fart2_final,WR,Map,record,map_record,,-00:21.29,00:21.29,1004412,,,
2019-07-07,00:15.47,SayMyName,jump_fart2_final,WR,Bonus 1,record,zone_record,,-00:02.09,,1004420,76561198321346607,[U:1:361080879],
2019-07-07,00:15.29,SayMyName,jump_fart2_final,WR,Bonus 1,record,zone_record,,-00:00.18,00:00.18,1004420,76561198321346607,[U:1:361080879],
2019-07-07,00:14.75,SayMyName,jump_fart2_final,WR,Bonus 1,record,zone_record,,-00:00.53,00:00.53,1004420,76561198321346607,[U:1:361080879],
2019-07-07,00:14.11,SayMyName,jump_fart2_final,WR,Bonus 1,record,zone_record,,-00:00.64,00:00.64,1004420,76561198321346607,[U:1:361080879],
2019-07-07,00:12.44,SayMyName,jump_fart2_final,WR,Bonus 1,record,zone_record,,-00:01.66,00:01.66,1004420,76561198321346607,[U:1:361080879],
2019-07-07,00:11.89,SayMyName,jump_fart2_final,WR,Bonus 1,record,zone_record,,-00:00.55,00:00.55,1004420,76561198321346607,[U:1:361080879],
2019-07-07,00:11.40,SayMyName,jump_fart2_final,WR,Bonus 1,record,zone_record,,-00:00.48,00:00.48,1004420,76561198321346607,[U:1:361080879],
2019-07-07,00:10.34,SayMyName,jump_fart2_final,WR,Bonus 1,record,zone_record,,-00:01.05,00:01.05,1004420,76561198321346607,[U:1:361080879],
2019-07-07,00:09.37,๖ۣۜSimonۣۜ,jump_fart2_final,WR,Bonus 1,record,zone_record,,-00:00.97,00:03.07,1004420,,,
2019-07-07,00:08.41,๖ۣۜSimonۣۜ,jump_fart2_final,WR,Bonus 1,record,zone_record,,-00:00.96,00:00.96,1004420,,,
2019-07-07,00:18.02,๖ۣۜSimonۣۜ,jump_fart2_final,WR,Bonus 2,record,zone_record,,-00:03.68,00:05.12,1004420,,,
2019-07-07,02:37.43,"Without love, it",jump_fart2_final,WR,Map,record,map_record,,-00:03.52,00:12.14,1004629,,,
2019-07-07,02:33.54,"Without love, it",jump_fart2_final,WR,Map,record,map_record,,-00:03.89,00:03.89,1004629,,,
2019-07-07,02:27.16,"Without love, it",jump_fart2_final,WR,Map,record,map_record,,-00:06.37,00:06.37,1004629,,,
2019-07-07,00:08.17,WallRider,jump_fart2_final,WR,Bonus 1,record,zone_record,,-00:00.61,00:00.61,1004629,76561198089784651,[U:1:129518923],
2019-07-07,02:24.87,"Without love, it",jump_fart2_final,WR,Map,record,map_record,,-00:02.29,00:02.29,1004629,,,
2019-07-07,02:16.66,"Without love, it",jump_fart2_final,WR,Map,record,map_record,,-00:08.20,00:08.20,1004629,,,
2019-07-07,00:07.93,tomato tom,jump_fart2_final,WR,Bonus 1,record,zone_record,,-00:00.23,00:02.47,1004662,76561198120374593,[U:1:160108865],
2019-07-07,00:07.84,tomato tom,jump_fart2_final,WR,Bonus 1,record,zone_record,,-00:00.09,00:00.09,1004662,76561198120374593,[U:1:160108865],
2019-07-07,00:07.36,tomato tom,jump_fart2_final,WR,Bonus 1,record,zone_record,,-00:00.48,00:00.48,1004662,76561198120374593,[U:1:160108865],
2019-07-07,00:06.97,Scrambles,jump_fart2_final,WR,Bonus 1,record,zone_record,,-00:00.77,00:00.77,1004675,76561198043700763,[U:1:83435035],
2019-07-07,00:06.75,tomato tom,jump_fart2_final,WR,Bonus 1,record,zone_record,,-00:00.22,00:00.29,1004675,76561198120374593,[U:1:160108865],
2019-07-07,02:12.25,tomato tom,jump_fart2_final,WR,Map,record,map_record,,-00:04.40,00:12.81,1004675,76561198120374593,[U:1:160108865],
2019-07-07,00:16.96,tomato tom,jump_fart2_final,WR,Bonus 2,record,zone_record,,-00:01.06,00:01.28,1004675,76561198120374593,[U:1:160108865],
2019-07-08,02:07.61,tomato tom,jump_fart2_final,WR,Map,record,map_record,,-00:04.63,00:04.63,1004873,76561198120374593,[U:1:160108865],
2019-07-08,02:06.78,"Without love, it",jump_fart2_final,WR,Map,record,map_record,,-00:00.83,00:02.64,1005279,,,
2019-07-08,02:05.42,"Without love, it",jump_fart2_final,WR,Map,record,map_record,,-00:01.35,00:01.35,1005279,,,
2019-07-08,02:03.29,tomato tom,jump_fart2_final,WR,Map,record,map_record,,-00:02.12,00:04.31,1005375,76561198120374593,[U:1:160108865],
2019-07-08,02:01.36,tomato tom,jump_fart2_final,WR,Map,record,map_record,,-00:01.93,00:01.93,1005375,76561198120374593,[U:1:160108865],
2019-07-10,00:14.59,scotch,jump_fart2_final,WR,Bonus 3,record,zone_first,,,,1006452,76561198041597961,[U:1:81332233],
2019-07-10,00:13.49,scotch,jump_fart2_final,WR,Bonus 3,record,zone_record,,-00:01.09,00:01.09,1006452,76561198041597961,[U:1:81332233],
2019-07-10,00:12.17,scotch,jump_fart2_final,WR,Bonus 3,record,zone_record,,-00:01.31,00:01.31,1006452,76561198041597961,[U:1:81332233],
2019-07-10,00:11.83,scotch,jump_fart2_final,WR,Bonus 3,record,zone_record,,-00:00.34,00:00.34,1006452,76561198041597961,[U:1:81332233],
2019-07-10,00:11.56,scotch,jump_fart2_final,WR,Bonus 3,record,zone_record,,-00:00.26,00:00.26,1006452,76561198041597961,[U:1:81332233],
2019-07-10,00:11.17,scotch,jump_fart2_final,WR,Bonus 3,record,zone_record,,-00:00.38,00:00.38,1006452,76561198041597961,[U:1:81332233],
2019-07-10,00:10.39,scotch,jump_fart2_final,WR,Bonus 3,record,zone_record,,-00:00.77,00:00.77,1006452,76561198041597961,[U:1:81332233],
2019-07-10,00:10.16,Karmac,jump_fart2_final,WR,Bonus 3,record,zone_record,,-00:00.24,00:00.24,1006992,76561197998047965,[U:1:37782237],
2019-07-10,00:06.70,Karmac,jump_fart2_final,WR,Bonus 1,record,zone_record,,-00:00.30,00:00.30,1006992,76561197998047965,[U:1:37782237],
2019-07-10,00:06.68,tomato tom,jump_fart2_final,WR,Bonus 1,record,zone_record,,-00:00.01,00:00.06,1006992,76561198120374593,[U:1:160108865],
2019-07-10,00:10.07,tomato tom,jump_fart2_final,WR,Bonus 3,record,zone_record,,-00:00.08,00:00.52,1006992,76561198120374593,[U:1:160108865],
2019-07-10,00:06.37,Karmac,jump_fart2_final,WR,Bonus 1,record,zone_record,,-00:00.33,00:00.33,1006992,76561197998047965,[U:1:37782237],
2019-07-10,00:06.25,tomato tom,jump_fart2_final,WR,Bonus 1,record,zone_record,,-00:00.11,00:00.15,1006992,76561198120374593,[U:1:160108865],
2019-07-10,02:00.34,tomato tom,jump_fart2_final,WR,Map,record,map_record,,-00:01.01,00:01.01,1006992,76561198120374593,[U:1:160108865],
2019-07-11,00:06.16,Karmac,jump_fart2_final,WR,Bonus 1,record,zone_record,,-00:00.09,00:00.09,1007107,76561197998047965,[U:1:37782237],
2019-07-11,00:06.14,tomato tom,jump_fart2_final,WR,Bonus 1,record,zone_record,,-00:00.01,00:00.10,1007788,76561198120374593,[U:1:160108865],
2019-07-11,00:05.96,Karmac,jump_fart2_final,WR,Bonus 1,record,zone_record,,-00:00.19,00:00.19,1007788,76561197998047965,[U:1:37782237],
2019-07-11,00:05.92,tomato tom,jump_fart2_final,WR,Bonus 1,record,zone_record,,-00:00.04,00:00.22,1007788,76561198120374593,[U:1:160108865],
2019-07-11,01:56.93,tomato tom,jump_fart2_final,WR,Map,record,map_record,,-00:03.40,00:03.40,1007788,76561198120374593,[U:1:160108865],
2019-07-11,00:16.75,easye,jump_fart2_final,WR,Bonus 2,record,zone_record,,-00:05.11,00:05.11,1007788,76561198047753332,[U:1:87487604],
2019-07-11,00:16.30,tomato tom,jump_fart2_final,WR,Bonus 2,record,zone_record,,-00:00.45,00:00.65,1007788,76561198120374593,[U:1:160108865],
2019-07-13,01:54.21,tomato tom,jump_fart2_final,WR,Map,record,map_record,,-00:02.72,00:02.72,1008830,76561198120374593,[U:1:160108865],
2019-07-13,01:48.99,tomato tom,jump_fart2_final,WR,Map,record,map_record,,-00:05.22,00:05.22,1009496,76561198120374593,[U:1:160108865],
2019-07-15,00:16.20,tomato tom,jump_fart2_final,WR,Bonus 2,record,zone_record,,-00:00.10,00:00.10,1010355,76561198120374593,[U:1:160108865],
2019-07-15,00:09.87,tomato tom,jump_fart2_final,WR,Bonus 3,record,zone_record,,-00:00.20,00:00.20,1010355,76561198120374593,[U:1:160108865],
2021-02-06,00:15.27,Ninja Cookie,jump_fart2_final,WR,Bonus 2,record,zone_record,,-00:02.11,00:02.11,1499929,76561197961575317,[U:1:1309589],
2021-02-19,00:15.12,tomato tom,jump_fart2_final,WR,Bonus 2,record,zone_record,,-00:00.15,00:00.36,1513636,76561198120374593,[U:1:160108865],
2021-05-20,01:59.82,cander,jump_fart2_final,WR,Bonus 4,record,zone_first,,,,1592552,76561198318722879,[U:1:358457151],
2021-05-20,01:58.93,cander,jump_fart2_final,WR,Bonus 4,record,zone_record,,-00:00.88,00:00.88,1592552,76561198318722879,[U:1:358457151],
2021-05-20,01:58.81,cander,jump_fart2_final,WR,Bonus 4,record,zone_record,,-00:00.12,00:00.12,1592643,76561198318722879,[U:1:358457151],
2021-05-20,01:49.87,Waldo,jump_fart2_final,WR,Bonus 4,record,zone_record,,-00:08.59,,1592749,76561198020256631,[U:1:59990903],
2021-05-25,01:45.25,aahnchovies,jump_fart2_final,WR,Bonus 4,record,zone_record,,-00:06.01,00:06.01,1597142,76561198103997611,[U:1:143731883],
2021-05-25,01:44.53,aahnchovies,jump_fart2_final,WR,Bonus 4,record,zone_record,,-00:00.72,00:00.72,1597142,76561198103997611,[U:1:143731883],
2022-01-30,00:05.70,Tritibellum,jump_fart2_final,WR,Bonus 1,record,zone_record,,-00:00.22,00:00.36,1839413,76561199058834773,[U:1:1098569045],
2022-01-30,00:05.59,Tritibellum,jump_fart2_final,WR,Bonus 1,record,zone_record,,-00:00.10,00:00.10,1839413,76561199058834773,[U:1:1098569045],
2023-02-03,01:43.59,Spooky,jump_fart2_final,WR,Bonus 4,record,zone_record,,-00:02.41,00:02.41,2202983,76561199010658450,[U:1:1050392722],
2023-08-09,00:11.67,SaCCcCCc,jump_fart2_final,WR,Bonus 2,record,zone_record,,-00:04.80,00:04.80,2445536,76561198309927068,[U:1:349661340],
2023-08-09,00:11.14,SaCCcCCc,jump_fart2_final,WR,Bonus 2,record,zone_record,,-00:00.52,00:00.52,2445536,76561198309927068,[U:1:349661340],
2023-08-09,00:10.09,SaCCcCCc,jump_fart2_final,WR,Bonus 2,record,zone_record,,-00:01.05,00:01.05,2445536,76561198309927068,[U:1:349661340],
