date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id,steam_candidates
2014-10-30,03:11.99,mintyy,jump_finite_v2,WR,IRCSet,,,,false,27159,,,
2014-10-30,03:11.99,mintyy,jump_finite_v2,WR,FirstRecord,,,,false,27161,76561198050815941,[U:1:90550213],
2014-10-30,02:46.42,i love arcaon,jump_finite_v2,WR,MapRecord,,-00:15.00,00:15.00,false,27208,76561198045405184,[U:1:85139456],
2014-10-30,03:01.42,i love arcaon,jump_finite_v2,WR,MapRecord,,-00:10.57,,false,27208,76561198045405184,[U:1:85139456],
2014-10-31,02:40.93,sinpooky,jump_finite_v2,WR,MapRecord,,-00:05.48,00:15.57,false,27398,76561198067226764,[U:1:106961036],
2014-11-02,02:22.25,alle,jump_finite_v2,WR,MapRecord,,-00:18.67,00:20.37,false,27993,76561198040983512,[U:1:80717784],
2015-02-25,02:18.22,Ltfx,jump_finite_v2,WR,MapRecord,,-00:04.03,00:35.11,false,64985,76561198051610309,[U:1:91344581],
2015-05-23,02:14.51,Soup Can,jump_finite_v2,WR,MapRecord,,-00:03.70,00:10.66,false,97039,76561198029285343,[U:1:69019615],
2017-11-24,01:59.85,Consition,jump_finite_v2,WR,MapRun,07:57.18,+05:57.33,,true,510173,76561198045329479,[U:1:85063751],
2017-12-18,01:59.24,vice,jump_finite_v2,WR,MapRecord,,-00:00.60,00:04.27,false,528633,76561197960496196,[U:1:230468],
2017-12-18,01:59.24,vice,jump_finite_v2,WR,IRC,,-00:00.60,,false,528656,76561197960496196,[U:1:230468],
2018-03-15,01:57.38,gancho,jump_finite_v2,WR,MapRecord,,-00:01.86,00:02.46,false,599768,76561198050815941,[U:1:90550213],
2018-03-15,01:59.24,twitch.tv/vicetf,jump_finite_v2,WR,Compact,,,,false,599768,,,
2018-03-15,01:59.24,twitch.tv/vicetf,jump_finite_v2,WR,Compact,,,,false,599768,,,
2018-03-15,01:59.24,twitch.tv/vicetf,jump_finite_v2,WR,Compact,,,,false,599768,,,
2018-04-26,01:55.78,yoyo,jump_finite_v2,WR,IRC,,-00:01.60,,false,633992,,,
2018-04-26,01:55.78,yoyo,jump_finite_v2,WR,MapRecord,,-00:01.60,00:03.46,false,634040,76561198366368448,[U:1:406102720],
2018-05-20,01:47.20,Soup -tt,jump_finite_v2,WR,IRC,,-00:08.57,,false,653934,,,
2018-05-20,01:47.20,Soup -tt,jump_finite_v2,WR,MapRecord,,-00:08.57,,false,654021,76561198029285343,[U:1:69019615],
2018-05-20,01:47.20,Soup -tt,jump_finite_v2,WR,Compact,,,,false,654021,76561198029285343,[U:1:69019615],
2019-06-14,01:47.20,Soup -tt,jump_finite_v2,WR,Compact,,,,false,986304,76561198029285343,[U:1:69019615],
2024-03-30,01:45.81,rascal,jump_finite_v2,WR,MapRun,07:47.43,+06:01.62,,true,2796463,76561198053912950,[U:1:93647222],
2024-04-26,01:45.00,vice,jump_finite_v2,WR,MapRecord,,-00:00.81,00:08.04,false,2832890,76561198366368448,[U:1:406102720],
2024-04-26,01:45.00,vice,jump_finite_v2,WR,IRC,,-00:00.81,,false,2832904,,,
2024-04-26,01:45.00,vice,jump_finite_v2,WR,IRC,,-00:00.81,,false,2832880,,,
2024-04-26,01:45.00,vice,jump_finite_v2,WR,IRC,,-00:00.81,,false,2832884,,,
2024-04-26,01:45.00,vice,jump_finite_v2,WR,IRC,,-00:00.81,,false,2832831,,,
2024-04-26,01:45.00,vice,jump_finite_v2,WR,IRC,,-00:00.81,,false,2832864,,,
2024-04-26,01:45.00,vice,jump_finite_v2,WR,IRC,,-00:00.81,,false,2832844,,,
2024-04-26,01:45.00,vice,jump_finite_v2,WR,IRC,,-00:00.81,,false,2832894,,,
2024-04-26,01:45.00,vice,jump_finite_v2,WR,IRC,,-00:00.81,,false,2832896,,,
2024-04-26,01:45.00,vice,jump_finite_v2,WR,IRC,,-00:00.81,,false,2832895,,,
2024-04-26,01:45.00,vice,jump_finite_v2,WR,IRC,,-00:00.81,,false,2832893,,,
2024-04-26,01:45.00,vice,jump_finite_v2,WR,IRC,,-00:00.81,,false,2832733,,,
2024-04-28,01:45.00,vice,jump_finite_v2,WR,IRC,,-00:00.81,,false,2832418,,,
2024-07-03,01:45.00,vice,jump_finite_v2,WR,Compact,,,,false,2932325,76561198366368448,[U:1:406102720],
