date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id,steam_candidates
2021-05-07,01:02.76,IV,jump_flood,WR,Ranked,,,,true,1583051,76561198036170813,[U:1:75905085],
2021-05-07,02:23.49,IV,jump_flood,WR,FirstRecord,,,,false,1583051,76561198036170813,[U:1:75905085],
2021-05-07,01:00.99,♥sara,jump_flood,WR,IRC,,-00:00.69,,false,1583052,,,
2021-05-07,01:01.68,♥sara,jump_flood,WR,IRC,,-00:01.08,,false,1583052,,,
2021-05-07,02:23.49,IV,jump_flood,WR,IRCSet,,,,false,1583052,,,
2021-05-07,01:00.99,♥sara,jump_flood,WR,IRC,,-00:00.69,,false,1583055,,,
2021-05-07,01:01.68,♥sara,jump_flood,WR,IRC,,-00:01.08,,false,1583055,,,
2021-05-07,02:23.49,IV,jump_flood,WR,IRCSet,,,,false,1583055,76561198036170813,[U:1:75905085],
2021-05-07,01:00.99,♥sara,jump_flood,WR,MapRecord,,-00:00.69,00:00.69,false,1583056,76561198095639158,[U:1:135373430],
2021-05-07,01:01.68,♥sara,jump_flood,WR,MapRecord,,-00:01.08,00:03.84,false,1583056,76561198095639158,[U:1:135373430],
2021-05-07,02:23.49,IV,jump_flood,WR,IRCSet,,,,false,1583056,,,
2021-05-07,01:00.99,♥sara,jump_flood,WR,IRC,,-00:00.69,,false,1583070,,,
2021-05-07,01:01.68,♥sara,jump_flood,WR,IRC,,-00:01.08,,false,1583070,,,
2021-05-07,01:00.99,♥sara,jump_flood,WR,IRC,,-00:00.69,,false,1583103,,,
2021-05-07,01:01.68,♥sara,jump_flood,WR,IRC,,-00:01.08,,false,1583103,,,
2021-05-07,01:00.99,♥sara,jump_flood,WR,IRC,,-00:00.69,,false,1583138,,,
2021-05-07,01:01.68,♥sara,jump_flood,WR,IRC,,-00:01.08,,false,1583138,,,
2021-05-08,01:00.99,♥sara,jump_flood,WR,IRC,,-00:00.69,,false,1583184,,,
2021-05-08,01:01.68,♥sara,jump_flood,WR,IRC,,-00:01.08,,false,1583184,,,
2021-05-08,01:00.99,♥sara,jump_flood,WR,IRC,,-00:00.69,,false,1583189,,,
2021-05-08,01:01.68,♥sara,jump_flood,WR,IRC,,-00:01.08,,false,1583189,,,
2021-05-08,01:00.99,♥sara,jump_flood,WR,IRC,,-00:00.69,,false,1583218,,,
2021-05-08,01:01.68,♥sara,jump_flood,WR,IRC,,-00:01.08,,false,1583218,,,
2021-05-08,01:01.68,♥sara,jump_flood,WR,IRC,,-00:01.08,,false,1583238,,,
2021-05-08,01:00.99,♥sara,jump_flood,WR,IRC,,-00:00.69,,false,1583252,,,
2021-05-08,01:01.68,♥sara,jump_flood,WR,IRC,,-00:01.08,,false,1583252,,,
2021-05-08,01:00.99,♥sara,jump_flood,WR,IRC,,-00:00.69,,false,1583261,,,
2021-05-08,00:52.38,Matty,jump_flood,WR,IRC,,-00:02.04,,false,1583401,,,
2021-05-08,00:54.42,Matty,jump_flood,WR,IRC,,-00:00.34,,false,1583401,,,
2021-05-08,00:54.76,Matty,jump_flood,WR,IRC,,-00:00.21,,false,1583401,,,
2021-05-08,00:54.97,Matty,jump_flood,WR,IRC,,-00:04.59,,false,1583401,,,
2021-05-08,00:59.56,Matty,jump_flood,WR,IRC,,-00:01.42,,false,1583401,,,
2021-05-08,00:52.38,Matty,jump_flood,WR,IRC,,-00:02.04,,false,1583525,,,
2021-05-08,00:54.42,Matty,jump_flood,WR,IRC,,-00:00.34,,false,1583525,,,
2021-05-08,00:54.76,Matty,jump_flood,WR,IRC,,-00:00.21,,false,1583525,,,
2021-05-08,00:54.97,Matty,jump_flood,WR,IRC,,-00:04.59,,false,1583525,,,
2021-05-08,00:59.56,Matty,jump_flood,WR,IRC,,-00:01.42,,false,1583525,,,
2021-05-08,00:52.38,Matty,jump_flood,WR,IRC,,-00:02.04,,false,1583577,,,
2021-05-08,00:54.42,Matty,jump_flood,WR,IRC,,-00:00.34,,false,1583577,,,
2021-05-08,00:54.76,Matty,jump_flood,WR,IRC,,-00:00.21,,false,1583577,,,
2021-05-08,00:54.97,Matty,jump_flood,WR,IRC,,-00:04.59,,false,1583577,,,
2021-05-08,00:59.56,Matty,jump_flood,WR,IRC,,-00:01.42,,false,1583577,,,
2021-05-08,00:52.38,Matty,jump_flood,WR,MapRecord,,-00:02.04,00:02.04,false,1583607,76561198035204545,[U:1:74938817],
2021-05-08,00:54.42,Matty,jump_flood,WR,MapRecord,,-00:00.34,00:00.34,false,1583607,76561198035204545,[U:1:74938817],
2021-05-08,00:54.76,Matty,jump_flood,WR,MapRecord,,-00:00.21,00:00.21,false,1583607,76561198035204545,[U:1:74938817],
