date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id,steam_candidates
2018-07-07,00:44.90,FastFox73,jump_flux,WR,Bonus 1,,,,false,699341,76561198046601398,[U:1:86335670],
2018-07-07,03:11.79,Chief,jump_flux,WR,MapRun,06:17.09,+03:05.30,,true,699341,76561198122579111,[U:1:162313383],
2019-02-15,00:25.14,879m,jump_flux,WR,Bonus 4,,-00:00.91,,false,893112,76561198043793220,[U:1:83527492],
2019-02-15,00:24.76,879m,jump_flux,WR,Bonus 4,,-00:00.05,00:00.05,false,893222,76561198043793220,[U:1:83527492],
2019-02-15,00:24.82,879m,jump_flux,WR,Bonus 4,,-00:00.00,00:00.00,false,893222,76561198043793220,[U:1:83527492],
2019-02-15,00:24.82,879m,jump_flux,WR,Bonus 4,,-00:00.29,00:00.31,false,893222,76561198043793220,[U:1:83527492],
2019-05-13,02:49.73,Madeline,jump_flux,WR,MapRecord,,-00:22.05,00:22.05,false,961969,76561198046601398,[U:1:86335670],
2019-05-13,03:11.79,Madeline,jump_flux,WR,MapRun,13:22.46,+10:10.67,,true,961969,76561198046601398,[U:1:86335670],
2019-07-16,02:49.73,Boshy,jump_flux,WR,Ranked,,,,true,1011110,,,
2019-08-07,02:49.73,cummies in my tu,jump_flux,WR,Compact,,,,false,1028295,,,
2019-08-16,02:49.73,Boshy,jump_flux,WR,Ranked,,,,true,1035631,,,
2019-08-16,02:49.74,laglaglaglaglagl,jump_flux,WR,MapRun,47:34.09,+44:44.35,,true,1035631,,,
2019-08-16,00:40.01,Boshy,jump_flux,WR,Bonus 1,,-00:02.55,00:04.88,false,1035680,76561198046601398,[U:1:86335670],
2019-08-16,00:45.67,Boshy,jump_flux,WR,Bonus 2,,-00:03.11,00:03.11,false,1035680,76561198046601398,[U:1:86335670],
2019-08-16,00:48.79,Boshy,jump_flux,WR,Bonus 2,,-00:01.32,00:01.32,false,1035680,76561198046601398,[U:1:86335670],
2019-10-13,00:24.60,Boshy | tipofthe,jump_flux,WR,Bonus 4,,,,false,1080081,,,
2019-10-24,00:24.47,Boshy,jump_flux,WR,Bonus 4,,-00:00.11,00:00.12,false,1088039,76561198046601398,[U:1:86335670],
2019-11-01,02:49.73,Boshy,jump_flux,WR,Ranked,,,,true,1093946,76561198046601398,[U:1:86335670],
2019-11-20,00:11.69,foxgirl,jump_flux,WR,Bonus 3,,-00:00.08,00:00.20,false,1106886,76561198046601398,[U:1:86335670],
