date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id,steam_candidates
2021-04-17,03:29.59,Bonzi,jump_frogspit,WR,MapRun,58:55.51,+55:25.92,,true,1566020,76561198175838507,[U:1:215572779],
2021-04-17,07:51.61,riot,jump_frogspit,WR,IRC,,-23:12.58,,false,1566020,,,
2021-04-17,11:41.50,sleepy,jump_frogspit,WR,Course 1 First,,,,false,1566020,76561198083816511,[U:1:123550783],
2021-04-17,17:11.41,sleepy,jump_frogspit,WR,Course 2 First,,,,false,1566020,76561198083816511,[U:1:123550783],
2021-04-17,31:04.20,sleepy,jump_frogspit,WR,FirstRecord,,,,false,1566020,76561198083816511,[U:1:123550783],
2021-04-17,02:59.25,riot,jump_frogspit,WR,Course 2,,-14:12.16,,false,1566024,76561198065169685,[U:1:104903957],
2021-04-17,04:13.87,riot,jump_frogspit,WR,Course 1,,-05:50.76,,false,1566024,76561198065169685,[U:1:104903957],
2021-04-17,07:51.61,riot,jump_frogspit,WR,MapRecord,,-23:12.58,,false,1566024,76561198065169685,[U:1:104903957],
2021-04-17,10:04.63,Elandi!!,jump_frogspit,WR,Course 1,,-01:36.87,,false,1566024,76561198293964874,[U:1:333699146],
2021-04-17,31:04.20,sleepy,jump_frogspit,WR,IRCSet,,,,false,1566024,,,
2021-04-17,07:51.61,riot,jump_frogspit,WR,IRC,,-23:12.58,,false,1566028,,,
2021-04-17,31:04.20,sleepy,jump_frogspit,WR,IRCSet,,,,false,1566028,,,
2021-04-17,07:51.61,riot,jump_frogspit,WR,IRC,,-23:12.58,,false,1566038,,,
2021-04-17,31:04.20,sleepy,jump_frogspit,WR,IRCSet,,,,false,1566038,,,
2021-04-17,07:51.61,riot,jump_frogspit,WR,IRC,,-23:12.58,,false,1566047,,,
2021-04-17,31:04.20,sleepy,jump_frogspit,WR,IRCSet,,,,false,1566047,76561198083816511,[U:1:123550783],
2021-04-17,07:51.61,riot,jump_frogspit,WR,IRC,,-23:12.58,,false,1566052,76561198065169685,[U:1:104903957],
2021-04-17,31:04.20,sleepy,jump_frogspit,WR,IRCSet,,,,false,1566052,,,
2021-04-17,02:20.02,sleepy,jump_frogspit,WR,IRC,,-00:05.62,,false,1566159,,,
2021-04-17,01:57.28,ADJ -bh,jump_frogspit,WR,IRC,,-00:07.92,,false,1566196,76561198046155437,[U:1:85889709],
2021-04-17,02:05.20,ADJ -bh,jump_frogspit,WR,IRC,,-00:11.02,,false,1566196,76561198046155437,[U:1:85889709],
2021-04-17,02:16.23,ADJ -bh,jump_frogspit,WR,IRC,,-00:03.79,,false,1566196,76561198046155437,[U:1:85889709],
2021-04-17,02:20.02,sleepy,jump_frogspit,WR,IRC,,-00:05.62,,false,1566196,,,
2021-04-17,00:43.75,ADJ -bh,jump_frogspit,WR,Course 1,,-00:03.39,00:03.39,false,1566370,76561198046155437,[U:1:85889709],
2021-04-17,00:47.14,ADJ -bh,jump_frogspit,WR,Course 1,,-00:04.23,00:04.26,false,1566370,76561198046155437,[U:1:85889709],
2021-04-17,01:03.25,ADJ -bh,jump_frogspit,WR,Course 2,,-00:06.82,00:06.82,false,1566370,76561198046155437,[U:1:85889709],
2021-04-17,01:10.08,ADJ -bh,jump_frogspit,WR,Course 2,,-00:00.94,00:11.04,false,1566370,76561198046155437,[U:1:85889709],
2021-04-17,01:57.28,ADJ -bh,jump_frogspit,WR,MapRecord,,-00:07.92,00:07.92,false,1566370,76561198046155437,[U:1:85889709],
2021-04-17,02:05.20,ADJ -bh,jump_frogspit,WR,MapRecord,,-00:11.02,00:11.02,false,1566370,76561198046155437,[U:1:85889709],
2021-04-17,02:16.23,ADJ -bh,jump_frogspit,WR,MapRecord,,-00:03.79,00:22.30,false,1566370,76561198046155437,[U:1:85889709],
2021-04-17,02:20.02,sleepy,jump_frogspit,WR,IRC,,-00:05.62,,false,1566370,,,
