date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id,steam_candidates
2019-12-30,00:56.50,kag,jump_frost_redo_v2,WR,IRC,,-00:00.28,,false,1136463,76561198059813166,[U:1:99547438],
2019-12-30,00:56.78,kag,jump_frost_redo_v2,WR,IRC,,-00:00.09,,false,1136463,76561198059813166,[U:1:99547438],
2019-12-30,00:56.88,kag,jump_frost_redo_v2,WR,IRC,,-00:04.09,,false,1136463,76561198059813166,[U:1:99547438],
2019-12-30,01:00.97,cander -cg ุ,jump_frost_redo_v2,WR,IRC,,-00:08.33,,false,1136463,,,
2019-12-30,01:09.31,cander -cg ุ,jump_frost_redo_v2,WR,IRC,,-00:08.24,,false,1136463,,,
2019-12-30,02:39.79,Fluffie,jump_frost_redo_v2,WR,IRC,,-00:48.30,,false,1136463,76561198028114870,[U:1:67849142],
2019-12-30,03:28.09,aksia,jump_frost_redo_v2,WR,IRCSet,,,,false,1136463,76561198067104574,[U:1:106838846],
2019-12-30,01:00.97,cander -cg ุ,jump_frost_redo_v2,WR,IRC,,-00:08.33,,false,1136466,,,
2019-12-30,01:09.31,cander -cg ุ,jump_frost_redo_v2,WR,IRC,,-00:08.24,,false,1136466,,,
2019-12-30,02:39.79,Fluffie,jump_frost_redo_v2,WR,IRC,,-00:48.30,,false,1136466,,,
2019-12-30,03:28.09,aksia,jump_frost_redo_v2,WR,IRCSet,,,,false,1136466,,,
2019-12-30,02:39.79,Fluffie,jump_frost_redo_v2,WR,IRC,,-00:48.30,,false,1136518,,,
2019-12-30,03:28.09,aksia,jump_frost_redo_v2,WR,IRCSet,,,,false,1136518,,,
2019-12-30,02:39.79,Fluffie,jump_frost_redo_v2,WR,IRC,,-00:48.30,,false,1136523,76561198028114870,[U:1:67849142],
2019-12-30,03:28.09,aksia,jump_frost_redo_v2,WR,IRCSet,,,,false,1136523,,,
2019-12-30,01:00.97,cander -cg ุ,jump_frost_redo_v2,WR,IRC,,-00:08.33,,false,1136534,,,
2019-12-30,01:09.31,cander -cg ุ,jump_frost_redo_v2,WR,IRC,,-00:08.24,,false,1136534,,,
2019-12-30,02:39.79,Fluffie,jump_frost_redo_v2,WR,IRC,,-00:48.30,,false,1136534,,,
2019-12-30,03:28.09,aksia,jump_frost_redo_v2,WR,IRCSet,,,,false,1136534,76561198067104574,[U:1:106838846],
2019-12-30,01:09.31,cander -cg ุ,jump_frost_redo_v2,WR,IRC,,-00:08.24,,false,1136536,,,
2019-12-30,02:39.79,Fluffie,jump_frost_redo_v2,WR,IRC,,-00:48.30,,false,1136536,,,
2019-12-30,03:28.09,aksia,jump_frost_redo_v2,WR,IRCSet,,,,false,1136536,,,
2019-12-30,02:39.79,Fluffie,jump_frost_redo_v2,WR,IRC,,-00:48.30,,false,1136541,,,
2019-12-30,03:28.09,aksia,jump_frost_redo_v2,WR,IRCSet,,,,false,1136541,,,
2019-12-30,01:00.97,cander -cg ุ,jump_frost_redo_v2,WR,IRC,,-00:08.33,,false,1136547,,,
2019-12-30,01:09.31,cander -cg ุ,jump_frost_redo_v2,WR,IRC,,-00:08.24,,false,1136547,,,
2019-12-30,02:39.79,Fluffie,jump_frost_redo_v2,WR,IRC,,-00:48.30,,false,1136547,76561198028114870,[U:1:67849142],
2019-12-30,03:28.09,aksia,jump_frost_redo_v2,WR,IRCSet,,,,false,1136547,76561198067104574,[U:1:106838846],
2019-12-30,02:39.79,Fluffie,jump_frost_redo_v2,WR,IRC,,-00:48.30,,false,1136549,,,
2019-12-30,03:28.09,aksia,jump_frost_redo_v2,WR,IRCSet,,,,false,1136549,,,
2019-12-30,01:00.97,cander -cg ุ,jump_frost_redo_v2,WR,IRC,,-00:08.33,,false,1136557,,,
2019-12-30,01:09.31,cander -cg ุ,jump_frost_redo_v2,WR,IRC,,-00:08.24,,false,1136557,,,
2019-12-30,02:39.79,Fluffie,jump_frost_redo_v2,WR,MapRecord,,-00:48.30,,false,1136557,76561198028114870,[U:1:67849142],
2019-12-30,03:28.09,aksia,jump_frost_redo_v2,WR,FirstRecord,,,,false,1136557,76561198067104574,[U:1:106838846],
2019-12-30,01:09.31,cander -cg ุ,jump_frost_redo_v2,WR,IRC,,-00:08.24,,false,1136560,,,
2019-12-30,01:09.31,cander -cg ุ,jump_frost_redo_v2,WR,IRC,,-00:08.24,,false,1136563,,,
2019-12-30,01:00.97,cander -cg ุ,jump_frost_redo_v2,WR,IRC,,-00:08.33,,false,1136564,,,
2019-12-30,01:09.31,cander -cg ุ,jump_frost_redo_v2,WR,IRC,,-00:08.24,,false,1136564,,,
2019-12-30,01:00.97,cander -cg ุ,jump_frost_redo_v2,WR,MapRecord,,-00:08.33,00:08.33,false,1136569,,,
2019-12-30,01:09.31,cander -cg ุ,jump_frost_redo_v2,WR,MapRecord,,-00:08.24,,false,1136569,,,
2019-12-30,01:00.97,cander -cg ุ,jump_frost_redo_v2,WR,IRC,,-00:08.33,,false,1136573,,,
2019-12-30,01:09.31,cander -cg ุ,jump_frost_redo_v2,WR,IRC,,-00:08.24,,false,1136573,,,
2019-12-30,01:00.97,cander -cg ุ,jump_frost_redo_v2,WR,IRC,,-00:08.33,,false,1136581,,,
2019-12-30,01:00.97,cander -cg ุ,jump_frost_redo_v2,WR,IRC,,-00:08.33,,false,1136585,,,
2019-12-30,01:00.97,cander -cg ุ,jump_frost_redo_v2,WR,IRC,,-00:08.33,,false,1136588,,,
2019-12-30,00:56.50,kag,jump_frost_redo_v2,WR,IRC,,-00:00.28,,false,1136666,76561198059813166,[U:1:99547438],
2019-12-30,00:56.78,kag,jump_frost_redo_v2,WR,IRC,,-00:00.09,,false,1136666,76561198059813166,[U:1:99547438],
2019-12-30,00:56.88,kag,jump_frost_redo_v2,WR,IRC,,-00:04.09,,false,1136666,76561198059813166,[U:1:99547438],
2019-12-30,00:56.50,kag,jump_frost_redo_v2,WR,IRC,,-00:00.28,,false,1136685,76561198059813166,[U:1:99547438],
2019-12-30,00:56.78,kag,jump_frost_redo_v2,WR,IRC,,-00:00.09,,false,1136685,76561198059813166,[U:1:99547438],
2019-12-30,00:56.88,kag,jump_frost_redo_v2,WR,IRC,,-00:04.09,,false,1136685,76561198059813166,[U:1:99547438],
