date,record_time,player,map,record_type,segment,evidence,evidence_source,run_time,split,improvement,demo_id,steam_id64,steam_id,steam_candidates
2023-10-07,06:00.61,Rellort -fwo -gu,jump_froyo_b3,WR,Map,record,first_record,,,,2534390,,,
2023-10-07,04:17.62,Rellort -fwo -gu,jump_froyo_b3,WR,Map,record,map_record,,-01:42.99,01:42.99,2534390,,,
2023-10-07,04:02.23,bernt,jump_froyo_b3,WR,Map,record,map_record,,-00:15.39,00:23.08,2534706,76561198017732809,[U:1:57467081],
2023-10-07,03:32.79,vice,jump_froyo_b3,WR,Map,record,map_record,,-00:29.44,07:05.23,2534779,76561198366368448,[U:1:406102720],
2023-10-08,03:10.84,Helmi. -CC,jump_froyo_b3,WR,Map,record,map_record,,-00:21.94,00:42.07,2535847,76561198201985399,[U:1:241719671],
2023-10-08,03:00.49,Helmi. -CC,jump_froyo_b3,WR,Map,record,map_record,,-00:10.35,00:10.35,2536458,76561198201985399,[U:1:241719671],
2023-10-08,03:00.16,tume,jump_froyo_b3,WR,Map,record,map_record,,-00:02.65,00:02.65,2536458,76561198163031219,[U:1:202765491],
2023-10-08,02:57.03,tume,jump_froyo_b3,WR,Map,record,map_record,,-00:03.13,00:03.13,2536458,76561198163031219,[U:1:202765491],
2023-10-08,02:52.26,tume,jump_froyo_b3,WR,Map,record,map_record,,-00:04.77,00:04.77,2536458,76561198163031219,[U:1:202765491],
2023-10-09,02:41.14,Helmi. -CC,jump_froyo_b3,WR,Map,record,map_record,,-00:11.11,00:11.17,2538066,76561198201985399,[U:1:241719671],
2025-08-05,02:29.54,cook,jump_froyo_b3,WR,Map,record,map_record,,-00:25.30,00:25.30,3437681,76561198418178297,[U:1:457912569],
