date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id,steam_candidates
2024-01-20,00:53.43,Waldo,jump_galaktikon_b2,WR,FirstRecord,,,,false,2692394,76561198020256631,[U:1:59990903],
2024-01-20,00:39.12,c -CC,jump_galaktikon_b2,WR,IRC,,-00:00.15,,false,2692414,76561197961895147,[U:1:1629419],
2024-01-20,00:39.12,c -CC,jump_galaktikon_b2,WR,IRC,,-00:00.15,,false,2692412,,,
2024-01-20,00:39.12,c -CC,jump_galaktikon_b2,WR,IRC,,-00:00.15,,false,2692490,,,
2024-01-20,00:39.12,c -CC,jump_galaktikon_b2,WR,IRC,,-00:00.15,,false,2692532,,,
2024-01-20,00:39.12,c -CC,jump_galaktikon_b2,WR,IRC,,-00:00.15,,false,2692405,,,
2024-01-20,00:39.12,c -CC,jump_galaktikon_b2,WR,IRC,,-00:00.15,,false,2692563,,,
2024-01-20,00:39.12,c -CC,jump_galaktikon_b2,WR,IRC,,-00:00.15,,false,2692560,,,
2024-01-20,00:39.12,c -CC,jump_galaktikon_b2,WR,IRC,,-00:00.15,,false,2692533,,,
2024-01-20,00:33.63,Van dyk,jump_galaktikon_b2,WR,MapRun,01:58.62,+01:24.99,,true,2692696,76561198149289770,[U:1:189024042],
2024-01-20,00:39.12,c -CC,jump_galaktikon_b2,WR,Compact,,,,false,2692696,,,
2024-01-20,00:39.12,c -CC,jump_galaktikon_b2,WR,Compact,,,,false,2692696,,,
2024-01-20,00:33.46,phancy,jump_galaktikon_b2,WR,IRC,,-00:00.16,,false,2692989,,,
2024-01-20,00:33.46,phancy,jump_galaktikon_b2,WR,IRC,,-00:00.16,,false,2692750,,,
2024-01-20,00:33.46,phancy,jump_galaktikon_b2,WR,MapRecord,,-00:00.16,00:01.66,false,2693238,76561198116189732,[U:1:155924004],
2024-01-20,00:33.46,phancy,jump_galaktikon_b2,WR,IRC,,-00:00.16,,false,2693057,,,
2024-01-20,00:31.63,phancy,jump_galaktikon_b2,WR,IRC,,-00:00.69,,false,2693621,,,
2024-01-20,00:31.63,phancy,jump_galaktikon_b2,WR,MapRecord,,-00:00.69,00:01.02,false,2693603,76561198116189732,[U:1:155924004],
2024-01-20,00:31.63,phancy,jump_galaktikon_b2,WR,IRC,,-00:00.69,,false,2693676,,,
2024-01-20,00:31.63,phancy,jump_galaktikon_b2,WR,IRC,,-00:00.69,,false,2693610,,,
2024-01-21,00:29.52,vice,jump_galaktikon_b2,WR,IRC,,-00:00.61,,false,2694342,,,
2024-01-21,00:30.13,vice,jump_galaktikon_b2,WR,IRC,,-00:00.85,,false,2694342,,,
2024-01-21,00:30.99,vice,jump_galaktikon_b2,WR,IRC,,-00:00.64,,false,2694342,,,
2024-01-21,00:29.52,vice,jump_galaktikon_b2,WR,MapRecord,,-00:00.61,00:00.61,false,2694382,76561198366368448,[U:1:406102720],
2024-01-21,00:30.13,vice,jump_galaktikon_b2,WR,MapRecord,,-00:00.85,00:00.85,false,2694382,76561198366368448,[U:1:406102720],
2024-01-21,00:30.99,vice,jump_galaktikon_b2,WR,MapRecord,,-00:00.64,,false,2694382,76561198366368448,[U:1:406102720],
2024-03-20,00:29.52,marjorie,jump_galaktikon_b2,WR,Compact,,,,false,2781829,,,
2024-08-31,00:29.52,megitsune,jump_galaktikon_b2,WR,Compact,,,,false,3019310,,,
2024-10-04,00:29.52,vice,jump_galaktikon_b2,WR,Compact,,,,false,3069209,,,
2025-08-09,00:29.52,vice,jump_galaktikon_b2,WR,Compact,,,,false,3442379,76561198366368448,[U:1:406102720],
2025-08-09,00:29.38,newjuls,jump_galaktikon_b2,WR,IRC,,-00:00.14,,false,3443410,,,
2025-08-09,00:29.38,newjuls,jump_galaktikon_b2,WR,IRC,,-00:00.14,,false,3443335,,,
2025-08-09,00:29.38,newjuls,jump_galaktikon_b2,WR,IRC,,-00:00.14,,false,3443405,,,
