date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id
2020-04-04,02:58.56,Boshy,jump_geronimo,WR,IRC,,-00:12.51,,false,1215169,,
2020-04-04,02:19.04,cander,jump_geronimo,WR,IRC,,-00:17.41,,false,1215297,,
2020-04-04,02:08.92,Mattp,jump_geronimo,WR,IRC,,-00:08.27,,false,1215323,76561198035204545,[U:1:74938817]
2020-04-05,02:01.89,Lighty,jump_geronimo,WR,MapRecord,,-00:07.03,00:08.83,false,1215667,,
2020-04-07,01:58.61,Lighty,jump_geronimo,WR,IRC,,-00:00.93,,false,1217539,,
2020-04-07,01:55.77,Skinny.,jump_geronimo,WR,IRC,,-00:02.84,,false,1217587,,
2020-04-07,01:55.63,cander,jump_geronimo,WR,IRC,,-00:00.13,,false,1217750,76561198318722879,[U:1:358457151]
2020-04-07,01:54.15,Skinny.,jump_geronimo,WR,MapRecord,,-00:01.48,00:01.61,false,1217951,76561198180610262,[U:1:220344534]
2020-07-16,01:52.65,cander,jump_geronimo,WR,MapRecord,,-00:01.50,00:02.98,false,1301873,76561198318722879,[U:1:358457151]
2020-10-08,01:52.30,Skinny.,jump_geronimo,WR,MapRecord,,-00:00.35,00:00.82,false,1381412,76561198180610262,[U:1:220344534]
2020-10-09,01:51.97,cander,jump_geronimo,WR,MapRecord,,-00:00.33,00:00.68,false,1382327,76561198318722879,[U:1:358457151]
2020-10-10,01:50.95,Skinny.,jump_geronimo,WR,MapRecord,,-00:01.02,00:01.35,false,1382975,76561198180610262,[U:1:220344534]
2021-12-30,01:47.50,cander,jump_geronimo,WR,MapRecord,,-00:03.45,00:03.97,false,1811330,76561198318722879,[U:1:358457151]
