date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id,steam_candidates
2014-07-29,01:15.38,Seras,jump_hajnal_finalbeta,WR,Course 1,,,,false,12761,76561198070882254,STEAM_0:0:55308263,
2014-07-29,01:15.38,Seras,jump_hajnal_finalbeta,WR,Course 1,,-00:00.25,00:00.25,false,12761,76561198070882254,STEAM_0:0:55308263,
2014-07-29,01:15.64,Seras,jump_hajnal_finalbeta,WR,Course 1,,-00:00.04,00:00.04,false,12761,76561198070882254,STEAM_0:0:55308263,
2014-07-29,01:47.36,Seras,jump_hajnal_finalbeta,WR,Course 2,,-00:19.41,01:00.68,false,12761,76561198070882254,STEAM_0:0:55308263,
2014-07-29,02:06.77,Ltfx,jump_hajnal_finalbeta,WR,Course 2,,,,false,12761,,,
2014-07-29,04:10.21,Seras,jump_hajnal_finalbeta,WR,MapRecord,,-00:09.85,00:24.37,false,12761,76561198070882254,STEAM_0:0:55308263,
2014-10-24,00:59.34,sunrise,jump_hajnal_finalbeta,WR,Course 1,,-00:05.65,00:05.65,false,25856,76561198042495717,[U:1:82229989],
2014-10-24,01:04.99,sunrise,jump_hajnal_finalbeta,WR,Course 1,,-00:02.41,00:02.41,false,25856,76561198042495717,[U:1:82229989],
2014-10-24,01:07.41,sunrise,jump_hajnal_finalbeta,WR,Course 1,,,,false,25856,76561198042495717,[U:1:82229989],
2014-10-24,01:07.41,sunrise,jump_hajnal_finalbeta,WR,Course 1,,-00:05.36,00:12.32,false,25856,76561198042495717,[U:1:82229989],
2014-10-24,03:23.69,sunrise,jump_hajnal_finalbeta,WR,MapRecord,,-00:43.27,00:43.27,false,25856,76561198042495717,[U:1:82229989],
2014-10-24,04:06.97,sunrise,jump_hajnal_finalbeta,WR,MapRecord,,-00:03.23,00:14.38,false,25856,76561198042495717,[U:1:82229989],
2014-10-24,04:10.21,K.R,jump_hajnal_finalbeta,WR,Compact,,,,false,25856,,,
2014-10-26,00:58.55,sunrise,jump_hajnal_finalbeta,WR,Course 1,,-00:00.78,00:00.78,false,26255,76561198042495717,[U:1:82229989],
2014-10-26,01:35.33,sunrise,jump_hajnal_finalbeta,WR,Course 2,,-00:05.23,00:05.23,false,26255,76561198042495717,[U:1:82229989],
2014-10-26,01:40.57,sunrise,jump_hajnal_finalbeta,WR,Course 2,,-00:00.31,00:16.39,false,26255,76561198042495717,[U:1:82229989],
2014-10-26,02:59.22,sunrise,jump_hajnal_finalbeta,WR,MapRecord,,-00:24.47,00:24.47,false,26255,76561198042495717,[U:1:82229989],
2014-10-27,00:55.54,δεμωμαν,jump_hajnal_finalbeta,WR,Course 1,,-00:00.11,00:00.11,false,26548,,,
2014-10-27,00:55.66,δεμωμαν,jump_hajnal_finalbeta,WR,Course 1,,-00:02.62,00:05.69,false,26548,,,
2014-10-27,00:58.29,sunrise,jump_hajnal_finalbeta,WR,Course 1,,-00:00.26,00:00.26,false,26548,76561198042495717,[U:1:82229989],
2014-10-27,01:16.64,δεμωμαν,jump_hajnal_finalbeta,WR,Course 2,,-00:03.30,00:27.56,false,26548,,,
2014-10-27,02:44.08,δεμωμαν,jump_hajnal_finalbeta,WR,MapRecord,,-00:15.13,00:58.20,false,26548,,,
2014-10-27,02:59.22,sunrise,jump_hajnal_finalbeta,WR,Compact,,,,false,26548,76561198042495717,[U:1:82229989],
2019-01-09,00:56.64,Boshy,jump_hajnal_finalbeta,WR,Course 2,,-00:03.67,00:05.59,false,862533,76561198046601398,[U:1:86335670],
2019-01-09,01:59.53,pissy,jump_hajnal_finalbeta,WR,Compact,,,,false,862533,,,
2019-07-02,00:40.03,---,jump_hajnal_finalbeta,WR,Course 1,,-00:00.44,00:00.44,false,1000235,76561198366368448,[U:1:406102720],
2019-07-02,01:49.10,---,jump_hajnal_finalbeta,WR,MapRecord,,-00:02.32,00:06.72,false,1000235,76561198366368448,[U:1:406102720],
2019-07-02,01:51.43,Boshy,jump_hajnal_finalbeta,WR,Compact,,,,false,1000235,,,
2019-07-03,00:51.03,twitch.tv/vicetf,jump_hajnal_finalbeta,WR,Course 2,,-00:04.65,00:04.65,false,1001109,,,
2019-07-03,00:55.69,twitch.tv/vicetf,jump_hajnal_finalbeta,WR,Course 2,,-00:00.61,00:00.61,false,1001109,,,
2019-07-03,00:56.30,twitch.tv/vicetf,jump_hajnal_finalbeta,WR,Course 2,,-00:00.33,00:07.97,false,1001109,,,
2019-07-03,01:49.10,twitch.tv/vicetf,jump_hajnal_finalbeta,WR,Compact,,,,false,1001109,,,
2022-11-24,01:45.24,bunny.,jump_hajnal_finalbeta,WR,MapRun,05:35.62,+03:50.38,,true,2126692,76561198201985399,[U:1:241719671],
2024-01-27,01:45.24,Waldo,jump_hajnal_finalbeta,WR,Compact,,,,false,2704711,,,
2024-04-12,01:45.24,Waldo,jump_hajnal_finalbeta,WR,Compact,,,,false,2813108,,,
2024-05-16,01:43.93,kratos,jump_hajnal_finalbeta,WR,IRC,,-00:01.30,,false,2861371,,,
2024-05-16,01:43.93,kratos,jump_hajnal_finalbeta,WR,IRC,,-00:01.30,,false,2861428,,,
