date,record_time,player,map,record_type,segment,evidence,evidence_source,run_time,split,improvement,demo_id,steam_id64,steam_id,steam_candidates
2020-01-01,02:21.82,error.,jump_halcyon_b3,WR,Map,record,first_record,,,,1138156,76561198108434294,[U:1:148168566],
2020-01-01,02:03.13,vice,jump_halcyon_b3,WR,Map,announcement,irc,,-00:18.68,,,76561198366368448,[U:1:406102720],
2020-01-01,01:36.98,AgentApples,jump_halcyon_b3,WR,Map,record,map_record,,-00:14.56,00:52.78,1138156,76561198165669347,[U:1:205403619],
2020-01-01,01:20.38,AgentApples,jump_halcyon_b3,WR,Map,record,map_record,,-00:16.60,00:16.60,1138156,76561198165669347,[U:1:205403619],
2020-01-01,01:18.67,cander -cg ุ,jump_halcyon_b3,WR,Map,announcement,irc,,-00:01.70,,,,,
2020-01-01,01:09.34,kater,jump_halcyon_b3,WR,Map,record,map_record,,-00:09.33,,1138156,76561198222006144,[U:1:261740416],
2020-01-01,00:58.19,kater,jump_halcyon_b3,WR,Map,record,map_record,,-00:11.14,00:11.14,1138156,76561198222006144,[U:1:261740416],
2020-01-01,00:56.98,deceptive,jump_halcyon_b3,WR,Map,announcement,irc,,-00:01.21,,,76561198281755237,[U:1:321489509],
2020-01-01,00:53.59,kater,jump_halcyon_b3,WR,Map,record,map_record,,-00:03.38,00:04.60,1138156,76561198222006144,[U:1:261740416],
2020-01-01,00:50.08,vice,jump_halcyon_b3,WR,Map,announcement,irc,,-00:03.51,,,76561198366368448,[U:1:406102720],
2020-01-01,00:49.17,kater,jump_halcyon_b3,WR,Map,record,map_record,,-00:00.91,00:01.78,1138156,76561198222006144,[U:1:261740416],
2020-01-01,00:47.95,vice,jump_halcyon_b3,WR,Map,announcement,irc,,-00:01.21,,,76561198366368448,[U:1:406102720],
2020-01-23,00:46.96,vice,jump_halcyon_b3,WR,Map,record,map_record,,-00:00.98,00:00.98,1155885,76561198366368448,[U:1:406102720],
2020-01-23,00:46.78,vice,jump_halcyon_b3,WR,Map,record,map_record,,-00:00.17,00:00.17,1155885,76561198366368448,[U:1:406102720],
2020-05-18,00:46.51,song,jump_halcyon_b3,WR,Map,record,map_record,,-00:00.27,00:00.39,1253151,76561198210286877,[U:1:250021149],
2020-05-19,00:44.83,song,jump_halcyon_b3,WR,Map,record,map_record,,-00:01.67,00:01.67,1253764,76561198210286877,[U:1:250021149],
2025-01-04,00:44.53,vice,jump_halcyon_b3,WR,Map,record,map_record,,-00:00.45,00:02.25,3203922,76561198366368448,[U:1:406102720],
2025-09-02,00:44.50,newjuls,jump_halcyon_b3,WR,Map,record,map_record,,-00:00.03,00:00.75,3476135,76561198396018338,[U:1:435752610],
