date,record_time,player,map,record_type,segment,evidence,evidence_source,run_time,split,improvement,demo_id,steam_id64,steam_id,steam_candidates
2018-05-25,08:36.16,zye92937,jump_hana,WR,Map,record,first_record,,,,658892,76561198014202767,[U:1:53937039],
2018-05-25,06:11.04,aki,jump_hana,WR,Map,announcement,irc,,-02:25.12,,,76561198048851475,[U:1:88585747],
2018-05-25,02:55.36,al,jump_hana,WR,Map,record,map_record,,-00:20.79,,658892,76561198084911494,[U:1:124645766],
2018-05-25,01:26.33,Larry,jump_hana,WR,Map,announcement,irc,,-00:00.77,,,76561198060570011,[U:1:100304283],
2018-05-25,01:25.70,Larry,jump_hana,WR,Map,announcement,irc,,-00:00.63,,,76561198060570011,[U:1:100304283],
2018-05-26,01:24.04,kidder | bg5.tf,jump_hana,WR,Map,record,map_record,,-00:01.66,00:04.81,659809,76561198000949987,[U:1:40684259],
2018-05-26,01:20.41,kidder | bg5.tf,jump_hana,WR,Map,record,map_record,,-00:03.62,00:03.62,659809,76561198000949987,[U:1:40684259],
2018-06-07,01:18.52,kidder | bg5.tf,jump_hana,WR,Map,record,map_record,,-00:01.89,00:01.89,671821,76561198000949987,[U:1:40684259],
2021-12-25,01:17.86,DenDro,jump_hana,WR,Map,record,map_record,,-00:00.66,00:00.73,1806106,76561198126091800,[U:1:165826072],
2022-02-13,01:16.17,DenDro,jump_hana,WR,Map,record,map_record,,-00:01.69,00:01.69,1856155,76561198126091800,[U:1:165826072],
2023-12-30,01:16.11,taka,jump_hana,WR,Map,record,map_record,,-00:00.06,00:02.68,2661869,76561198366368448,[U:1:406102720],
2023-12-30,01:15.00,taka,jump_hana,WR,Map,record,map_record,,-00:01.11,00:01.11,2661869,76561198366368448,[U:1:406102720],
