date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id
2018-03-11,25:57.96,i am the spooket,jump_hanami_final_v2,WR,MapRun,7:39:15.66,+7:13:17.70,,true,596410,,
2018-07-13,18:34.36,kaptain,jump_hanami_final_v2,WR,IRC,,-07:23.59,,false,705006,,
2019-12-01,10:44.09,Diller,jump_hanami_final_v2,WR,MapRecord,,-07:50.26,28:55.97,false,1114781,76561198040963460,[U:1:80697732]
2021-01-03,08:49.32,diller,jump_hanami_final_v2,WR,MapRecord,,-01:54.78,01:54.78,false,1466722,,
2022-03-07,07:40.53,diller,jump_hanami_final_v2,WR,IRC,,-01:08.79,,false,1880020,76561198040963460,[U:1:80697732]
2023-07-13,07:22.95,rubidus,jump_hanami_final_v2,WR,IRC,,-00:17.58,,false,2403721,,
2023-07-22,06:33.49,diller,jump_hanami_final_v2,WR,MapRecord,,-00:49.45,01:07.03,false,2417619,76561198040963460,[U:1:80697732]
2024-05-09,06:01.50,rubi,jump_hanami_final_v2,WR,IRC,,-00:31.99,,false,2852212,,
2024-12-09,05:20.76,Ramen,jump_hanami_final_v2,WR,MapRun,1:31:02.01,+1:25:41.25,,true,3166423,76561198167532459,[U:1:207266731]
2024-12-18,05:14.79,Bottyboi,jump_hanami_final_v2,WR,MapRun,2:02:26.17,+1:57:11.38,,true,3179146,76561198167723343,[U:1:207457615]
2025-01-23,04:43.47,wizard,jump_hanami_final_v2,WR,MapRun,2:59:24.75,+2:54:41.28,,true,3233437,76561198417245852,[U:1:456980124]
2025-05-04,04:30.32,Spooks,jump_hanami_final_v2,WR,MapRun,3:47:11.74,+3:42:41.42,,true,3304685,76561198081078326,[U:1:120812598]
