date,record_time,player,map,record_type,segment,evidence,evidence_source,run_time,split,improvement,demo_id,steam_id64,steam_id,steam_candidates
2014-06-08,09:20.10,guyyst,jump_hangar_18,WR,Map,record,map_record,,-36:19.50,42:55.40,7953,76561198041343262,STEAM_0:0:40538767,
2014-11-07,07:06.31,jondy,jump_hangar_18,WR,Map,record,map_record,,-02:13.78,14:25.10,28920,76561198055778722,[U:1:95512994],
2015-01-14,05:38.32,LessThanThree,jump_hangar_18,WR,Map,record,map_record,,-01:27.99,01:48.51,49893,76561198066563951,[U:1:106298223],
2015-02-10,05:18.79,jdollo,jump_hangar_18,WR,Map,record,map_record,,-00:19.52,01:47.52,59815,76561198055778722,[U:1:95512994],
2015-02-17,05:13.43,LTT,jump_hangar_18,WR,Map,record,map_record,,-00:05.35,00:24.88,62387,76561198066563951,[U:1:106298223],
2015-03-02,05:03.57,JoNdEeZy,jump_hangar_18,WR,Map,record,map_record,,-00:09.86,00:15.22,66616,76561198055778722,[U:1:95512994],
2015-03-02,04:58.16,JoNdEeZy,jump_hangar_18,WR,Map,record,map_record,,-00:05.40,00:05.40,66623,76561198055778722,[U:1:95512994],
2020-07-15,03:10.31,Boshy,jump_hangar_18,WR,Map,command,rank_command,,,,,,,
2021-03-05,03:01.23,goblins' own tom,jump_hangar_18,WR,Map,record,map_record,,-00:09.09,00:23.91,1527310,,,
2021-03-05,02:49.83,goblins' own tom,jump_hangar_18,WR,Map,record,map_record,,-00:11.40,00:11.40,1527310,,,
2021-03-06,02:39.78,goblins' own tom,jump_hangar_18,WR,Map,record,map_record,,-00:10.05,00:10.05,1527446,,,
2021-05-13,00:13.42,Salty,jump_hangar_18,WR,Bonus 1,record,zone_record,,-00:01.11,00:01.11,1587369,76561198070497462,[U:1:110231734],
2021-05-13,00:12.58,Salty,jump_hangar_18,WR,Bonus 1,record,zone_record,,-00:00.28,00:00.28,1587609,76561198070497462,[U:1:110231734],
2021-05-13,00:12.49,Salty,jump_hangar_18,WR,Bonus 1,record,zone_record,,-00:00.09,00:00.09,1587609,76561198070497462,[U:1:110231734],
2021-05-13,00:12.45,Salty,jump_hangar_18,WR,Bonus 1,record,zone_record,,-00:00.04,00:00.04,1587609,76561198070497462,[U:1:110231734],
2021-07-06,00:12.24,ShinigamiRyuk,jump_hangar_18,WR,Bonus 1,record,zone_record,,-00:00.28,00:00.28,1631518,76561198205685593,[U:1:245419865],
2021-07-07,00:12.18,Udo2700,jump_hangar_18,WR,Bonus 1,record,zone_record,,-00:00.45,00:00.45,1632492,76561198979680671,[U:1:1019414943],
2021-09-01,00:12.03,Salty,jump_hangar_18,WR,Bonus 1,record,zone_record,,-00:00.15,00:00.37,1690497,76561198070497462,[U:1:110231734],
2021-09-15,00:11.91,juup -rng,jump_hangar_18,WR,Bonus 1,record,zone_record,,-00:00.12,00:01.63,1706293,76561198243952326,[U:1:283686598],
2021-09-26,00:11.86,Udo2700,jump_hangar_18,WR,Bonus 1,record,zone_record,,-00:00.09,00:00.09,1714082,76561198979680671,[U:1:1019414943],
2023-02-25,00:11.83,Landvogt,jump_hangar_18,WR,Bonus 1,record,zone_record,,-00:00.15,00:00.15,2224960,76561198036170813,[U:1:75905085],
2024-07-15,00:11.32,+46 °Roticher,jump_hangar_18,WR,Bonus 1,record,zone_record,,-00:00.82,00:00.82,2950217,76561198194559879,[U:1:234294151],
2024-07-15,00:11.26,°Roticher,jump_hangar_18,WR,Bonus 1,record,zone_record,,-00:00.06,00:00.06,2950217,,,
2024-07-15,00:11.20,°Roticher,jump_hangar_18,WR,Bonus 1,record,zone_record,,-00:00.06,00:00.06,2950217,,,
2024-07-25,02:33.00,Salty,jump_hangar_18,WR,Map,record,map_record,,-00:06.78,00:39.51,2964179,76561198070497462,[U:1:110231734],
2025-01-07,02:28.38,bnuy,jump_hangar_18,WR,Map,record,map_record,,-00:04.62,00:13.20,3208433,76561198201985399,[U:1:241719671],
2025-10-18,00:11.07,th14 marisaB lif,jump_hangar_18,WR,Bonus 1,record,zone_record,,-00:00.14,00:00.14,3539714,,,
2025-12-03,00:10.96,müsli,jump_hangar_18,WR,Bonus 1,record,zone_record,,-00:00.10,00:00.20,3608941,76561198379555950,[U:1:419290222],
2025-12-03,00:10.89,müsli,jump_hangar_18,WR,Bonus 1,record,zone_record,,-00:00.08,00:00.08,3608941,76561198379555950,[U:1:419290222],
2025-12-03,00:10.83,müsli,jump_hangar_18,WR,Bonus 1,record,zone_record,,-00:00.06,00:00.06,3608941,76561198379555950,[U:1:419290222],
