date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id,steam_candidates
2017-12-09,02:39.95,crocket | HealsF,jump_hardware,WR,IRC,,-00:38.52,,false,521538,,,
2017-12-09,03:18.48,Zike1017 ツ | H,jump_hardware,WR,IRC,,-02:58.49,,false,521538,,,
2017-12-09,06:16.97,Zike1017 ツ | H,jump_hardware,WR,IRC,,-00:17.14,,false,521538,,,
2017-12-09,06:34.12,Zike1017 ツ | H,jump_hardware,WR,IRCSet,,,,false,521538,,,
2017-12-09,00:42.04,crocket,jump_hardware,WR,Course 1,,-00:02.14,00:02.14,false,521577,76561198120366659,[U:1:160100931],
2017-12-09,00:44.19,crocket,jump_hardware,WR,Course 1,,-00:00.17,00:00.17,false,521577,76561198120366659,[U:1:160100931],
2017-12-09,00:44.36,crocket,jump_hardware,WR,Course 1,,-00:00.04,00:00.04,false,521577,76561198120366659,[U:1:160100931],
2017-12-09,00:53.21,crocket | HealsF,jump_hardware,WR,Course 1,,,,false,521577,,,
2017-12-09,00:53.21,crocket | HealsF,jump_hardware,WR,Course 1,,-00:00.18,,false,521577,,,
2017-12-09,00:53.40,Zike1017 ツ | H,jump_hardware,WR,Course 1,,-00:01.67,00:01.67,false,521577,,,
2017-12-09,00:55.07,Zike1017 ツ | H,jump_hardware,WR,Course 1,,,,false,521577,,,
2017-12-09,00:55.07,Zike1017 ツ | H,jump_hardware,WR,Course 1,,-00:08.10,00:08.10,false,521577,,,
2017-12-09,01:03.17,Zike1017 ツ | H,jump_hardware,WR,Course 1,,-02:40.62,,false,521577,,,
2017-12-09,02:08.41,Zike1017 ツ | H,jump_hardware,WR,Course 2,,-02:58.31,02:58.31,false,521577,,,
2017-12-09,02:34.85,crocket,jump_hardware,WR,MapRecord,,-00:05.10,00:05.10,false,521577,76561198120366659,[U:1:160100931],
2017-12-09,02:34.85,crocket,jump_hardware,WR,Compact,,,,false,521577,76561198120366659,[U:1:160100931],
2017-12-09,02:34.85,crocket,jump_hardware,WR,Compact,,,,false,521577,76561198120366659,[U:1:160100931],
2017-12-09,02:34.85,crocket,jump_hardware,WR,Ranked,,,,true,521577,76561198120366659,[U:1:160100931],
2017-12-09,02:34.85,mesatech,jump_hardware,WR,MapRun,03:52.23,+01:17.38,,true,521577,76561198111845972,[U:1:151580244],
2017-12-09,02:34.86,mesatech,jump_hardware,WR,MapRun,03:16.80,+00:41.94,00:10.15,true,521577,76561198111845972,[U:1:151580244],
2017-12-09,02:39.95,crocket,jump_hardware,WR,Compact,,,,false,521577,76561198120366659,[U:1:160100931],
2017-12-09,02:39.95,crocket,jump_hardware,WR,Compact,,,,false,521577,76561198120366659,[U:1:160100931],
2017-12-09,02:39.95,crocket | HealsF,jump_hardware,WR,Compact,,,,false,521577,,,
2017-12-09,02:39.95,crocket | HealsF,jump_hardware,WR,Compact,,,,false,521577,,,
2017-12-09,02:39.95,crocket | HealsF,jump_hardware,WR,IRC,,-00:38.52,,false,521577,,,
2017-12-09,02:39.96,False_,jump_hardware,WR,MapRun,42:26.53,+39:46.57,,true,521577,76561198044272896,[U:1:84007168],
2017-12-09,02:39.96,Fifz,jump_hardware,WR,MapRun,21:31.67,+18:51.71,,true,521577,76561198057640564,[U:1:97374836],
2017-12-09,02:39.96,Nando53rd,jump_hardware,WR,MapRun,1:05:22.63,+1:02:42.67,,true,521577,76561198057187867,[U:1:96922139],
2017-12-09,02:39.96,mesatech,jump_hardware,WR,MapRun,03:26.95,+00:46.99,00:17.06,true,521577,76561198111845972,[U:1:151580244],
2017-12-09,02:39.96,mesatech,jump_hardware,WR,MapRun,03:44.02,+01:04.06,00:07.21,true,521577,76561198111845972,[U:1:151580244],
