date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id,steam_candidates
2020-07-21,00:55.84,Luke.,jump_haze,WR,IRCSet,,,,false,1306444,,,
2020-07-21,00:55.84,Luke.,jump_haze,WR,IRCSet,,,,false,1306592,,,
2020-07-21,00:55.84,Luke.,jump_haze,WR,IRCSet,,,,false,1306609,,,
2020-07-21,00:55.84,Luke.,jump_haze,WR,IRCSet,,,,false,1306613,,,
2020-07-21,00:55.84,Luke.,jump_haze,WR,IRCSet,,,,false,1306614,,,
2020-07-21,00:55.84,Luke.,jump_haze,WR,IRCSet,,,,false,1306631,,,
2020-07-21,00:55.84,Luke.,jump_haze,WR,IRCSet,,,,false,1306636,,,
2020-07-21,00:10.49,Luke.,jump_haze,WR,Bonus 1,,-00:05.49,,false,1306660,76561198098414676,[U:1:138148948],
2020-07-21,00:11.17,Luke.,jump_haze,WR,Bonus 2,,-00:04.15,,false,1306660,76561198098414676,[U:1:138148948],
2020-07-21,00:15.33,riot,jump_haze,WR,Bonus 2 First,,,,false,1306660,76561198065169685,[U:1:104903957],
2020-07-21,00:15.92,Luke.,jump_haze,WR,Bonus 5,,-00:18.66,,false,1306660,76561198098414676,[U:1:138148948],
2020-07-21,00:15.99,riot,jump_haze,WR,Bonus 1 First,,,,false,1306660,76561198065169685,[U:1:104903957],
2020-07-21,00:30.79,Luke.,jump_haze,WR,Bonus 3,,-00:04.80,,false,1306660,76561198098414676,[U:1:138148948],
2020-07-21,00:34.59,riot,jump_haze,WR,Bonus 5 First,,,,false,1306660,76561198065169685,[U:1:104903957],
2020-07-21,00:35.59,riot,jump_haze,WR,Bonus 3 First,,,,false,1306660,76561198065169685,[U:1:104903957],
2020-07-21,00:49.93,riot,jump_haze,WR,Bonus 4 First,,,,false,1306660,76561198065169685,[U:1:104903957],
2020-07-21,00:55.84,Luke.,jump_haze,WR,FirstRecord,,,,false,1306660,76561198098414676,[U:1:138148948],
2020-07-21,00:40.96,tomato tom,jump_haze,WR,IRC,,-00:01.48,,false,1306695,76561198120374593,[U:1:160108865],
2020-07-21,00:42.45,tomato tom,jump_haze,WR,IRC,,-00:02.96,,false,1306695,76561198120374593,[U:1:160108865],
2020-07-21,00:45.41,tomato tom,jump_haze,WR,IRC,,-00:00.51,,false,1306695,76561198120374593,[U:1:160108865],
2020-07-21,00:45.92,tomato tom,jump_haze,WR,IRC,,-00:02.74,,false,1306695,76561198120374593,[U:1:160108865],
2020-07-21,00:48.67,tomato tom,jump_haze,WR,IRC,,-00:01.87,,false,1306695,76561198120374593,[U:1:160108865],
2020-07-21,00:50.55,tomato tom,jump_haze,WR,IRC,,-00:05.29,,false,1306695,76561198120374593,[U:1:160108865],
2020-07-21,00:40.96,tomato tom,jump_haze,WR,IRC,,-00:01.48,,false,1306770,,,
2020-07-21,00:42.45,tomato tom,jump_haze,WR,IRC,,-00:02.96,,false,1306770,,,
2020-07-21,00:45.41,tomato tom,jump_haze,WR,IRC,,-00:00.51,,false,1306770,,,
2020-07-21,00:45.92,tomato tom,jump_haze,WR,IRC,,-00:02.74,,false,1306770,,,
2020-07-21,00:48.67,tomato tom,jump_haze,WR,IRC,,-00:01.87,,false,1306770,,,
2020-07-21,00:50.55,tomato tom,jump_haze,WR,IRC,,-00:05.29,,false,1306770,,,
2020-07-21,00:40.96,tomato tom,jump_haze,WR,IRC,,-00:01.48,,false,1306772,,,
2020-07-21,00:42.45,tomato tom,jump_haze,WR,IRC,,-00:02.96,,false,1306772,,,
2020-07-21,00:45.41,tomato tom,jump_haze,WR,IRC,,-00:00.51,,false,1306772,,,
2020-07-21,00:45.92,tomato tom,jump_haze,WR,IRC,,-00:02.74,,false,1306772,,,
2020-07-21,00:48.67,tomato tom,jump_haze,WR,IRC,,-00:01.87,,false,1306772,,,
2020-07-21,00:50.55,tomato tom,jump_haze,WR,IRC,,-00:05.29,,false,1306772,,,
2020-07-21,00:04.57,vice,jump_haze,WR,Bonus 7,,-00:00.14,00:00.14,false,1306792,76561198366368448,[U:1:406102720],
2020-07-21,00:04.71,vice,jump_haze,WR,Bonus 7,,-00:00.20,00:00.20,false,1306792,76561198366368448,[U:1:406102720],
2020-07-21,00:04.91,vice,jump_haze,WR,Bonus 7,,-00:01.05,00:01.05,false,1306792,76561198366368448,[U:1:406102720],
2020-07-21,00:05.97,vice,jump_haze,WR,Bonus 7 First,,,,false,1306792,76561198366368448,[U:1:406102720],
2020-07-21,00:10.90,vice,jump_haze,WR,Bonus 2,,-00:00.27,00:00.46,false,1306792,76561198366368448,[U:1:406102720],
2020-07-21,00:45.99,vice,jump_haze,WR,Bonus 4,,-00:03.94,00:04.00,false,1306792,76561198366368448,[U:1:406102720],
2020-07-22,00:40.96,tomato tom,jump_haze,WR,IRC,,-00:01.48,,false,1306836,76561198120374593,[U:1:160108865],
2020-07-22,00:42.45,tomato tom,jump_haze,WR,IRC,,-00:02.96,,false,1306836,76561198120374593,[U:1:160108865],
2020-07-22,00:45.41,tomato tom,jump_haze,WR,IRC,,-00:00.51,,false,1306836,76561198120374593,[U:1:160108865],
2020-07-22,00:45.92,tomato tom,jump_haze,WR,IRC,,-00:02.74,,false,1306836,76561198120374593,[U:1:160108865],
2020-07-22,00:48.67,tomato tom,jump_haze,WR,IRC,,-00:01.87,,false,1306836,76561198120374593,[U:1:160108865],
2020-07-22,00:50.55,tomato tom,jump_haze,WR,IRC,,-00:05.29,,false,1306836,76561198120374593,[U:1:160108865],
2020-07-22,00:50.55,tomato tom,jump_haze,WR,IRC,,-00:05.29,,false,1306850,,,
2020-07-22,00:39.93,tomato tom,jump_haze,WR,IRC,,-00:01.03,,false,1306855,76561198120374593,[U:1:160108865],
2020-07-22,00:40.96,tomato tom,jump_haze,WR,IRC,,-00:01.48,,false,1306855,76561198120374593,[U:1:160108865],
2020-07-22,00:42.45,tomato tom,jump_haze,WR,IRC,,-00:02.96,,false,1306855,76561198120374593,[U:1:160108865],
