date,record_time,player,map,record_type,segment,evidence,evidence_source,run_time,split,improvement,demo_id,steam_id64,steam_id,steam_candidates
2014-08-03,01:05.47,Aurora,jump_hobo,WR,Map,record,map_record,,-00:03.18,,13577,76561198053067670,STEAM_0:0:46400971,
2014-11-26,01:05.09,EXC0,jump_hobo,WR,Map,record,map_record,,-00:00.37,00:04.21,33225,76561198018240879,[U:1:57975151],
2014-12-12,01:04.57,lil big jon,jump_hobo,WR,Map,record,map_record,,-00:00.52,00:02.18,36134,76561198055778722,[U:1:95512994],
2015-02-03,01:04.43,snrs,jump_hobo,WR,Map,command,wr_command,,,,,76561198042495717,[U:1:82229989],
2015-02-07,01:02.48,jdollo,jump_hobo,WR,Map,record,map_record,,-00:01.95,00:02.08,59121,76561198055778722,[U:1:95512994],
2015-04-11,01:00.77,ass,jump_hobo,WR,Map,record,map_record,,-00:01.70,00:03.28,81319,76561197992998578,[U:1:32732850],
2015-04-24,01:00.20,jondyj,jump_hobo,WR,Map,record,map_record,,-00:00.57,00:02.28,86072,76561198055778722,[U:1:95512994],
2017-11-12,00:51.80,christmas hat ki,jump_hobo,WR,Map,announcement,irc,,-00:00.31,,,,,
2017-11-12,00:51.16,kidder,jump_hobo,WR,Map,record,map_record,,-00:00.64,00:00.64,501463,76561198000949987,[U:1:40684259],
2017-11-12,00:49.89,kidder,jump_hobo,WR,Map,record,map_record,,-00:01.27,00:01.27,501463,76561198000949987,[U:1:40684259],
2018-10-05,00:49.06,jack the kidder,jump_hobo,WR,Map,record,map_record,,-00:00.82,00:00.82,781241,76561198000949987,[U:1:40684259],
2020-08-03,00:48.14,twitch.tv/boshyt,jump_hobo,WR,Map,announcement,irc,,-00:00.91,,,,,
2020-08-03,00:47.84,twitch.tv/boshyt,jump_hobo,WR,Map,announcement,irc,,-00:00.29,,,,,
2020-08-03,00:47.07,twitch.tv/boshyt,jump_hobo,WR,Map,record,map_record,,-00:00.77,00:00.77,1317204,,,
2023-08-19,00:46.03,newjuls,jump_hobo,WR,Map,announcement,irc,,-00:00.31,,,76561198396018338,[U:1:435752610],
2023-11-28,00:45.78,Rellort -fwo -gu,jump_hobo,WR,Map,record,map_record,,-00:00.25,00:00.33,2611999,,,
2023-11-29,00:45.70,newjuls,jump_hobo,WR,Map,record,map_record,,-00:00.07,00:00.21,2613748,76561198396018338,[U:1:435752610],
2023-12-02,00:45.21,Rellort -fwo -gu,jump_hobo,WR,Map,record,map_record,,-00:00.49,00:00.57,2618947,,,
2023-12-02,00:44.58,Rellort -fwo -gu,jump_hobo,WR,Map,record,map_record,,-00:00.63,00:00.63,2618947,,,
2023-12-03,00:44.40,newjuls,jump_hobo,WR,Map,record,map_record,,-00:00.18,00:00.39,2619312,76561198396018338,[U:1:435752610],
2023-12-04,00:44.01,Rellort -fwo -gu,jump_hobo,WR,Map,record,map_record,,-00:00.39,00:00.57,2621010,,,
2023-12-06,00:43.96,newjuls,jump_hobo,WR,Map,record,map_record,,-00:00.04,00:00.43,2625026,76561198396018338,[U:1:435752610],
2024-07-04,00:43.54,Rellort,jump_hobo,WR,Map,record,map_record,,-00:00.42,00:00.42,2932772,76561198090668406,[U:1:130402678],
2024-11-22,00:42.72,newjuls,jump_hobo,WR,Map,record,map_record,,-00:00.82,00:01.24,3141955,76561198396018338,[U:1:435752610],
