date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id,steam_candidates
2014-06-08,01:09.79,guyyst,jump_hopstep_a3,WR,MapRecord,,-00:17.98,00:17.98,false,7955,76561198041343262,STEAM_0:0:40538767,
2014-06-08,01:27.77,guyyst,jump_hopstep_a3,WR,MapRecord,,-00:19.06,00:19.06,false,7955,76561198041343262,STEAM_0:0:40538767,
2014-06-08,01:46.84,guyyst,jump_hopstep_a3,WR,MapRecord,,-00:31.69,01:03.49,false,7955,76561198041343262,STEAM_0:0:40538767,
2015-04-02,01:09.80,Johnᵇᵗ,jump_hopstep_a3,WR,MapRun,32:30.70,+31:20.90,,true,78097,76561197960889092,[U:1:623364],
2015-08-29,01:09.79,K-KILLA,jump_hopstep_a3,WR,MapRun,18:08.36,+16:58.57,,true,134070,76561198045405184,[U:1:85139456],
2015-08-29,01:09.79,Tyrael,jump_hopstep_a3,WR,MapRun,39:33.04,+38:23.25,,true,134070,76561198033448408,[U:1:73182680],
2018-02-10,01:03.22,gonk,jump_hopstep_a3,WR,MapRun,02:33.29,+01:30.07,02:26.88,true,573541,76561198396018338,[U:1:435752610],
2018-02-10,01:03.23,gancho,jump_hopstep_a3,WR,MapRun,01:12.55,+00:09.32,01:12.43,true,573541,76561198050815941,[U:1:90550213],
2018-02-10,01:03.23,gancho,jump_hopstep_a3,WR,MapRun,02:24.99,+01:21.76,00:23.26,true,573541,76561198050815941,[U:1:90550213],
2018-02-10,01:03.23,gonk,jump_hopstep_a3,WR,MapRun,05:00.18,+03:56.95,02:00.40,true,573541,76561198396018338,[U:1:435752610],
2018-02-10,01:03.23,scotch,jump_hopstep_a3,WR,MapRun,02:16.17,+01:12.94,00:54.16,true,573541,76561198041597961,[U:1:81332233],
2018-02-10,01:03.23,scotch,jump_hopstep_a3,WR,MapRun,03:10.33,+02:07.10,00:22.61,true,573541,76561198041597961,[U:1:81332233],
2018-02-10,01:03.23,scotch,jump_hopstep_a3,WR,MapRun,03:32.95,+02:29.72,31:32.07,true,573541,76561198041597961,[U:1:81332233],
2018-09-30,01:00.85,jack the kidder,jump_hopstep_a3,WR,MapRecord,,-00:02.36,00:08.05,false,776304,,,
2018-09-30,01:00.85,Ben Shapiro DEST,jump_hopstep_a3,WR,Compact,,,,false,776304,,,
2018-09-30,01:03.22,Ben Shapiro DEST,jump_hopstep_a3,WR,MapRun,02:20.14,+01:16.92,,true,776304,,,
2018-09-30,01:03.22,jack the kidder,jump_hopstep_a3,WR,MapRun,01:11.05,+00:07.83,,true,776304,,,
2019-03-07,00:57.31,genny,jump_hopstep_a3,WR,MapRecord,,-00:01.54,00:01.72,false,909655,76561198041081169,[U:1:80815441],
2019-03-07,00:58.86,all american dog,jump_hopstep_a3,WR,MapRun,08:51.38,+07:52.52,,true,909655,76561198029546534,[U:1:69280806],
2019-05-15,00:57.23,Shunix -tt,jump_hopstep_a3,WR,MapRun,02:08.92,+01:11.69,,true,963368,76561198047121805,[U:1:86856077],
