date,record_time,player,map,record_type,segment,evidence,evidence_source,run_time,split,improvement,demo_id,steam_id64,steam_id,steam_candidates
2014-07-19,01:51.85,Randy Orton,jump_housebeta,WR,Map,record,map_record,,-00:03.79,00:06.91,11429,76561198070882254,STEAM_0:0:55308263,
2014-07-19,01:45.37,minty,jump_housebeta,WR,Map,record,map_record,,-00:06.48,00:09.09,11429,76561198050815941,STEAM_0:1:45275106,
2014-10-14,00:27.71,BANG... BANG,jump_housebeta,WR,Course 1,record,zone_record,,-00:01.01,00:01.56,23695,76561198078488228,[U:1:118222500],
2014-10-14,01:42.68,BANG... BANG,jump_housebeta,WR,Map,record,map_record,,-00:02.68,00:12.96,23695,76561198078488228,[U:1:118222500],
2014-11-18,01:03.17,Pigbearmanspider,jump_housebeta,WR,Course 2,record,zone_record,,-00:00.19,00:00.19,31460,76561198067226764,[U:1:106961036],
2014-11-18,01:41.03,Pigbearmanspider,jump_housebeta,WR,Map,record,map_record,,-00:01.64,00:03.96,31460,76561198067226764,[U:1:106961036],
2015-08-01,01:38.96,unknown,jump_housebeta,WR,Map,observed,wr_split,,,,,,,
2015-08-01,01:37.48,879m,jump_housebeta,WR,Map,record,map_record,,-00:01.48,00:02.55,122508,76561198043793220,[U:1:83527492],
2015-08-01,01:34.09,879m,jump_housebeta,WR,Map,record,map_record,,-00:03.38,00:03.38,122508,76561198043793220,[U:1:83527492],
2015-08-01,01:32.60,879m,jump_housebeta,WR,Map,record,map_record,,-00:01.49,00:01.49,122508,76561198043793220,[U:1:83527492],
2017-12-18,01:22.84,Zike1017 ツ,jump_housebeta,WR,Map,command,wr_command,,,,,76561198050366275,[U:1:90100547],
2017-12-18,00:22.06,Zike1017 ツ,jump_housebeta,WR,Course 1,record,zone_record,,-00:00.46,00:00.59,528318,76561198050366275,[U:1:90100547],
2017-12-18,00:21.76,Zike1017 ツ,jump_housebeta,WR,Course 1,record,zone_record,,-00:00.29,00:00.29,528318,76561198050366275,[U:1:90100547],
2017-12-18,00:21.37,Zike1017 ツ,jump_housebeta,WR,Course 1,record,zone_record,,-00:00.39,00:00.39,528318,76561198050366275,[U:1:90100547],
2018-06-18,01:21.45,"and uhh, dog",jump_housebeta,WR,Map,record,map_record,,-00:01.39,00:03.65,681535,76561198396018338,[U:1:435752610],
2018-06-18,01:21.43,"and uhh, dog",jump_housebeta,WR,Map,record,map_record,,-00:00.01,00:00.01,681535,76561198396018338,[U:1:435752610],
2018-06-21,01:20.49,unknown,jump_housebeta,WR,Map,observed,wr_split,,,,,,,
2018-06-21,00:21.33,twitch.tv/zike10,jump_housebeta,WR,Course 1,record,zone_record,,-00:00.04,00:00.04,684197,,,
2018-06-21,01:19.94,"and uhh, dog",jump_housebeta,WR,Map,record,map_record,,-00:00.54,00:01.08,684530,76561198396018338,[U:1:435752610],
2018-06-21,00:21.25,"and uhh, dog",jump_housebeta,WR,Course 1,record,zone_record,,-00:00.07,00:00.32,684530,76561198396018338,[U:1:435752610],
2018-06-21,00:51.28,"and uhh, dog",jump_housebeta,WR,Course 2,record,zone_record,,-00:00.20,00:01.09,684530,76561198396018338,[U:1:435752610],
2018-07-08,01:19.58,twitch.tv/zike10,jump_housebeta,WR,Map,record,map_record,,-00:00.35,00:00.90,700885,,,
2018-07-09,01:19.45,Zike1017 ツ | b,jump_housebeta,WR,Map,announcement,irc,,-00:00.13,,,,,
2018-07-09,01:16.30,Zike1017 ツ | b,jump_housebeta,WR,Map,announcement,irc,,-00:03.14,,,,,
2018-07-09,00:20.43,Zike1017 ツ | b,jump_housebeta,WR,Course 1,record,zone_record,,-00:00.82,00:00.88,701568,,,
2018-07-09,00:20.22,Zike1017 ツ | b,jump_housebeta,WR,Course 1,record,zone_record,,-00:00.21,00:00.21,701568,,,
2018-07-09,00:20.01,Zike1017 ツ | b,jump_housebeta,WR,Course 1,record,zone_record,,-00:00.21,00:00.21,701568,,,
2018-07-09,00:51.15,Zike1017 ツ | b,jump_housebeta,WR,Course 2,record,zone_record,,-00:00.13,00:00.34,701568,,,
2018-07-09,00:19.68,Zike1017 ツ | b,jump_housebeta,WR,Course 1,record,zone_record,,-00:00.32,00:00.32,701568,,,
2019-09-12,00:50.99,qp,jump_housebeta,WR,Course 2,record,zone_record,,-00:00.15,00:01.56,1056567,76561198366368448,[U:1:406102720],
2019-09-12,00:50.95,Zike1017 ツ -tt,jump_housebeta,WR,Course 2,record,zone_record,,-00:00.03,00:00.16,1056690,,,
2019-09-12,00:50.15,Zike1017 ツ -tt,jump_housebeta,WR,Course 2,record,zone_record,,-00:00.79,00:00.79,1056690,,,
2019-09-12,00:49.86,Zike1017 ツ -tt,jump_housebeta,WR,Course 2,record,zone_record,,-00:00.29,00:00.29,1056690,,,
2024-02-10,01:15.39,sam,jump_housebeta,WR,Map,observed,wr_split,,,,,,,
2024-11-08,01:15.13,riotbz,jump_housebeta,WR,Map,record,map_record,,-00:00.25,00:05.74,3120175,76561198065169685,[U:1:104903957],
2024-12-12,00:49.81,salad tom,jump_housebeta,WR,Course 2,command,rank_command,,,,,,,
