date,record_time,player,map,record_type,segment,evidence,evidence_source,run_time,split,improvement,demo_id,steam_id64,steam_id,steam_candidates
2018-01-23,00:16.08,879m,jump_how,WR,Bonus 3,command,wr_command,,,,,76561198043793220,[U:1:83527492],
2018-01-23,00:16.00,879m,jump_how,WR,Bonus 3,record,zone_record,,-00:00.07,00:00.07,558482,76561198043793220,[U:1:83527492],
2018-01-23,00:15.70,879m,jump_how,WR,Bonus 3,record,zone_record,,-00:00.29,00:00.29,558482,76561198043793220,[U:1:83527492],
2018-01-30,00:15.58,879m,jump_how,WR,Bonus 3,record,zone_record,,-00:00.12,00:00.12,564231,76561198043793220,[U:1:83527492],
2018-01-30,00:15.56,879m,jump_how,WR,Bonus 3,record,zone_record,,-00:00.01,00:00.01,564231,76561198043793220,[U:1:83527492],
2018-03-17,00:44.62,🆂🆃🅴🆅,jump_how,WR,Course 1,record,zone_record,,-00:02.68,00:06.00,601180,,,
2018-03-17,00:42.38,🆂🆃🅴🆅,jump_how,WR,Course 1,record,zone_record,,-00:02.23,00:02.23,601180,,,
2018-03-17,08:52.79,Boshy,jump_how,WR,Map,command,wr_command,,,,,,,
2018-03-17,00:08.71,gong,jump_how,WR,Bonus 1,record,zone_record,,-00:01.75,00:01.75,601180,76561198049293816,[U:1:89028088],
2018-03-17,00:41.12,Boshy,jump_how,WR,Course 1,record,zone_record,,-00:01.26,00:04.02,601407,76561198046601398,[U:1:86335670],
2018-04-04,07:54.03,Boshy,jump_how,WR,Course 2,command,wr_command,,,,,76561198046601398,[U:1:86335670],
2018-04-04,07:39.36,le funy sync :-D,jump_how,WR,Course 2,record,zone_record,,-00:14.67,03:43.94,616102,76561198060570011,[U:1:100304283],
2018-04-04,08:36.62,le funy sync :-D,jump_how,WR,Map,record,map_record,,-00:16.16,04:13.33,616102,76561198060570011,[U:1:100304283],
2018-04-04,06:59.99,Boshy,jump_how,WR,Course 2,record,zone_record,,-00:39.36,00:54.03,616102,76561198046601398,[U:1:86335670],
2018-04-04,07:54.32,Boshy,jump_how,WR,Map,record,map_record,,-00:42.30,00:58.47,616102,76561198046601398,[U:1:86335670],
