date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id,steam_candidates
2019-10-31,01:20.07,newjuls,jump_hydrogen_rc1_bmv,WR,MapRecord,,-00:00.73,00:00.73,false,1093243,76561198396018338,[U:1:435752610],
2019-10-31,01:20.07,newjuls,jump_hydrogen_rc1_bmv,WR,Ranked,,,,true,1093243,76561198396018338,[U:1:435752610],
2019-10-31,01:20.07,newjuls,jump_hydrogen_rc1_bmv,WR,MapRun,03:37.62,+02:17.55,,true,1093243,76561198396018338,[U:1:435752610],
2019-10-31,01:20.80,newjuls,jump_hydrogen_rc1_bmv,WR,Compact,,,,false,1093243,76561198396018338,[U:1:435752610],
2019-10-31,01:20.80,newjuls,jump_hydrogen_rc1_bmv,WR,Compact,,,,false,1093243,76561198396018338,[U:1:435752610],
2019-10-31,01:20.80,newjuls,jump_hydrogen_rc1_bmv,WR,Compact,,,,false,1093243,76561198396018338,[U:1:435752610],
2019-10-31,01:20.80,newjuls,jump_hydrogen_rc1_bmv,WR,MapRun,02:22.39,+01:01.59,,true,1093243,76561198396018338,[U:1:435752610],
2019-10-31,01:20.80,newjuls,jump_hydrogen_rc1_bmv,WR,MapRun,02:25.18,+01:04.38,,true,1093243,76561198396018338,[U:1:435752610],
2019-10-31,01:20.81,newjuls,jump_hydrogen_rc1_bmv,WR,MapRun,01:51.72,+00:30.91,,true,1093243,76561198396018338,[U:1:435752610],
2019-10-31,01:20.81,newjuls,jump_hydrogen_rc1_bmv,WR,MapRun,02:19.06,+00:58.25,,true,1093243,76561198396018338,[U:1:435752610],
2019-10-31,01:20.81,shupah,jump_hydrogen_rc1_bmv,WR,MapRun,11:25.30,+10:04.49,,true,1093243,76561198136792635,[U:1:176526907],
2019-10-31,01:20.07,newjuls,jump_hydrogen_rc1_bmv,WR,IRC,,-00:00.73,,false,1093286,76561198396018338,[U:1:435752610],
2020-01-19,01:20.07,Mopahh -bt,jump_hydrogen_rc1_bmv,WR,MapRun,30:59.00,+29:38.93,,true,1152991,76561198060113264,[U:1:99847536],
2020-01-19,01:20.07,cetru,jump_hydrogen_rc1_bmv,WR,MapRun,12:00.49,+10:40.42,,true,1152991,76561197970703375,[U:1:10437647],
2020-01-19,01:20.07,miserable mikey,jump_hydrogen_rc1_bmv,WR,MapRun,25:46.58,+24:26.51,,true,1152991,76561198057243054,[U:1:96977326],
2020-01-19,01:20.07,roblan11,jump_hydrogen_rc1_bmv,WR,MapRun,09:49.99,+08:29.92,,true,1152991,76561198066839258,[U:1:106573530],
2020-05-27,01:18.47,Zike.j2 -tt -ttd,jump_hydrogen_rc1_bmv,WR,MapRecord,,-00:01.59,00:03.01,false,1260474,,,
2020-05-27,01:20.07,gomblive,jump_hydrogen_rc1_bmv,WR,Compact,,,,false,1260474,,,
2020-05-27,01:20.07,Anbu,jump_hydrogen_rc1_bmv,WR,MapRun,49:30.86,+48:10.79,,true,1260474,76561198048694198,[U:1:88428470],
2020-05-27,01:20.07,Math,jump_hydrogen_rc1_bmv,WR,MapRun,08:06.53,+06:46.46,,true,1260474,76561198053967778,[U:1:93702050],
