date,record_time,player,map,record_type,segment,evidence,evidence_source,run_time,split,improvement,demo_id,steam_id64,steam_id,steam_candidates
2023-08-19,03:35.50,Waldo,jump_iblis,WR,Map,record,first_record,,,,2460323,76561198020256631,[U:1:59990903],
2023-08-19,00:08.14,Waldo,jump_iblis,WR,Bonus 1,record,zone_first,,,,2460323,76561198020256631,[U:1:59990903],
2023-08-19,00:05.94,Waldo,jump_iblis,WR,Bonus 2,record,zone_first,,,,2460323,76561198020256631,[U:1:59990903],
2023-08-19,00:05.13,Waldo,jump_iblis,WR,Bonus 2,record,zone_record,,-00:00.81,00:00.81,2460323,76561198020256631,[U:1:59990903],
2023-08-19,00:05.04,Waldo,jump_iblis,WR,Bonus 2,record,zone_record,,-00:00.09,00:00.09,2460323,76561198020256631,[U:1:59990903],
2023-08-19,00:07.08,Waldo,jump_iblis,WR,Bonus 1,record,zone_record,,-00:01.06,00:01.06,2460383,76561198020256631,[U:1:59990903],
2023-08-19,00:06.27,Waldo,jump_iblis,WR,Bonus 1,record,zone_record,,-00:00.81,00:00.81,2460383,76561198020256631,[U:1:59990903],
2023-08-19,00:04.81,Waldo,jump_iblis,WR,Bonus 2,record,zone_record,,-00:00.22,00:00.22,2460383,76561198020256631,[U:1:59990903],
2023-08-19,02:50.02,Waldo,jump_iblis,WR,Map,record,map_record,,-00:45.48,00:45.48,2460383,76561198020256631,[U:1:59990903],
2023-08-19,02:32.44,Waldo,jump_iblis,WR,Map,record,map_record,,-00:17.58,00:17.58,2460383,76561198020256631,[U:1:59990903],
2023-08-19,02:25.00,Waldo,jump_iblis,WR,Map,record,map_record,,-00:07.44,00:07.44,2460383,76561198020256631,[U:1:59990903],
2023-08-19,02:14.26,Waldo,jump_iblis,WR,Map,record,map_record,,-00:10.74,00:10.74,2460383,76561198020256631,[U:1:59990903],
2023-08-19,02:06.18,Waldo,jump_iblis,WR,Map,record,map_record,,-00:08.08,00:08.08,2460383,76561198020256631,[U:1:59990903],
2023-08-19,00:04.66,Waldo,jump_iblis,WR,Bonus 2,record,zone_record,,-00:00.15,00:00.15,2460383,76561198020256631,[U:1:59990903],
2023-08-19,00:04.65,Waldo,jump_iblis,WR,Bonus 2,record,zone_record,,-00:00.01,00:00.01,2460383,76561198020256631,[U:1:59990903],
2023-08-19,00:06.03,cander,jump_iblis,WR,Bonus 1,record,zone_record,,-00:00.24,00:00.93,2460781,76561198318722879,[U:1:358457151],
2023-08-20,00:04.56,song,jump_iblis,WR,Bonus 2,record,zone_record,,-00:00.09,00:00.21,2463210,76561198210286877,[U:1:250021149],
2023-08-20,00:04.54,Waldo,jump_iblis,WR,Bonus 2,record,zone_record,,-00:00.10,00:00.10,2463450,76561198020256631,[U:1:59990903],
2023-08-20,00:04.45,Waldo,jump_iblis,WR,Bonus 2,record,zone_record,,-00:00.09,00:00.09,2463450,76561198020256631,[U:1:59990903],
2023-08-21,00:05.98,cander,jump_iblis,WR,Bonus 1,record,zone_record,,-00:00.04,00:00.04,2464479,76561198318722879,[U:1:358457151],
2023-08-21,00:05.92,cander,jump_iblis,WR,Bonus 1,record,zone_record,,-00:00.06,00:00.06,2464479,76561198318722879,[U:1:358457151],
2023-08-22,00:06.31,Waldo,jump_iblis,WR,Bonus 3,record,zone_record,,-00:00.01,00:00.01,2465619,76561198020256631,[U:1:59990903],
2023-08-22,00:54.90,Waldo,jump_iblis,WR,Bonus 5,record,zone_record,,-00:06.19,00:06.19,2465619,76561198020256631,[U:1:59990903],
2023-08-22,00:12.94,Waldo,jump_iblis,WR,Bonus 8,record,zone_record,,-00:00.46,00:00.46,2465619,76561198020256631,[U:1:59990903],
2023-08-22,00:11.01,Waldo,jump_iblis,WR,Bonus 9,record,zone_record,,-00:00.30,00:00.30,2465619,76561198020256631,[U:1:59990903],
2023-08-22,00:47.23,Waldo,jump_iblis,WR,Bonus 10,record,zone_record,,-00:03.39,00:03.39,2465619,76561198020256631,[U:1:59990903],
2023-08-22,00:14.14,kjr :d,jump_iblis,WR,Bonus 7,record,zone_record,,-00:00.54,00:00.54,2465619,76561198206903132,[U:1:246637404],
2023-08-22,01:51.85,kjr :d,jump_iblis,WR,Map,record,map_record,,-00:23.28,00:23.28,2465619,76561198206903132,[U:1:246637404],
2023-08-23,00:06.72,Waldo,jump_iblis,WR,Bonus 4,record,zone_record,,-00:00.04,00:00.04,2467113,76561198020256631,[U:1:59990903],
2023-08-23,00:22.21,kjr :d,jump_iblis,WR,Bonus 6,record,zone_record,,-00:32.71,00:32.71,2467436,76561198206903132,[U:1:246637404],
2023-11-04,01:48.69,Syphilis,jump_iblis,WR,Map,record,map_record,,-00:03.16,00:21.30,2576319,76561198235977602,[U:1:275711874],
2023-11-08,01:37.60,kjr :d,jump_iblis,WR,Map,record,map_record,,-00:11.64,00:11.64,2581418,76561198206903132,[U:1:246637404],
2024-04-14,00:12.04,vz,jump_iblis,WR,Bonus 8,record,zone_record,,-00:00.90,00:02.16,2816013,76561198366368448,[U:1:406102720],
2024-04-14,00:10.60,vz,jump_iblis,WR,Bonus 9,record,zone_record,,-00:00.40,00:00.78,2816013,76561198366368448,[U:1:406102720],
2024-08-16,00:05.86,Ad,jump_iblis,WR,Bonus 1,record,zone_record,,-00:00.06,00:00.10,2996634,76561198372075357,[U:1:411809629],
2024-08-31,00:10.20,Waldo,jump_iblis,WR,Bonus 9,record,zone_record,,-00:00.45,00:00.45,3018163,76561198020256631,[U:1:59990903],
2024-08-31,00:11.88,Waldo,jump_iblis,WR,Bonus 8,record,zone_record,,-00:00.99,00:00.99,3018163,76561198020256631,[U:1:59990903],
2024-11-24,00:06.18,vice,jump_iblis,WR,Bonus 3,record,zone_record,,-00:00.13,00:00.27,3144618,76561198366368448,[U:1:406102720],
