date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id,steam_candidates
2023-05-27,01:23.89,aaslas,jump_infernum_rc2,WR,IRC,,-00:04.44,,false,2337199,,,
2023-05-27,01:28.33,aaslas,jump_infernum_rc2,WR,IRC,,-00:08.07,,false,2337199,,,
2023-05-27,01:36.40,aaslas,jump_infernum_rc2,WR,IRC,,-00:15.21,,false,2337199,,,
2023-05-27,01:51.61,aaslas,jump_infernum_rc2,WR,IRC,,-00:11.31,,false,2337199,,,
2023-05-27,02:02.92,Waldo,jump_infernum_rc2,WR,IRCSet,,,,false,2337199,76561198020256631,[U:1:59990903],
2023-05-27,01:20.64,samburger,jump_infernum_rc2,WR,IRC,,-00:01.09,,false,2337208,,,
2023-05-27,01:21.73,samburger,jump_infernum_rc2,WR,IRC,,-00:00.07,,false,2337208,,,
2023-05-27,01:21.81,samburger,jump_infernum_rc2,WR,IRC,,-00:01.90,,false,2337208,,,
2023-05-27,01:23.71,samburger,jump_infernum_rc2,WR,IRC,,-00:00.18,,false,2337208,,,
2023-05-27,01:23.89,aaslas,jump_infernum_rc2,WR,IRC,,-00:04.44,,false,2337208,,,
2023-05-27,01:28.33,aaslas,jump_infernum_rc2,WR,IRC,,-00:08.07,,false,2337208,,,
2023-05-27,01:36.40,aaslas,jump_infernum_rc2,WR,IRC,,-00:15.21,,false,2337208,,,
2023-05-27,01:51.61,aaslas,jump_infernum_rc2,WR,IRC,,-00:11.31,,false,2337208,,,
2023-05-27,02:02.92,Waldo,jump_infernum_rc2,WR,IRCSet,,,,false,2337208,,,
2023-05-27,01:20.64,samburger,jump_infernum_rc2,WR,IRC,,-00:01.09,,false,2337209,,,
2023-05-27,01:21.73,samburger,jump_infernum_rc2,WR,IRC,,-00:00.07,,false,2337209,,,
2023-05-27,01:21.81,samburger,jump_infernum_rc2,WR,IRC,,-00:01.90,,false,2337209,,,
2023-05-27,01:23.71,samburger,jump_infernum_rc2,WR,IRC,,-00:00.18,,false,2337209,,,
2023-05-27,01:23.89,aaslas,jump_infernum_rc2,WR,IRC,,-00:04.44,,false,2337209,,,
2023-05-27,01:28.33,aaslas,jump_infernum_rc2,WR,IRC,,-00:08.07,,false,2337209,,,
2023-05-27,01:36.40,aaslas,jump_infernum_rc2,WR,IRC,,-00:15.21,,false,2337209,,,
2023-05-27,01:51.61,aaslas,jump_infernum_rc2,WR,IRC,,-00:11.31,,false,2337209,,,
2023-05-27,02:02.92,Waldo,jump_infernum_rc2,WR,IRCSet,,,,false,2337209,,,
2023-05-27,01:23.71,samburger,jump_infernum_rc2,WR,IRC,,-00:00.18,,false,2337215,,,
2023-05-27,01:23.89,aaslas,jump_infernum_rc2,WR,IRC,,-00:04.44,,false,2337215,,,
2023-05-27,01:28.33,aaslas,jump_infernum_rc2,WR,IRC,,-00:08.07,,false,2337215,,,
2023-05-27,01:36.40,aaslas,jump_infernum_rc2,WR,IRC,,-00:15.21,,false,2337215,,,
2023-05-27,01:51.61,aaslas,jump_infernum_rc2,WR,IRC,,-00:11.31,,false,2337215,,,
2023-05-27,02:02.92,Waldo,jump_infernum_rc2,WR,IRCSet,,,,false,2337215,,,
2023-05-27,01:20.64,samburger,jump_infernum_rc2,WR,IRC,,-00:01.09,,false,2337217,,,
2023-05-27,01:20.64,scoob,jump_infernum_rc2,WR,MapRun,03:13.53,+01:52.89,,true,2337217,76561198121428371,[U:1:161162643],
2023-05-27,01:21.73,samburger,jump_infernum_rc2,WR,IRC,,-00:00.07,,false,2337217,,,
2023-05-27,01:21.73,Charlie,jump_infernum_rc2,WR,MapRun,02:11.83,+00:50.10,,true,2337217,76561197961895147,[U:1:1629419],
2023-05-27,01:21.81,samburger,jump_infernum_rc2,WR,IRC,,-00:01.90,,false,2337217,,,
2023-05-27,01:23.71,samburger,jump_infernum_rc2,WR,IRC,,-00:00.18,,false,2337217,,,
2023-05-27,01:23.89,aaslas,jump_infernum_rc2,WR,IRC,,-00:04.44,,false,2337217,,,
2023-05-27,01:23.90,monsterng,jump_infernum_rc2,WR,MapRun,02:46.29,+01:22.39,,true,2337217,76561198136642828,[U:1:176377100],
2023-05-27,01:28.33,aaslas,jump_infernum_rc2,WR,IRC,,-00:08.07,,false,2337217,,,
2023-05-27,01:36.40,aaslas,jump_infernum_rc2,WR,IRC,,-00:15.21,,false,2337217,,,
2023-05-27,01:51.61,aaslas,jump_infernum_rc2,WR,IRC,,-00:11.31,,false,2337217,,,
2023-05-27,02:02.92,Waldo,jump_infernum_rc2,WR,IRCSet,,,,false,2337217,,,
2023-05-27,01:20.64,samburger,jump_infernum_rc2,WR,MapRecord,,-00:01.09,00:01.09,false,2337218,76561198045707908,[U:1:85442180],
2023-05-27,01:21.73,samburger,jump_infernum_rc2,WR,MapRecord,,-00:00.07,00:00.07,false,2337218,76561198045707908,[U:1:85442180],
2023-05-27,01:21.81,samburger,jump_infernum_rc2,WR,MapRecord,,-00:01.90,00:01.90,false,2337218,76561198045707908,[U:1:85442180],
2023-05-27,01:23.71,samburger,jump_infernum_rc2,WR,MapRecord,,-00:00.18,00:01.39,false,2337218,76561198045707908,[U:1:85442180],
2023-05-27,01:23.71,samburger,jump_infernum_rc2,WR,MapRun,01:53.02,+00:29.31,,true,2337218,76561198045707908,[U:1:85442180],
2023-05-27,01:23.72,samburger,jump_infernum_rc2,WR,MapRun,01:39.96,+00:16.24,,true,2337218,76561198045707908,[U:1:85442180],
2023-05-27,01:23.89,aaslas,jump_infernum_rc2,WR,MapRecord,,-00:04.44,00:04.44,false,2337218,76561198149627108,[U:1:189361380],
2023-05-27,01:23.90,samburger,jump_infernum_rc2,WR,MapRun,01:25.11,+00:01.21,00:04.42,true,2337218,76561198045707908,[U:1:85442180],
2023-05-27,01:28.33,aaslas,jump_infernum_rc2,WR,MapRecord,,-00:08.07,00:08.07,false,2337218,76561198149627108,[U:1:189361380],
2023-05-27,01:28.33,aaslas,jump_infernum_rc2,WR,MapRun,01:32.41,+00:04.08,,true,2337218,76561198149627108,[U:1:189361380],
2023-05-27,01:28.33,samburger,jump_infernum_rc2,WR,MapRun,01:29.53,+00:01.20,00:10.66,true,2337218,76561198045707908,[U:1:85442180],
2023-05-27,01:36.40,aaslas,jump_infernum_rc2,WR,MapRecord,,-00:15.21,00:15.21,false,2337218,76561198149627108,[U:1:189361380],
2023-05-27,01:36.41,samburger,jump_infernum_rc2,WR,MapRun,01:40.20,+00:03.79,,true,2337218,76561198045707908,[U:1:85442180],
2023-05-27,01:51.61,aaslas,jump_infernum_rc2,WR,MapRecord,,-00:11.31,,false,2337218,76561198149627108,[U:1:189361380],
2023-05-27,01:51.62,aaslas,jump_infernum_rc2,WR,MapRun,03:34.26,+01:42.64,,true,2337218,76561198149627108,[U:1:189361380],
2023-05-27,01:51.62,☆world emo bos,jump_infernum_rc2,WR,MapRun,02:38.97,+00:47.35,,true,2337218,,,
2023-05-27,02:02.92,Waldo,jump_infernum_rc2,WR,FirstRecord,,,,false,2337218,76561198020256631,[U:1:59990903],
2023-05-27,01:20.64,samburger,jump_infernum_rc2,WR,IRC,,-00:01.09,,false,2337221,,,
2023-05-27,01:21.73,samburger,jump_infernum_rc2,WR,IRC,,-00:00.07,,false,2337221,,,
2023-05-27,01:21.81,samburger,jump_infernum_rc2,WR,IRC,,-00:01.90,,false,2337221,,,
2023-05-27,01:23.71,samburger,jump_infernum_rc2,WR,IRC,,-00:00.18,,false,2337221,,,
2023-05-27,01:23.89,aaslas,jump_infernum_rc2,WR,IRC,,-00:04.44,,false,2337221,,,
2023-05-27,01:28.33,aaslas,jump_infernum_rc2,WR,IRC,,-00:08.07,,false,2337221,,,
2023-05-27,01:36.40,aaslas,jump_infernum_rc2,WR,IRC,,-00:15.21,,false,2337221,,,
2023-05-27,01:51.61,aaslas,jump_infernum_rc2,WR,IRC,,-00:11.31,,false,2337221,,,
2023-05-27,02:02.92,Waldo,jump_infernum_rc2,WR,IRCSet,,,,false,2337221,76561198020256631,[U:1:59990903],
2023-05-27,01:51.61,aaslas,jump_infernum_rc2,WR,IRC,,-00:11.31,,false,2337233,,,
2023-05-27,01:36.40,aaslas,jump_infernum_rc2,WR,IRC,,-00:15.21,,false,2337236,,,
2023-05-27,01:51.61,aaslas,jump_infernum_rc2,WR,IRC,,-00:11.31,,false,2337236,,,
2023-05-27,01:20.64,samburger,jump_infernum_rc2,WR,IRC,,-00:01.09,,false,2337246,,,
2023-05-27,01:21.73,samburger,jump_infernum_rc2,WR,IRC,,-00:00.07,,false,2337246,,,
