date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id,steam_candidates
2014-07-27,01:59.80,rock on,jump_jakey_a2,WR,IRC,,-00:29.78,,false,12473,,,
2014-07-27,02:29.59,rock on,jump_jakey_a2,WR,IRC,,-00:25.02,,false,12473,,,
2014-07-27,02:54.61,rock on,jump_jakey_a2,WR,IRCSet,,,,false,12473,,,
2014-07-27,01:41.48,Kucino,jump_jakey_a2,WR,MapRecord,,-00:07.26,00:07.26,false,12475,76561198045405184,STEAM_0:0:42569728,
2014-07-27,01:48.75,rock on,jump_jakey_a2,WR,MapRecord,,-00:11.05,00:11.05,false,12475,,,
2014-07-27,01:59.80,rock on,jump_jakey_a2,WR,MapRecord,,-00:29.78,00:29.78,false,12475,,,
2014-07-27,02:29.59,rock on,jump_jakey_a2,WR,MapRecord,,-00:25.02,00:25.02,false,12475,,,
2014-07-27,02:54.61,rock on,jump_jakey_a2,WR,FirstRecord,,,,false,12475,,,
2014-07-27,01:34.69,oka | poop acade...,jump_jakey_a2,WR,MapRecord,,-00:06.79,00:11.90,false,12480,76561198070882254,STEAM_0:0:55308263,
2014-07-27,01:41.48,Kucino,jump_jakey_a2,WR,IRC,,-00:07.26,,false,12480,,,
2014-07-27,01:34.69,oka | poop acade...,jump_jakey_a2,WR,IRC,,-00:06.79,,false,12482,,,
2014-07-27,01:32.85,cody,jump_jakey_a2,WR,IRC,,-00:01.57,,false,12531,,,
2014-07-27,01:34.43,cody,jump_jakey_a2,WR,IRC,,-00:00.26,,false,12531,,,
2014-07-27,01:32.85,cody,jump_jakey_a2,WR,MapRecord,,-00:01.57,00:01.57,false,12535,76561198078488228,STEAM_0:0:59111250,
2014-07-27,01:34.43,cody,jump_jakey_a2,WR,MapRecord,,-00:00.26,00:29.61,false,12535,76561198078488228,STEAM_0:0:59111250,
2014-07-28,01:32.85,cody #Shunix's T...,jump_jakey_a2,WR,Compact,,,,false,12593,,,
2014-08-01,01:26.87,Seras,jump_jakey_a2,WR,MapRecord,,-00:05.97,00:07.81,false,13319,76561198070882254,STEAM_0:0:55308263,
2014-10-21,01:25.90,The Dopplegangaz,jump_jakey_a2,WR,MapRecord,,-00:00.97,00:03.72,false,25202,76561198045405184,[U:1:85139456],
2015-03-21,01:25.28,I accidentally,jump_jakey_a2,WR,IRC,,-00:00.61,,false,73047,,,
2015-03-21,01:25.28,I accidentally,jump_jakey_a2,WR,MapRecord,,-00:00.61,00:00.69,false,73060,76561198070783552,[U:1:110517824],
2015-03-21,01:23.76,K U C I ｎｏ,jump_jakey_a2,WR,MapRecord,,-00:01.52,00:02.14,false,73315,76561198045405184,[U:1:85139456],
2015-03-21,01:23.76,Ricky Bøbby,jump_jakey_a2,WR,MapRun,01:34.07,+00:10.31,00:12.24,true,73315,76561198018656606,[U:1:58390878],
2015-03-21,01:23.76,Ricky Bøbby,jump_jakey_a2,WR,MapRun,01:46.32,+00:22.56,00:04.73,true,73315,76561198018656606,[U:1:58390878],
2015-03-21,01:23.76,Ricky Bøbby,jump_jakey_a2,WR,MapRun,01:46.88,+00:23.12,,true,73315,76561198018656606,[U:1:58390878],
2015-03-21,01:23.76,Ricky Bøbby,jump_jakey_a2,WR,MapRun,02:41.20,+01:17.44,,true,73315,76561198018656606,[U:1:58390878],
2015-03-21,01:23.77,Ricky Bøbby,jump_jakey_a2,WR,MapRun,01:37.54,+00:13.77,,true,73315,76561198018656606,[U:1:58390878],
2015-03-21,01:23.77,SALSA,jump_jakey_a2,WR,MapRun,06:13.08,+04:49.31,,true,73315,76561198149627108,[U:1:189361380],
2015-03-21,01:25.28,Topping's Kek,jump_jakey_a2,WR,Compact,,,,false,73315,,,
2015-03-21,01:25.29,K U C I ｎｏ,jump_jakey_a2,WR,MapRun,01:31.63,+00:06.34,,true,73315,76561198045405184,[U:1:85139456],
2015-03-21,01:25.29,K U C I ｎｏ,jump_jakey_a2,WR,MapRun,01:55.33,+00:30.04,,true,73315,76561198045405184,[U:1:85139456],
2015-08-16,01:21.44,kokoro :>,jump_jakey_a2,WR,MapRecord,,-00:02.31,00:05.67,false,129022,76561198035787281,[U:1:75521553],
2015-08-16,01:21.44,kokoro :>,jump_jakey_a2,WR,Compact,,,,false,129022,76561198035787281,[U:1:75521553],
2015-08-16,01:23.76,KUCINOKILLA,jump_jakey_a2,WR,Compact,,,,false,129022,,,
2015-08-16,01:23.76,kokoro :>,jump_jakey_a2,WR,MapRun,01:27.11,+00:03.35,00:02.09,true,129022,76561198035787281,[U:1:75521553],
2015-08-16,01:23.77,Gandalf,jump_jakey_a2,WR,MapRun,18:39.40,+17:15.63,,true,129022,76561198142491597,[U:1:182225869],
2015-09-08,01:18.37,Soup Can,jump_jakey_a2,WR,MapRecord,,-00:02.48,00:02.48,false,138206,76561198029285343,[U:1:69019615],
2015-09-08,01:20.86,Soup Can,jump_jakey_a2,WR,MapRecord,,-00:00.58,00:03.55,false,138206,76561198029285343,[U:1:69019615],
2015-09-08,01:21.44,Soup Can,jump_jakey_a2,WR,MapRun,01:24.41,+00:02.97,02:03.61,true,138206,76561198029285343,[U:1:69019615],
2015-09-08,01:21.44,Soup Can,jump_jakey_a2,WR,MapRun,01:28.64,+00:07.20,,true,138206,76561198029285343,[U:1:69019615],
2015-09-08,01:21.45,Acecle LFT,jump_jakey_a2,WR,MapRun,04:53.86,+03:32.41,,true,138206,76561198050068303,[U:1:89802575],
2015-09-08,01:21.45,Soup Can,jump_jakey_a2,WR,MapRun,03:28.03,+02:06.58,,true,138206,76561198029285343,[U:1:69019615],
2015-09-08,01:21.45,porkie,jump_jakey_a2,WR,MapRun,04:03.55,+02:42.10,,true,138206,76561198054239403,[U:1:93973675],
2018-09-19,01:09.35,vice,jump_jakey_a2,WR,IRC,,-00:04.25,,false,766373,76561198366368448,[U:1:406102720],
2018-09-19,01:09.35,vice,jump_jakey_a2,WR,IRC,,-00:04.25,,false,766438,76561198366368448,[U:1:406102720],
2018-09-19,01:09.35,vice,jump_jakey_a2,WR,IRC,,-00:04.25,,false,766491,,,
2018-09-19,01:09.35,vice,jump_jakey_a2,WR,MapRecord,,-00:04.25,00:04.57,false,766514,76561198366368448,[U:1:406102720],
2018-09-19,01:13.62,DRAGON,jump_jakey_a2,WR,MapRun,09:51.80,+08:38.18,,true,766514,76561198354692517,[U:1:394426789],
2018-09-19,01:13.62,vice,jump_jakey_a2,WR,MapRun,01:20.86,+00:07.24,,true,766514,76561198366368448,[U:1:406102720],
2020-03-05,01:09.36,yeye,jump_jakey_a2,WR,MapRun,03:45.97,+02:36.61,,true,1188482,76561198120630343,[U:1:160364615],
