date,record_time,player,map,record_type,segment,evidence,evidence_source,run_time,split,improvement,demo_id,steam_id64,steam_id,steam_candidates
2019-03-23,08:47.89,Cronjington Mago,jump_jasmine,WR,Map,announcement,irc_set,,,,,,,
2019-03-23,02:17.77,False_,jump_jasmine,WR,Map,announcement,irc,,-06:30.12,,,76561198044272896,[U:1:84007168],
2019-03-23,01:56.95,Syro,jump_jasmine,WR,Map,announcement,irc,,-00:20.81,,,76561198055623250,[U:1:95357522],
2019-03-23,00:59.13,False_,jump_jasmine,WR,Course 1,record,zone_record,,-00:41.82,,921919,76561198044272896,[U:1:84007168],
2019-03-23,01:15.94,False_,jump_jasmine,WR,Course 2,record,zone_record,,-03:38.54,,921919,76561198044272896,[U:1:84007168],
2019-03-23,00:47.20,Syro,jump_jasmine,WR,Course 1,record,zone_record,,-00:11.92,,921930,76561198055623250,[U:1:95357522],
2019-03-23,01:33.40,unknown,jump_jasmine,WR,Map,observed,wr_split,,,,,,,
2019-03-23,01:17.49,Syro,jump_jasmine,WR,Map,observed,wr_split,,,,,76561198055623250,[U:1:95357522],
2019-03-23,00:52.96,newjuls,jump_jasmine,WR,Map,record,map_record,,-00:24.52,01:54.34,922069,76561198396018338,[U:1:435752610],
2019-03-23,00:45.97,newjuls,jump_jasmine,WR,Map,record,map_record,,-00:06.98,00:06.98,922069,76561198396018338,[U:1:435752610],
2019-03-23,00:19.97,newjuls,jump_jasmine,WR,Course 1,record,zone_record,,-00:07.08,00:54.34,922069,76561198396018338,[U:1:435752610],
2019-03-23,00:29.25,newjuls,jump_jasmine,WR,Course 2,record,zone_record,,-00:20.20,00:54.23,922069,76561198396018338,[U:1:435752610],
2019-03-23,00:16.95,newjuls,jump_jasmine,WR,Course 1,record,zone_record,,-00:03.02,00:03.02,922069,76561198396018338,[U:1:435752610],
2019-03-23,00:26.61,newjuls,jump_jasmine,WR,Course 2,record,zone_record,,-00:02.64,00:02.64,922069,76561198396018338,[U:1:435752610],
2019-07-23,00:12.72,yeeter69,jump_jasmine,WR,Course 1,record,zone_record,,-00:07.63,02:55.41,1017345,76561198066947056,[U:1:106681328],
2019-07-23,00:06.34,yeeter69,jump_jasmine,WR,Course 1,record,zone_record,,-00:06.37,00:06.37,1017345,76561198066947056,[U:1:106681328],
2019-07-23,00:05.60,yeeter69,jump_jasmine,WR,Course 1,record,zone_record,,-00:00.73,00:00.73,1017345,76561198066947056,[U:1:106681328],
2019-07-23,00:04.50,yeeter69,jump_jasmine,WR,Course 1,record,zone_record,,-00:00.33,00:01.10,1017345,76561198066947056,[U:1:106681328],
2019-07-23,00:04.37,yeeter69,jump_jasmine,WR,Course 1,record,zone_record,,-00:00.12,00:00.12,1017345,76561198066947056,[U:1:106681328],
2019-07-23,00:04.25,yeeter69,jump_jasmine,WR,Course 1,record,zone_record,,-00:00.11,00:00.11,1017345,76561198066947056,[U:1:106681328],
2019-07-23,00:04.14,yeeter69,jump_jasmine,WR,Course 1,record,zone_record,,-00:00.11,00:00.11,1017345,76561198066947056,[U:1:106681328],
