date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id
2014-06-03,02:19.00,big papa han,jump_joa_v2,WR,MapRecord,,-00:05.40,01:24.88,false,1829,76561198029546534,STEAM_0:0:34640403
2014-07-12,02:11.05,guyyst,jump_joa_v2,WR,MapRecord,,-00:07.94,,false,10412,76561198041343262,STEAM_0:0:40538767
2014-07-16,02:07.56,QuBA,jump_joa_v2,WR,MapRecord,,-00:03.49,00:31.51,false,11065,76561198018328694,STEAM_0:0:29031483
2014-07-22,02:03.11,guyyst,jump_joa_v2,WR,MapRecord,,-00:04.44,00:07.93,false,11907,,
2014-07-27,01:51.28,ssssssssssssssss...,jump_joa_v2,WR,MapRecord,,-00:11.83,00:16.81,false,12466,,
2014-08-30,01:43.34,guyyst,jump_joa_v2,WR,MapRecord,,-00:07.93,00:19.76,false,19107,76561198041343262,[U:1:81077534]
2018-05-05,01:22.05,newjuls,jump_joa_v2,WR,MapRun,02:19.62,+00:57.57,,true,641550,76561198396018338,[U:1:435752610]
2018-09-04,01:18.85,kidder,jump_joa_v2,WR,MapRecord,,-00:03.19,00:03.19,false,752547,,
2018-09-06,01:17.68,Tekken Athlete |,jump_joa_v2,WR,IRC,,-00:01.17,,false,754388,,
2021-11-19,01:16.62,riot,jump_joa_v2,WR,MapRecord,,-00:01.06,00:02.91,false,1771562,76561198065169685,[U:1:104903957]
2024-08-01,01:13.35,₍ᐢᐢ₎. us,jump_joa_v2,WR,IRC,,-00:03.27,,false,2974321,,
2025-04-18,01:13.34,puppycat,jump_joa_v2,WR,MapRun,14:55.60,+13:42.26,,true,3281390,76561198851091126,[U:1:890825398]
