date,record_time,player,map,record_type,segment,evidence,evidence_source,run_time,split,improvement,demo_id,steam_id64,steam_id,steam_candidates
2017-12-04,03:09.19,Ninja Cookie,jump_jurf2_a1,WR,Map,record,map_record,,-00:02.72,00:23.46,517305,76561197961575317,[U:1:1309589],
2017-12-04,03:07.60,Boshy,jump_jurf2_a1,WR,Map,record,map_record,,-00:01.58,00:02.32,517544,76561198046601398,[U:1:86335670],
2017-12-06,03:05.39,Ninja Cookie,jump_jurf2_a1,WR,Map,record,map_record,,-00:02.20,00:03.79,518804,76561197961575317,[U:1:1309589],
2017-12-06,03:01.56,Boshy,jump_jurf2_a1,WR,Map,record,map_record,,-00:03.83,00:06.04,518922,76561198046601398,[U:1:86335670],
2017-12-08,03:01.14,Ninja Cookie,jump_jurf2_a1,WR,Map,record,map_record,,-00:00.42,00:01.30,520125,76561197961575317,[U:1:1309589],
2017-12-08,02:59.60,Boshy,jump_jurf2_a1,WR,Map,record,map_record,,-00:01.53,00:01.95,520427,76561198046601398,[U:1:86335670],
2017-12-08,02:54.36,Ninja Cookie,jump_jurf2_a1,WR,Map,record,map_record,,-00:05.24,00:06.77,520501,76561197961575317,[U:1:1309589],
2017-12-08,02:53.65,Boshy,jump_jurf2_a1,WR,Map,record,map_record,,-00:00.70,00:05.95,520501,76561198046601398,[U:1:86335670],
2017-12-10,02:53.00,Festive Ninja Co,jump_jurf2_a1,WR,Map,record,map_record,,-00:00.64,00:01.35,522333,,,
2017-12-12,02:50.99,Boshy,jump_jurf2_a1,WR,Map,record,map_record,,-00:02.01,00:02.31,523613,76561198046601398,[U:1:86335670],
2017-12-15,02:48.61,Ninja Bread Cook,jump_jurf2_a1,WR,Map,record,map_record,,-00:02.38,00:04.39,525876,,,
2017-12-19,02:47.77,Boshy,jump_jurf2_a1,WR,Map,record,map_record,,-00:00.84,00:02.26,529739,76561198046601398,[U:1:86335670],
2017-12-20,02:46.27,Boshy,jump_jurf2_a1,WR,Map,record,map_record,,-00:01.50,00:01.50,530620,76561198046601398,[U:1:86335670],
2019-02-01,02:42.58,twitch.tv/boshyt,jump_jurf2_a1,WR,Map,record,map_record,,-00:03.68,00:03.68,881756,,,
2022-03-29,00:04.69,Todaeri,jump_jurf2_a1,WR,Bonus 1,record,zone_record,,-00:00.03,00:00.37,1901509,76561198210286877,[U:1:250021149],
2022-05-01,00:04.68,nibs,jump_jurf2_a1,WR,Bonus 1,record,zone_record,,-00:00.03,00:00.03,1934373,76561198035282173,[U:1:75016445],
2022-05-03,00:04.60,0330,jump_jurf2_a1,WR,Bonus 1,record,zone_record,,-00:00.07,00:00.09,1936686,76561198210286877,[U:1:250021149],
2022-05-07,00:04.59,nibs,jump_jurf2_a1,WR,Bonus 1,record,zone_record,,-00:00.01,00:00.01,1940731,76561198035282173,[U:1:75016445],
2022-05-08,00:04.54,0330,jump_jurf2_a1,WR,Bonus 1,record,zone_record,,-00:00.04,00:00.06,1941850,76561198210286877,[U:1:250021149],
2022-05-08,00:04.48,nibs,jump_jurf2_a1,WR,Bonus 1,record,zone_record,,-00:00.10,00:00.10,1941870,76561198035282173,[U:1:75016445],
2022-08-30,02:36.43,twitch.tv/fastfo,jump_jurf2_a1,WR,Map,record,map_record,,-00:06.15,00:06.15,2041739,,,
2022-08-30,02:35.35,twitch.tv/fastfo,jump_jurf2_a1,WR,Map,record,map_record,,-00:01.08,00:01.08,2041739,,,
2023-06-12,02:44.10,lily,jump_jurf2_a1,WR,Map,record,map_record,,-00:06.07,00:06.07,2361029,76561198304963161,[U:1:344697433],
2023-12-21,02:34.42,Tupikas,jump_jurf2_a1,WR,Map,record,map_record,,-00:09.67,00:11.34,2648302,76561198391066129,[U:1:430800401],
2023-12-22,02:34.05,Tupikas,jump_jurf2_a1,WR,Map,record,map_record,,-00:00.37,00:00.37,2649354,76561198391066129,[U:1:430800401],
2023-12-27,02:31.05,tep,jump_jurf2_a1,WR,Map,record,map_record,,-00:03.00,00:03.00,2657549,76561198391066129,[U:1:430800401],
2024-10-27,00:04.30,₍ᐢᐢ₎. us,jump_jurf2_a1,WR,Bonus 1,record,zone_record,,-00:00.18,00:00.18,3102893,,,
