date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id
2014-07-11,1:06:42.87,guyyst,jump_karb_b3,WR,MapRecord,,-35:13.94,,false,10362,76561198041343262,STEAM_0:0:40538767
2014-10-08,27:12.11,dd0s,jump_karb_b3,WR,MapRecord,,-39:30.75,,false,22305,76561198059797692,[U:1:99531964]
2014-10-09,10:11.96,guyyst,jump_karb_b3,WR,MapRecord,,-11:16.65,11:16.65,false,22444,76561198041343262,[U:1:81077534]
2015-08-04,07:13.76,obeeeeeeeezy,jump_karb_b3,WR,MapRecord,,-02:58.20,08:20.13,false,123892,76561198059596652,[U:1:99330924]
2018-10-30,04:10.06,Mr Spook,jump_karb_b3,WR,MapRecord,,-00:05.02,02:17.38,false,802980,76561198063901478,[U:1:103635750]
2018-10-30,03:44.20,Boshy,jump_karb_b3,WR,MapRecord,,-00:25.85,00:30.88,false,803087,76561198046601398,[U:1:86335670]
2021-04-16,03:39.27,tomato tom,jump_karb_b3,WR,MapRecord,,-00:04.94,00:33.00,false,1565754,,
2023-04-02,03:36.40,x_ray2700,jump_karb_b3,WR,MapRecord,,-00:02.86,00:53.10,false,2257530,76561198979680671,[U:1:1019414943]
2023-04-02,03:19.87,x_ray2700,jump_karb_b3,WR,MapRecord,,-00:12.78,00:12.78,false,2257660,76561198979680671,[U:1:1019414943]
2024-11-08,03:10.87,deliuscional,jump_karb_b3,WR,IRC,,-00:09.00,,false,3121036,,
