date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id,steam_candidates
2018-04-06,02:32.48,kidder,jump_kek_final3,WR,IRC,,-00:04.07,,false,617602,,,
2018-04-06,02:36.56,kidder,jump_kek_final3,WR,IRC,,-00:51.46,,false,617602,,,
2018-04-06,02:59.48,ePik,jump_kek_final3,WR,IRCSet,,,,false,617602,,,
2018-04-06,03:28.03,obz,jump_kek_final3,WR,IRC,,-00:02.66,,false,617602,,,
2018-04-06,04:14.48,ePik,jump_kek_final3,WR,IRCSet,,,,false,617602,,,
2018-04-06,02:32.48,kidder,jump_kek_final3,WR,IRC,,-00:04.07,,false,617605,,,
2018-04-06,02:36.56,kidder,jump_kek_final3,WR,IRC,,-00:51.46,,false,617605,,,
2018-04-06,02:59.48,ePik,jump_kek_final3,WR,IRCSet,,,,false,617605,,,
2018-04-06,03:28.03,obz,jump_kek_final3,WR,IRC,,-00:02.66,,false,617605,76561198059596652,[U:1:99330924],
2018-04-06,04:14.48,ePik,jump_kek_final3,WR,IRCSet,,,,false,617605,,,
2018-04-06,00:14.18,ePik,jump_kek_final3,WR,Bonus 1 First,,,,false,617608,76561198066589108,[U:1:106323380],
2018-04-06,01:21.83,ePik,jump_kek_final3,WR,Course 1,,-01:39.91,,false,617608,76561198066589108,[U:1:106323380],
2018-04-06,02:43.13,ePik,jump_kek_final3,WR,Course 2 First,,,,false,617608,76561198066589108,[U:1:106323380],
2018-04-06,02:59.48,ePik,jump_kek_final3,WR,FirstRecord,,,,false,617608,76561198066589108,[U:1:106323380],
2018-04-06,03:01.75,toopliss,jump_kek_final3,WR,Course 1 First,,,,false,617608,76561198156363920,[U:1:196098192],
2018-04-06,04:14.48,ePik,jump_kek_final3,WR,FirstRecord,,,,false,617608,76561198066589108,[U:1:106323380],
2018-04-06,04:14.49,toopliss,jump_kek_final3,WR,MapRun,14:31.94,+10:17.45,,true,617608,76561198156363920,[U:1:196098192],
2018-04-06,00:57.55,kidder,jump_kek_final3,WR,Course 1,,-00:02.23,00:02.23,false,617617,76561198000949987,[U:1:40684259],
2018-04-06,00:59.78,kidder,jump_kek_final3,WR,Course 1,,-00:06.17,00:06.17,false,617617,76561198000949987,[U:1:40684259],
2018-04-06,01:05.96,kidder,jump_kek_final3,WR,Course 1,,-00:15.86,01:01.88,false,617617,76561198000949987,[U:1:40684259],
2018-04-06,01:11.80,kidder,jump_kek_final3,WR,Course 2,,-00:07.96,00:07.96,false,617617,76561198000949987,[U:1:40684259],
2018-04-06,01:19.76,kidder,jump_kek_final3,WR,Course 2,,-00:32.49,00:50.43,false,617617,76561198000949987,[U:1:40684259],
2018-04-06,02:32.48,kidder,jump_kek_final3,WR,MapRecord,,-00:04.07,00:04.07,false,617617,76561198000949987,[U:1:40684259],
2018-04-06,02:36.56,kidder,jump_kek_final3,WR,MapRecord,,-00:51.46,01:45.20,false,617617,76561198000949987,[U:1:40684259],
2018-04-06,02:36.57,mesatech,jump_kek_final3,WR,MapRun,05:03.11,+02:26.54,,true,617617,76561198111845972,[U:1:151580244],
2018-04-06,03:28.03,obz,jump_kek_final3,WR,MapRecord,,-00:02.66,,false,617617,76561198059596652,[U:1:99330924],
2018-04-06,03:30.70,Sey!,jump_kek_final3,WR,MapRun,05:11.86,+01:41.16,,true,617617,76561198065151241,[U:1:104885513],
2018-04-06,03:30.70,kidder,jump_kek_final3,WR,MapRun,04:21.77,+00:51.07,04:41.10,true,617617,76561198000949987,[U:1:40684259],
2018-04-06,04:14.49,kidder,jump_kek_final3,WR,MapRun,09:02.88,+04:48.39,,true,617617,76561198000949987,[U:1:40684259],
