date,record_time,player,map,record_type,segment,evidence,evidence_source,run_time,split,improvement,demo_id,steam_id64,steam_id,steam_candidates
2019-09-14,00:02.11,Spheal,jump_kin,WR,Bonus 1,record,zone_first,,,,1057984,76561198066589108,[U:1:106323380],
2019-09-14,00:03.67,Spheal,jump_kin,WR,Bonus 2,record,zone_first,,,,1057984,76561198066589108,[U:1:106323380],
2019-09-14,00:04.82,Spheal,jump_kin,WR,Bonus 3,record,zone_first,,,,1057984,76561198066589108,[U:1:106323380],
2019-09-14,00:02.55,Spheal,jump_kin,WR,Bonus 4,record,zone_first,,,,1057984,76561198066589108,[U:1:106323380],
2019-09-14,00:01.72,Spheal,jump_kin,WR,Bonus 5,record,zone_first,,,,1057984,76561198066589108,[U:1:106323380],
2019-09-14,00:01.91,candy,jump_kin,WR,Bonus 1,record,zone_record,,-00:00.20,,1057984,76561198366368448,[U:1:406102720],
2019-09-14,00:01.72,candy,jump_kin,WR,Bonus 1,record,zone_record,,-00:00.18,00:00.18,1057984,76561198366368448,[U:1:406102720],
2019-09-14,00:01.69,candy,jump_kin,WR,Bonus 1,record,zone_record,,-00:00.03,00:00.03,1057984,76561198366368448,[U:1:406102720],
2019-09-14,00:01.68,candy,jump_kin,WR,Bonus 1,record,zone_record,,-00:00.01,00:00.01,1057984,76561198366368448,[U:1:406102720],
2019-09-14,00:01.62,candy,jump_kin,WR,Bonus 1,record,zone_record,,-00:00.05,00:00.05,1057984,76561198366368448,[U:1:406102720],
2019-09-14,00:03.44,candy,jump_kin,WR,Bonus 2,record,zone_record,,-00:00.22,,1057984,76561198366368448,[U:1:406102720],
2019-09-14,10:39.00,candeุrุ ุ,jump_kin,WR,Map,record,first_record,,,,1057984,76561198318722879,[U:1:358457151],
2019-09-14,00:02.60,candeุrุ ุ,jump_kin,WR,Bonus 2,record,zone_record,,-00:00.83,,1057984,76561198318722879,[U:1:358457151],
2019-09-14,00:03.19,candy,jump_kin,WR,Bonus 3,record,zone_record,,-00:01.63,,1057984,76561198366368448,[U:1:406102720],
2019-09-14,00:02.43,candy,jump_kin,WR,Bonus 4,record,zone_record,,-00:00.11,00:00.14,1057984,76561198366368448,[U:1:406102720],
2019-09-14,00:01.71,candeุrุ ุ,jump_kin,WR,Bonus 5,record,zone_record,,-00:00.01,00:00.22,1057984,76561198318722879,[U:1:358457151],
2019-09-14,00:01.54,candy,jump_kin,WR,Bonus 5,record,zone_record,,-00:00.16,00:00.33,1057984,76561198366368448,[U:1:406102720],
2019-09-14,07:26.95,Koiso,jump_kin,WR,Map,announcement,irc,,-03:12.04,,,76561198071601578,[U:1:111335850],
2019-09-14,00:01.51,candy,jump_kin,WR,Bonus 5,record,zone_record,,-00:00.02,00:00.02,1057984,76561198366368448,[U:1:406102720],
2019-09-14,00:01.48,candy,jump_kin,WR,Bonus 5,record,zone_record,,-00:00.03,00:00.03,1057984,76561198366368448,[U:1:406102720],
2019-09-14,00:01.36,candy,jump_kin,WR,Bonus 5,record,zone_record,,-00:00.12,00:00.12,1057984,76561198366368448,[U:1:406102720],
2019-09-14,04:02.74,Koiso,jump_kin,WR,Map,command,wr_command,,,,,76561198071601578,[U:1:111335850],
2019-09-14,00:02.27,ุ ุ,jump_kin,WR,Bonus 4,record,zone_record,,-00:00.15,00:00.25,1057984,76561198118386028,[U:1:158120300],
2019-09-14,00:02.25,ุ ุ,jump_kin,WR,Bonus 4,record,zone_record,,-00:00.02,00:00.02,1057984,76561198118386028,[U:1:158120300],
2019-09-14,00:03.17,candeุrุ ุ,jump_kin,WR,Bonus 3,record,zone_record,,-00:00.01,00:00.04,1057984,76561198318722879,[U:1:358457151],
2019-09-14,00:03.16,candeุrุ ุ,jump_kin,WR,Bonus 3,record,zone_record,,-00:00.01,00:00.01,1057984,76561198318722879,[U:1:358457151],
2019-09-14,00:02.58,candeุrุ ุ,jump_kin,WR,Bonus 2,record,zone_record,,-00:00.02,00:00.02,1057984,76561198318722879,[U:1:358457151],
2019-09-14,00:02.57,candeุrุ ุ,jump_kin,WR,Bonus 2,record,zone_record,,-00:00.00,00:00.00,1057984,76561198318722879,[U:1:358457151],
2019-09-14,00:02.23,candy,jump_kin,WR,Bonus 4,record,zone_record,,-00:00.01,00:00.01,1057984,76561198366368448,[U:1:406102720],
2019-09-14,00:02.20,candy,jump_kin,WR,Bonus 4,record,zone_record,,-00:00.03,00:00.03,1057984,76561198366368448,[U:1:406102720],
2019-09-14,00:02.17,candy,jump_kin,WR,Bonus 4,record,zone_record,,-00:00.02,00:00.02,1057984,76561198366368448,[U:1:406102720],
2019-09-14,03:18.65,unknown,jump_kin,WR,Map,observed,wr_split,,,,,,,
2019-09-14,00:01.33,candeุrุ ุ,jump_kin,WR,Bonus 5,record,zone_record,,-00:00.02,00:00.02,1057984,76561198318722879,[U:1:358457151],
2019-09-14,02:51.82,candy,jump_kin,WR,Map,record,map_record,,-00:26.82,01:06.27,1057984,76561198366368448,[U:1:406102720],
2019-09-14,02:42.17,unknown,jump_kin,WR,Map,observed,wr_split,,,,,,,
2019-09-14,02:10.54,candeุrุ ุ,jump_kin,WR,Map,record,map_record,,-00:31.62,01:42.93,1057984,76561198318722879,[U:1:358457151],
2019-09-14,00:02.13,candeุrุ ุ,jump_kin,WR,Bonus 4,record,zone_record,,-00:00.04,00:00.11,1057984,76561198318722879,[U:1:358457151],
2019-09-14,00:01.58,candeุrุ ุ,jump_kin,WR,Bonus 1,record,zone_record,,-00:00.03,00:00.07,1057984,76561198318722879,[U:1:358457151],
2019-09-14,01:50.80,the cum zone,jump_kin,WR,Map,record,map_record,,-00:19.74,01:00.57,1057993,76561198008003429,[U:1:47737701],
2019-09-14,01:48.14,the cum zone,jump_kin,WR,Map,record,map_record,,-00:02.65,00:02.65,1057993,76561198008003429,[U:1:47737701],
2019-09-15,00:02.52,asdf,jump_kin,WR,Bonus 2,record,zone_record,,-00:00.05,00:00.20,1058420,76561198210286877,[U:1:250021149],
2019-09-15,00:02.03,asdf,jump_kin,WR,Bonus 4,record,zone_record,,-00:00.06,00:00.17,1058420,76561198210286877,[U:1:250021149],
2019-09-15,00:02.01,asdf,jump_kin,WR,Bonus 4,record,zone_record,,-00:00.02,00:00.02,1058420,76561198210286877,[U:1:250021149],
2019-09-15,00:01.99,asdf,jump_kin,WR,Bonus 4,record,zone_record,,-00:00.01,00:00.01,1058420,76561198210286877,[U:1:250021149],
2019-09-15,00:01.29,song,jump_kin,WR,Bonus 5,record,zone_record,,-00:00.04,00:00.08,1058491,76561198210286877,[U:1:250021149],
2019-09-15,00:01.56,song,jump_kin,WR,Bonus 1,record,zone_record,,-00:00.02,00:00.02,1058526,76561198210286877,[U:1:250021149],
2019-09-15,01:41.84,kater,jump_kin,WR,Map,record,map_record,,-00:06.29,00:10.42,1058637,76561198222006144,[U:1:261740416],
2019-09-15,00:03.14,error.,jump_kin,WR,Bonus 3,record,zone_record,,-00:00.00,00:00.01,1058637,76561198108434294,[U:1:148168566],
