date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id,steam_candidates
2014-07-06,03:00.25,Seras,jump_klanana,WR,MapRecord,,-01:24.13,01:57.34,false,9636,76561198070882254,STEAM_0:0:55308263,
2014-07-08,02:27.73,walk this way,jump_klanana,WR,MapRecord,,-00:32.51,,false,9957,76561198078488228,STEAM_0:0:59111250,
2014-07-08,02:27.73,walk this way,jump_klanana,WR,IRC,,-00:32.51,,false,9958,,,
2014-08-15,02:03.98,alle -tt,jump_klanana,WR,MapRecord,,-00:23.74,00:24.37,false,15805,76561198040983512,STEAM_0:0:40358892,
2014-08-23,02:02.66,stand the fuck u...,jump_klanana,WR,MapRecord,,-00:01.32,00:11.26,false,17541,76561198078488228,[U:1:118222500],
2015-05-29,01:51.58,Soup Can,jump_klanana,WR,MapRecord,,-00:11.08,00:12.82,false,99831,76561198029285343,[U:1:69019615],
2015-05-29,02:02.66,Soup Can,jump_klanana,WR,MapRun,02:04.40,+00:01.74,00:19.36,true,99831,76561198029285343,[U:1:69019615],
2015-05-29,02:02.67,Soup Can,jump_klanana,WR,MapRun,02:23.77,+00:21.10,00:24.55,true,99831,76561198029285343,[U:1:69019615],
2018-09-25,01:33.38,Draxii,jump_klanana,WR,MapRun,05:59.54,+04:26.16,,true,771508,76561198273997526,[U:1:313731798],
2018-09-25,01:33.38,snoozejuls,jump_klanana,WR,MapRun,01:38.15,+00:04.77,00:02.74,true,771508,76561198069991227,[U:1:109725499],
2018-09-25,01:33.39,snoozejuls,jump_klanana,WR,MapRun,01:34.78,+00:01.39,00:03.37,true,771508,76561198069991227,[U:1:109725499],
2018-09-25,01:33.39,snoozejuls,jump_klanana,WR,MapRun,01:40.90,+00:07.51,00:02.39,true,771508,76561198069991227,[U:1:109725499],
2018-10-15,01:33.39,Booshy,jump_klanana,WR,MapRun,03:31.21,+01:57.82,10:55.35,true,790061,76561198046601398,[U:1:86335670],
2018-10-17,01:29.46,Booshy,jump_klanana,WR,MapRecord,,-00:03.91,00:04.50,false,791904,76561198046601398,[U:1:86335670],
2018-10-17,01:33.38,Booshy,jump_klanana,WR,MapRun,01:58.07,+00:24.69,00:03.87,true,791904,76561198046601398,[U:1:86335670],
2018-10-17,01:33.38,Booshy,jump_klanana,WR,MapRun,02:01.94,+00:28.56,01:29.26,true,791904,76561198046601398,[U:1:86335670],
2018-10-17,01:33.39,Booshy,jump_klanana,WR,MapRun,01:33.97,+00:00.58,00:13.46,true,791904,76561198046601398,[U:1:86335670],
2018-10-17,01:33.39,Booshy,jump_klanana,WR,MapRun,01:47.44,+00:14.05,00:10.63,true,791904,76561198046601398,[U:1:86335670],
2018-10-17,01:33.39,Booshy,jump_klanana,WR,MapRun,01:47.86,+00:14.47,,true,791904,76561198046601398,[U:1:86335670],
2018-10-17,01:33.39,Booshy,jump_klanana,WR,MapRun,02:41.74,+01:08.35,,true,791904,76561198046601398,[U:1:86335670],
2018-10-17,01:33.39,bruh moment,jump_klanana,WR,MapRun,16:35.50,+15:02.11,,true,791904,76561198243952326,[U:1:283686598],
2019-11-06,01:29.09,Boshy,jump_klanana,WR,IRC,,-00:00.36,,false,1097564,,,
2019-11-06,01:29.09,Boshy,jump_klanana,WR,MapRecord,,-00:00.36,00:00.36,false,1097569,76561198046601398,[U:1:86335670],
2019-11-06,01:24.13,twitch.tv/boshyt,jump_klanana,WR,MapRecord,,-00:04.96,00:04.96,false,1097644,,,
2019-11-06,01:24.13,twitch.tv/boshyt,jump_klanana,WR,MapRun,01:26.48,+00:02.35,,true,1097644,,,
2019-11-06,01:29.09,twitch.tv/boshyt,jump_klanana,WR,MapRun,01:52.85,+00:23.76,,true,1097644,,,
2019-11-06,01:29.10,twitch.tv/boshyt,jump_klanana,WR,MapRun,01:31.27,+00:02.17,,true,1097644,,,
2021-04-09,01:23.05,Matty,jump_klanana,WR,MapRecord,,-00:01.08,00:02.44,false,1559237,76561198035204545,[U:1:74938817],
2021-04-09,01:24.13,Matty,jump_klanana,WR,MapRun,01:25.50,+00:01.37,00:03.73,true,1559237,76561198035204545,[U:1:74938817],
2021-04-09,01:24.13,Matty,jump_klanana,WR,MapRun,01:26.52,+00:02.39,,true,1559237,76561198035204545,[U:1:74938817],
2021-04-09,01:24.13,Matty,jump_klanana,WR,MapRun,01:29.23,+00:05.10,00:02.43,true,1559237,76561198035204545,[U:1:74938817],
2021-04-09,01:24.13,Matty,jump_klanana,WR,MapRun,01:33.76,+00:09.63,,true,1559237,76561198035204545,[U:1:74938817],
