date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id,steam_candidates
2014-12-08,02:18.38,Aurora -tt,jump_klanana,WR,MapRecord,,-00:14.11,00:14.11,false,35421,76561198053067670,[U:1:92801942],
2015-05-29,02:18.39,func,jump_klanana,WR,MapRun,03:24.22,+01:05.83,00:24.71,true,99831,76561198088581265,[U:1:128315537],
2015-05-29,02:18.39,func,jump_klanana,WR,MapRun,03:48.94,+01:30.55,00:11.93,true,99831,76561198088581265,[U:1:128315537],
2015-05-29,02:18.39,func,jump_klanana,WR,MapRun,04:00.88,+01:42.49,00:02.21,true,99831,76561198088581265,[U:1:128315537],
2018-10-15,02:10.57,Steeeeve,jump_klanana,WR,MapRecord,,-00:00.64,00:22.78,false,789802,76561198063901478,[U:1:103635750],
2018-10-15,02:10.57,Steeeeve,jump_klanana,WR,MapRun,02:21.10,+00:10.53,,true,789802,76561198063901478,[U:1:103635750],
2018-10-15,02:11.22,Steeeeve,jump_klanana,WR,MapRun,02:33.36,+00:22.14,00:33.41,true,789802,76561198063901478,[U:1:103635750],
2018-10-15,02:11.22,Steeeeve,jump_klanana,WR,MapRun,07:10.87,+04:59.65,,true,789802,76561198063901478,[U:1:103635750],
2018-10-15,02:02.70,Booshy,jump_klanana,WR,MapRecord,,-00:07.87,00:08.51,false,790061,76561198046601398,[U:1:86335670],
2018-10-15,02:10.58,Booshy,jump_klanana,WR,MapRun,04:53.92,+02:43.34,,true,790061,76561198046601398,[U:1:86335670],
2018-10-15,02:02.70,Booshy,jump_klanana,WR,IRC,,-00:07.87,,false,790099,,,
2018-10-16,01:50.93,Booshy,jump_klanana,WR,MapRecord,,-00:11.76,00:11.76,false,791016,76561198046601398,[U:1:86335670],
2018-10-16,01:50.94,Evil Spooky aF d,jump_klanana,WR,MapRun,21:25.96,+19:35.02,,true,791016,,,
2018-10-16,01:50.94,ILDPRUT,jump_klanana,WR,MapRun,10:00.75,+08:09.81,,true,791016,76561198024545611,[U:1:64279883],
2018-10-16,02:02.70,Booshy,jump_klanana,WR,MapRun,02:04.12,+00:01.42,,true,791016,76561198046601398,[U:1:86335670],
2021-04-09,01:50.93,seras,jump_klanana,WR,MapRun,05:52.45,+04:01.52,,true,1559237,76561198070882254,[U:1:110616526],
2021-04-09,01:50.94,bappo,jump_klanana,WR,MapRun,10:49.95,+08:59.01,,true,1559237,76561198085486146,[U:1:125220418],
2021-04-09,01:50.94,sniper,jump_klanana,WR,MapRun,38:32.20,+36:41.26,,true,1559237,76561198417422031,[U:1:457156303],
2021-06-03,01:46.54,tripbwai,jump_klanana,WR,MapRecord,,-00:04.39,00:10.03,false,1604037,76561198109904512,[U:1:149638784],
2021-06-03,01:50.93,tripbwai,jump_klanana,WR,MapRun,03:33.91,+01:42.98,,true,1604037,76561198109904512,[U:1:149638784],
2021-06-03,01:50.94,tripbwai,jump_klanana,WR,MapRun,01:56.58,+00:05.64,00:02.16,true,1604037,76561198109904512,[U:1:149638784],
2021-06-03,01:50.94,tripbwai,jump_klanana,WR,MapRun,02:11.82,+00:20.88,,true,1604037,76561198109904512,[U:1:149638784],
2021-06-03,01:50.94,tripbwai,jump_klanana,WR,MapRun,02:28.20,+00:37.26,,true,1604037,76561198109904512,[U:1:149638784],
2021-06-03,01:50.94,tripbwai,jump_klanana,WR,MapRun,03:25.74,+01:34.80,,true,1604037,76561198109904512,[U:1:149638784],
2021-06-03,01:50.94,tripbwai,jump_klanana,WR,MapRun,06:06.51,+04:15.57,,true,1604037,76561198109904512,[U:1:149638784],
2021-06-03,01:46.54,tripbwai,jump_klanana,WR,IRC,,-00:04.39,,false,1604066,,,
2021-06-03,01:46.54,tripbwai,jump_klanana,WR,IRC,,-00:04.39,,false,1604074,76561198109904512,[U:1:149638784],
2021-06-03,01:46.54,tripbwai,jump_klanana,WR,IRC,,-00:04.39,,false,1604166,,,
2021-12-21,01:46.55,nukeydog,jump_klanana,WR,MapRun,28:05.85,+26:19.30,,true,1801714,76561197971146482,[U:1:10880754],
2022-02-19,01:38.56,FF73,jump_klanana,WR,MapRecord,,-00:07.98,00:09.72,false,1863026,76561198046601398,[U:1:86335670],
2022-02-19,01:46.54,FF73,jump_klanana,WR,MapRun,01:48.28,+00:01.74,00:02.65,true,1863026,76561198046601398,[U:1:86335670],
2022-02-19,01:46.54,FF73,jump_klanana,WR,MapRun,02:21.04,+00:34.50,,true,1863026,76561198046601398,[U:1:86335670],
2022-02-19,01:46.55,FF73,jump_klanana,WR,MapRun,02:13.35,+00:26.80,,true,1863026,76561198046601398,[U:1:86335670],
2022-02-19,01:38.56,FF73,jump_klanana,WR,IRC,,-00:07.98,,false,1863063,,,
