date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id
2015-05-16,05:25.04,๖ۣۜSimonۣۜ,jump_kpop_a3,WR,IRCSet,,,,false,94336,,
2015-05-16,01:56.36,ferhat,jump_kpop_a3,WR,IRC,,-00:08.99,,false,94496,,
2015-05-16,01:40.24,Ltfx,jump_kpop_a3,WR,MapRecord,,-00:02.32,00:25.12,false,94507,,
2015-05-19,01:34.48,879m -bb,jump_kpop_a3,WR,MapRecord,,-00:01.13,00:01.13,false,95513,76561198043793220,[U:1:83527492]
2015-05-22,01:30.13,ZQQQQ -wr,jump_kpop_a3,WR,MapRecord,,-00:04.35,00:07.78,false,96792,76561198152617188,[U:1:192351460]
2015-05-23,01:27.35,Soup Can,jump_kpop_a3,WR,MapRecord,,-00:02.77,00:08.16,false,97027,76561198029285343,[U:1:69019615]
2015-06-02,01:23.87,Evan,jump_kpop_a3,WR,MapRecord,,-00:03.47,00:16.14,false,101288,76561198070783552,[U:1:110517824]
2015-08-18,01:21.57,Soup caN -tt | t,jump_kpop_a3,WR,MapRecord,,-00:02.30,00:05.78,false,129981,,
2018-08-18,01:14.73,QUACK LIKE A DUC,jump_kpop_a3,WR,MapRecord,,-00:02.56,00:08.21,false,737276,,
2019-08-19,01:14.53,qualm before the,jump_kpop_a3,WR,MapRecord,,-00:00.19,00:04.04,false,1037893,,
2019-08-19,01:13.87,vice,jump_kpop_a3,WR,IRC,,-00:00.65,,false,1038028,,
2019-08-19,01:08.92,vice,jump_kpop_a3,WR,MapRecord,,-00:02.35,00:02.35,false,1038046,76561198366368448,[U:1:406102720]
2020-02-25,01:08.80,Skinn.,jump_kpop_a3,WR,MapRecord,,-00:00.11,00:01.21,false,1180936,76561198180610262,[U:1:220344534]
2020-02-25,01:08.45,vice,jump_kpop_a3,WR,IRC,,-00:00.34,,false,1181053,,
2023-02-16,01:08.31,cander,jump_kpop_a3,WR,IRC,,-00:00.15,,false,2216209,,
2025-08-06,01:08.30,melancholy,jump_kpop_a3,WR,MapRun,04:23.68,+03:15.38,,true,3438367,76561198068585202,[U:1:108319474]
