date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id,steam_candidates
2015-06-28,00:03.01,ꗄŇąɱȨEEꔪ,jump_kusok,WR,Bonus 2,,-00:00.08,,false,111501,,,
2015-06-28,00:03.28,River,jump_kusok,WR,Bonus 2,,-00:02.24,,false,111501,76561198109355823,[U:1:149090095],
2015-06-28,00:05.52,tsukiyomi,jump_kusok,WR,Bonus 2 First,,,,false,111501,76561197960496196,[U:1:230468],
2015-06-28,00:10.94,Uncle Pop  (popo,jump_kusok,WR,Bonus 1,,-00:00.91,,false,111501,,,
2015-06-28,00:16.57,River,jump_kusok,WR,Bonus 1,,-00:00.67,,false,111501,76561198109355823,[U:1:149090095],
2015-06-28,00:17.24,tsukiyomi,jump_kusok,WR,Bonus 1 First,,,,false,111501,76561197960496196,[U:1:230468],
2015-06-28,00:25.87,ꗄŇąɱȨEEꔪ,jump_kusok,WR,Bonus 3,,-00:00.49,,false,111501,,,
2015-06-28,00:40.30,Uncle Pop  (popo,jump_kusok,WR,Bonus 3,,-00:09.65,,false,111501,,,
2015-06-28,00:49.96,River,jump_kusok,WR,Bonus 3,,-01:18.36,,false,111501,76561198109355823,[U:1:149090095],
2015-06-28,02:08.32,tsukiyomi,jump_kusok,WR,Bonus 3 First,,,,false,111501,76561197960496196,[U:1:230468],
2015-06-28,06:50.29,ꗄŇąɱȨEEꔪ,jump_kusok,WR,MapRun,08:18.46,+01:28.17,,true,111501,,,
2015-06-28,11:24.15,River,jump_kusok,WR,MapRecord,,-00:48.81,,false,111501,76561198109355823,[U:1:149090095],
2015-06-28,11:24.15,River,jump_kusok,WR,Ranked,,,,true,111501,76561198109355823,[U:1:149090095],
2015-06-28,12:12.97,tsukiyomi,jump_kusok,WR,FirstRecord,,,,false,111501,76561197960496196,[U:1:230468],
2015-06-28,11:24.15,River,jump_kusok,WR,IRC,,-00:48.81,,false,111510,,,
2015-06-28,04:36.55,ok,jump_kusok,WR,IRC,,-00:41.58,,false,111622,,,
2015-06-28,05:18.14,ok,jump_kusok,WR,IRC,,-00:34.30,,false,111622,,,
2015-06-28,00:07.92,ꗄŇąɱȨEEꔪ,jump_kusok,WR,Bonus 1,,-00:00.84,00:00.86,false,111628,,,
2015-06-28,04:36.55,ok,jump_kusok,WR,MapRecord,,-00:41.58,00:41.58,false,111628,76561198070783552,[U:1:110517824],
2015-06-28,05:18.14,ok,jump_kusok,WR,MapRecord,,-00:34.30,02:44.87,false,111628,76561198070783552,[U:1:110517824],
2015-06-28,05:52.45,River,jump_kusok,WR,Ranked,,,,true,111628,76561198109355823,[U:1:149090095],
2015-06-28,05:52.45,Strawberry_Knigh,jump_kusok,WR,MapRun,19:45.99,+13:53.54,,true,111628,,,
2015-06-28,05:52.45,ok,jump_kusok,WR,MapRun,08:03.01,+02:10.56,,true,111628,76561198070783552,[U:1:110517824],
2015-06-28,05:52.45,ืืืSith No,jump_kusok,WR,MapRun,31:00.97,+25:08.52,,true,111628,,,
2015-06-28,04:36.55,ok,jump_kusok,WR,IRC,,-00:41.58,,false,111633,,,
2015-06-28,00:07.31,Ltfx,jump_kusok,WR,Bonus 1,,-00:00.50,00:01.17,false,111655,76561198051610309,[U:1:91344581],
2015-06-28,00:23.40,MarisoN,jump_kusok,WR,Bonus 3,,-00:00.25,00:00.77,false,111655,76561198140110515,[U:1:179844787],
2015-06-28,00:23.76,ꗄŇąɱȨEEꔪ,jump_kusok,WR,Bonus 3,,,,false,111655,,,
2015-06-28,04:09.63,BEVSTCXVST,jump_kusok,WR,MapRecord,,-00:26.92,00:28.18,false,111655,76561198045405184,[U:1:85139456],
2015-06-28,04:09.63,porkie,jump_kusok,WR,MapRun,15:17.50,+11:07.87,,true,111655,76561198054239403,[U:1:93973675],
2015-06-28,04:36.55,ok,jump_kusok,WR,Compact,,,,false,111655,,,
2015-06-28,04:36.55,BEVSTCXVST,jump_kusok,WR,MapRun,04:43.52,+00:06.97,00:12.51,true,111655,76561198045405184,[U:1:85139456],
2015-06-28,04:36.55,BEVSTCXVSTΔ,jump_kusok,WR,MapRun,04:56.04,+00:19.49,03:23.91,true,111655,76561198045405184,[U:1:85139456],
2015-06-28,04:36.55,Gebobus ☂,jump_kusok,WR,MapRun,07:41.96,+03:05.41,,true,111655,76561198044263100,[U:1:83997372],
2015-06-28,04:36.55,RegenbogenMAN<--,jump_kusok,WR,MapRun,10:09.20,+05:32.65,,true,111655,76561198025208249,[U:1:64942521],
2015-06-28,04:36.55,Safoda,jump_kusok,WR,MapRun,11:04.97,+06:28.42,,true,111655,76561198085021399,[U:1:124755671],
2015-06-28,04:36.55,εʍι,jump_kusok,WR,MapRun,15:26.06,+10:49.51,,true,111655,76561198017834611,[U:1:57568883],
2015-06-28,04:36.56,BEVSTCXVST,jump_kusok,WR,MapRun,04:37.81,+00:01.25,00:05.71,true,111655,76561198045405184,[U:1:85139456],
2015-06-28,04:36.56,BEVSTCXVSTΔ,jump_kusok,WR,MapRun,08:19.96,+03:43.40,,true,111655,76561198045405184,[U:1:85139456],
2015-06-28,04:36.56,Docking is an ar,jump_kusok,WR,MapRun,11:01.40,+06:24.84,,true,111655,,,
2015-06-28,04:36.56,Eyyy Johnson,jump_kusok,WR,MapRun,04:59.51,+00:22.95,00:38.71,true,111655,76561198018656606,[U:1:58390878],
2015-06-28,04:36.56,Eyyy Johnson,jump_kusok,WR,MapRun,05:38.23,+01:01.67,01:42.23,true,111655,76561198018656606,[U:1:58390878],
2015-06-28,04:36.56,Eyyy Johnson,jump_kusok,WR,MapRun,07:20.47,+02:43.91,,true,111655,76561198018656606,[U:1:58390878],
2015-06-28,04:36.56,Funkmasterino,jump_kusok,WR,MapRun,20:57.57,+16:21.01,,true,111655,76561198044533177,[U:1:84267449],
2015-06-28,04:36.56,J3pp3,jump_kusok,WR,MapRun,20:18.46,+15:41.90,,true,111655,76561198023619875,[U:1:63354147],
2015-06-28,04:36.56,MarisoN,jump_kusok,WR,MapRun,08:00.43,+03:23.87,00:50.77,true,111655,76561198140110515,[U:1:179844787],
2015-06-28,04:36.56,MarisoN,jump_kusok,WR,MapRun,11:48.95,+07:12.39,,true,111655,76561198140110515,[U:1:179844787],
2015-06-28,04:36.56,Mireal :>,jump_kusok,WR,MapRun,12:46.46,+08:09.90,,true,111655,76561198060577347,[U:1:100311619],
2015-06-28,04:36.56,XoOoOoOo,jump_kusok,WR,MapRun,16:06.31,+11:29.75,,true,111655,76561198074533946,[U:1:114268218],
2015-06-28,04:36.56,func,jump_kusok,WR,MapRun,14:40.41,+10:03.85,,true,111655,76561198088581265,[U:1:128315537],
2015-06-28,04:36.56,pokemaster2568,jump_kusok,WR,MapRun,18:28.56,+13:52.00,,true,111655,76561198136410256,[U:1:176144528],
2015-06-28,04:36.56,๖ۣۜSimonۣۜ,jump_kusok,WR,MapRun,12:42.57,+08:06.01,,true,111655,,,
2015-06-29,00:07.31,Ltfx,jump_kusok,WR,Bonus 1,,,,false,112001,76561198051610309,[U:1:91344581],
2015-06-29,00:21.22,Ltfx,jump_kusok,WR,Bonus 3,,-00:02.13,00:02.36,false,112001,76561198051610309,[U:1:91344581],
2015-06-29,03:55.47,Soup Can,jump_kusok,WR,MapRecord,,-00:14.15,00:47.57,false,112001,76561198029285343,[U:1:69019615],
2015-06-29,03:55.47,Soup Can,jump_kusok,WR,Compact,,,,false,112001,76561198029285343,[U:1:69019615],
2015-06-29,03:55.47,Soup Can,jump_kusok,WR,Compact,,,,false,112001,76561198029285343,[U:1:69019615],
2015-06-29,03:55.47,JEOK,jump_kusok,WR,MapRun,29:27.63,+25:32.16,,true,112001,76561198162268571,[U:1:202002843],
2015-06-29,03:55.47,Rhm.-Borsig Waff,jump_kusok,WR,MapRun,13:23.47,+09:28.00,,true,112001,,,
2015-06-29,04:09.63,BEVSTCXVST,jump_kusok,WR,Compact,,,,false,112001,,,
2015-06-29,04:09.63,BEVSTCXVST,jump_kusok,WR,Compact,,,,false,112001,,,
