date,record_time,player,map,record_type,segment,evidence,evidence_source,run_time,split,improvement,demo_id,steam_id64,steam_id,steam_candidates
2014-08-07,01:06.76,koala,jump_linear_final_fix,WR,Map,record,map_record,,-00:33.40,01:21.25,14344,76561198081005715,STEAM_0:1:60369993,
2014-08-07,00:58.76,koala,jump_linear_final_fix,WR,Map,record,map_record,,-00:07.99,00:07.99,14344,76561198081005715,STEAM_0:1:60369993,
2014-08-07,00:56.50,koala,jump_linear_final_fix,WR,Map,record,map_record,,-00:02.25,00:02.25,14349,76561198081005715,STEAM_0:1:60369993,
2014-08-26,00:50.41,nure,jump_linear_final_fix,WR,Map,record,map_record,,-00:06.09,00:06.57,18141,76561198053067670,[U:1:92801942],
2017-11-25,00:43.87,Diller,jump_linear_final_fix,WR,Map,record,map_record,,-00:00.64,00:00.88,510640,76561198040963460,[U:1:80697732],
2018-03-25,00:43.57,52 hours later a,jump_linear_final_fix,WR,Map,record,map_record,,-00:00.30,00:00.54,608186,,,
2018-07-13,00:43.41,Diller,jump_linear_final_fix,WR,Map,record,map_record,,-00:00.16,00:00.40,705185,76561198040963460,[U:1:80697732],
2019-02-15,00:42.42,wubby wubber,jump_linear_final_fix,WR,Map,record,map_record,,-00:00.98,00:01.15,893611,76561198000949987,[U:1:40684259],
2019-02-15,00:41.86,wubby wubber,jump_linear_final_fix,WR,Map,record,map_record,,-00:00.55,00:00.55,893697,76561198000949987,[U:1:40684259],
2019-06-22,00:41.85,Diller,jump_linear_final_fix,WR,Map,record,map_record,,-00:00.01,00:00.82,991948,76561198040963460,[U:1:80697732],
2021-11-16,00:02.16,yeye,jump_linear_final_fix,WR,Map,record,map_record,,-00:44.04,00:44.04,1767601,76561198120630343,[U:1:160364615],
2021-11-16,00:04.60,kyroah,jump_linear_final_fix,WR,Map,record,map_record,,-00:51.42,00:51.42,1767601,76561198153842796,[U:1:193577068],
2021-11-16,00:03.70,kyroah,jump_linear_final_fix,WR,Map,record,map_record,,-00:00.90,00:00.90,1767601,76561198153842796,[U:1:193577068],
2022-04-22,00:40.78,0330,jump_linear_final_fix,WR,Map,record,map_record,,-00:01.07,00:01.53,1924804,76561198210286877,[U:1:250021149],
2023-04-21,00:39.54,Rellort,jump_linear_final_fix,WR,Map,record,map_record,,-00:01.24,00:01.56,2285250,76561198090668406,[U:1:130402678],
2023-09-05,00:39.12,riotbz,jump_linear_final_fix,WR,Map,record,map_record,,-00:00.42,00:00.48,2488368,76561198065169685,[U:1:104903957],
2023-09-05,00:37.96,riotbz,jump_linear_final_fix,WR,Map,record,map_record,,-00:01.15,00:01.15,2488368,76561198065169685,[U:1:104903957],
2023-12-01,00:37.62,song,jump_linear_final_fix,WR,Map,record,map_record,,-00:00.34,00:00.61,2616876,76561198210286877,[U:1:250021149],
