date,record_time,player,map,record_type,segment,evidence,evidence_source,run_time,split,improvement,demo_id,steam_id64,steam_id,steam_candidates
2014-08-09,00:30.11,Gebobus,jump_lion_a6,WR,Bonus 1,record,zone_record,,-00:13.57,,14698,76561198044263100,STEAM_0:0:41998686,
2014-08-09,1:01:30.55,guyyst,jump_lion_a6,WR,Map,record,first_record,,,,14698,76561198041343262,STEAM_0:0:40538767,
2014-08-09,36:54.62,guyyst,jump_lion_a6,WR,Map,record,map_record,,-24:35.93,24:35.93,14698,76561198041343262,STEAM_0:0:40538767,
2014-08-09,00:28.59,Pluto,jump_lion_a6,WR,Bonus 1,record,zone_record,,-00:01.52,,14762,76561198044511072,STEAM_0:0:42122672,
2014-08-09,00:24.74,Helpless_Soldier,jump_lion_a6,WR,Bonus 1,record,zone_record,,-00:03.85,00:18.95,14762,76561198043137253,STEAM_0:1:41435762,
2014-08-10,36:14.16,Gebobus,jump_lion_a6,WR,Map,record,map_record,,-00:40.46,,14784,76561198044263100,STEAM_0:0:41998686,
2014-08-10,00:24.04,Gebobus,jump_lion_a6,WR,Bonus 1,record,zone_record,,-00:00.70,00:06.07,14784,76561198044263100,STEAM_0:0:41998686,
2014-08-10,22:06.86,guyyst,jump_lion_a6,WR,Map,record,map_record,,-14:07.29,14:47.75,14840,76561198041343262,STEAM_0:0:40538767,
2014-08-11,17:58.53,Gebobus -tt,jump_lion_a6,WR,Map,record,map_record,,-04:08.32,18:15.62,15076,76561198044263100,STEAM_0:0:41998686,
2014-08-11,00:19.60,Gebobus -tt,jump_lion_a6,WR,Bonus 1,record,zone_record,,-00:04.44,00:04.44,15076,76561198044263100,STEAM_0:0:41998686,
2014-08-12,10:34.15,guyyst,jump_lion_a6,WR,Map,record,map_record,,-07:24.38,11:32.70,15184,76561198041343262,STEAM_0:0:40538767,
2015-08-22,00:15.07,func,jump_lion_a6,WR,Bonus 1,record,zone_record,,-00:00.14,00:00.14,131431,76561198088581265,[U:1:128315537],
2015-08-22,00:14.87,func,jump_lion_a6,WR,Bonus 1,record,zone_record,,-00:00.19,00:00.19,131431,76561198088581265,[U:1:128315537],
2015-08-22,00:14.81,func,jump_lion_a6,WR,Bonus 1,record,zone_record,,-00:00.06,00:00.06,131431,76561198088581265,[U:1:128315537],
2015-08-22,00:14.45,func,jump_lion_a6,WR,Bonus 1,record,zone_record,,-00:00.36,00:00.36,131431,76561198088581265,[U:1:128315537],
2015-08-22,00:14.20,func,jump_lion_a6,WR,Bonus 1,record,zone_record,,-00:00.24,00:00.24,131431,76561198088581265,[U:1:128315537],
2015-08-23,07:54.75,LessThanThree |,jump_lion_a6,WR,Map,record,map_record,,-02:39.39,03:11.43,132017,,,
2015-09-06,00:12.80,Bøshy,jump_lion_a6,WR,Bonus 1,record,zone_record,,-00:03.14,00:03.14,137332,76561198046601398,[U:1:86335670],
2018-03-12,04:30.96,kaptain,jump_lion_a6,WR,Map,record,map_record,,-00:10.88,00:10.88,597565,76561198033727092,[U:1:73461364],
2018-03-12,04:17.53,kaptain,jump_lion_a6,WR,Map,record,map_record,,-00:13.43,00:13.43,597565,76561198033727092,[U:1:73461364],
2018-03-15,04:13.81,kaptain,jump_lion_a6,WR,Map,record,map_record,,-00:03.71,00:03.71,600038,76561198033727092,[U:1:73461364],
2018-03-16,03:51.59,kaptain,jump_lion_a6,WR,Map,record,map_record,,-00:22.21,00:22.21,600789,76561198033727092,[U:1:73461364],
2021-04-07,00:09.99,leage,jump_lion_a6,WR,Bonus 1,record,zone_record,,-00:00.03,00:00.07,1557396,76561198152618680,[U:1:192352952],
2021-06-01,03:49.30,Dynamicp4rk,jump_lion_a6,WR,Map,record,map_record,,-00:02.29,00:22.09,1603190,76561198066947056,[U:1:106681328],
2021-07-30,00:09.39,sgt Bytheway,jump_lion_a6,WR,Bonus 1,record,zone_record,,-00:00.63,00:00.63,1652746,76561198094169965,[U:1:133904237],
2022-07-07,03:45.19,riot,jump_lion_a6,WR,Map,record,map_record,,-00:04.11,00:53.46,1993606,76561198065169685,[U:1:104903957],
2023-06-10,03:44.04,diller,jump_lion_a6,WR,Map,record,map_record,,-00:01.15,00:01.96,2357037,76561198040963460,[U:1:80697732],
2023-06-14,03:40.08,diller,jump_lion_a6,WR,Map,record,map_record,,-00:03.96,00:03.96,2363753,76561198040963460,[U:1:80697732],
2023-06-16,03:39.33,diller,jump_lion_a6,WR,Map,record,map_record,,-00:00.75,00:00.75,2366595,76561198040963460,[U:1:80697732],
2023-06-17,03:36.36,diller,jump_lion_a6,WR,Map,record,map_record,,-00:02.97,00:02.97,2368112,76561198040963460,[U:1:80697732],
2023-07-19,00:09.16,(rat castle),jump_lion_a6,WR,Bonus 1,record,zone_record,,-00:00.22,00:00.54,2413292,76561198201985399,[U:1:241719671],
2023-08-29,00:09.15,Closed.,jump_lion_a6,WR,Bonus 1,record,zone_record,,-00:00.13,00:00.13,2477190,76561198212598967,[U:1:252333239],
2023-08-29,00:09.10,Closed.,jump_lion_a6,WR,Bonus 1,record,zone_record,,-00:00.04,00:00.04,2477190,76561198212598967,[U:1:252333239],
2023-11-14,03:26.32,diller,jump_lion_a6,WR,Map,record,map_record,,-00:10.03,00:10.03,2590765,76561198040963460,[U:1:80697732],
2024-08-31,00:09.07,nikita@gosuslugi,jump_lion_a6,WR,Bonus 1,record,zone_record,,-00:00.09,00:00.09,3019428,,,
2024-09-08,00:09.03,sammy -pr #lgr,jump_lion_a6,WR,Bonus 1,record,zone_record,,-00:00.13,00:00.13,3030566,76561199001307670,[U:1:1041041942],
2024-09-08,00:08.95,sammy -pr #lgr,jump_lion_a6,WR,Bonus 1,record,zone_record,,-00:00.07,00:00.07,3030566,76561199001307670,[U:1:1041041942],
2024-11-24,00:08.22,₍ᐢᐢ₎. us,jump_lion_a6,WR,Bonus 1,record,zone_record,,-00:00.22,00:02.67,3144712,,,
2024-11-24,00:07.57,WHORE-TO-A-CHAIN,jump_lion_a6,WR,Bonus 1,record,zone_record,,-00:00.67,00:00.67,3144954,,,
2025-01-10,03:23.02,nikita@gosuslugi,jump_lion_a6,WR,Map,record,map_record,,-00:03.30,00:15.30,3213846,,,
