date,record_time,player,map,record_type,segment,evidence,evidence_source,run_time,split,improvement,demo_id,steam_id64,steam_id,steam_candidates
2019-03-03,01:19.89,Soup -tt,jump_lithium_fix2_bmv,WR,Bonus 3,record,zone_record,,-00:00.02,00:00.02,906739,76561198029285343,[U:1:69019615],
2019-06-02,01:26.98,AHAHAHHAAH (◣_,jump_lithium_fix2_bmv,WR,Map,command,wr_command,,,,,,,
2019-07-16,01:24.39,Soup -tt,jump_lithium_fix2_bmv,WR,Map,record,map_record,,-00:02.59,00:02.59,1011093,76561198029285343,[U:1:69019615],
2019-07-27,00:12.34,nyewjuws x3,jump_lithium_fix2_bmv,WR,Bonus 1,record,zone_record,,-00:00.48,00:00.48,1020592,76561198396018338,[U:1:435752610],
2019-12-25,01:24.01,Soup -tt,jump_lithium_fix2_bmv,WR,Map,record,map_record,,-00:00.37,00:00.37,1132477,76561198029285343,[U:1:69019615],
2020-04-24,00:31.05,chartreuse,jump_lithium_fix2_bmv,WR,Bonus 2,record,zone_record,,-00:05.73,,1233166,76561198366368448,[U:1:406102720],
2020-06-11,00:13.30,Waldo,jump_lithium_fix2_bmv,WR,Bonus 1,record,zone_record,,-00:00.04,,1273097,76561198020256631,[U:1:59990903],
2020-06-28,00:12.82,newjuls,jump_lithium_fix2_bmv,WR,Bonus 1,record,zone_record,,-00:00.48,,1287484,76561198396018338,[U:1:435752610],
2020-06-28,00:12.76,newjuls,jump_lithium_fix2_bmv,WR,Bonus 1,record,zone_record,,-00:00.06,00:00.06,1287484,76561198396018338,[U:1:435752610],
2020-08-16,01:19.53,Moo,jump_lithium_fix2_bmv,WR,Bonus 3,record,zone_record,,-00:00.71,00:00.71,1327190,76561198000733351,[U:1:40467623],
2020-11-16,01:19.77,sleepy,jump_lithium_fix2_bmv,WR,Bonus 3,record,zone_record,,-00:00.21,00:00.21,1419303,76561198083816511,[U:1:123550783],
2020-11-17,01:19.65,sleepy,jump_lithium_fix2_bmv,WR,Bonus 3,record,zone_record,,-00:00.12,00:00.12,1420330,76561198083816511,[U:1:123550783],
2020-11-21,01:19.42,sleepy,jump_lithium_fix2_bmv,WR,Bonus 3,record,zone_record,,-00:00.22,00:00.22,1424298,76561198083816511,[U:1:123550783],
2020-11-21,01:19.26,Zike1017,jump_lithium_fix2_bmv,WR,Bonus 3,record,zone_record,,-00:00.16,00:00.52,1424373,76561198050366275,[U:1:90100547],
2020-11-21,01:19.06,sleepy,jump_lithium_fix2_bmv,WR,Bonus 3,record,zone_record,,-00:00.19,00:00.31,1424467,76561198083816511,[U:1:123550783],
2020-12-11,00:30.55,twitch.tv/newjul,jump_lithium_fix2_bmv,WR,Bonus 2,record,zone_record,,-00:00.50,,1443172,,,
2021-08-03,00:29.04,Waldo,jump_lithium_fix2_bmv,WR,Bonus 2,record,zone_record,,-00:38.35,00:38.35,1656357,76561198020256631,[U:1:59990903],
2022-08-10,00:26.41,Scoob,jump_lithium_fix2_bmv,WR,Bonus 2,record,zone_record,,-01:00.45,01:00.45,2021855,76561198121428371,[U:1:161162643],
2022-08-10,00:13.23,Scoob,jump_lithium_fix2_bmv,WR,Bonus 1,record,zone_record,,-00:27.18,00:27.18,2021855,76561198121428371,[U:1:161162643],
2023-01-04,00:12.82,newjuls,jump_lithium_fix2_bmv,WR,Bonus 1,record,zone_record,,-00:00.40,00:00.97,2168586,76561198396018338,[U:1:435752610],
2023-01-04,00:12.39,newjuls,jump_lithium_fix2_bmv,WR,Bonus 1,record,zone_record,,-00:00.43,00:00.43,2168586,76561198396018338,[U:1:435752610],
2023-09-09,00:23.07,vice,jump_lithium_fix2_bmv,WR,Bonus 2,record,zone_record,,-00:03.34,00:07.98,2494545,76561198366368448,[U:1:406102720],
2023-09-12,00:21.01,scoob,jump_lithium_fix2_bmv,WR,Bonus 2,record,zone_record,,-00:02.05,00:05.40,2498427,76561198121428371,[U:1:161162643],
