date,record_time,player,map,record_type,segment,evidence,evidence_source,run_time,split,improvement,demo_id,steam_id64,steam_id,steam_candidates
2020-07-21,09:38.77,reflex,jump_lombardi,WR,Map,record,first_record,,,,1306695,76561198070705963,[U:1:110440235],
2020-07-21,01:53.25,diva,jump_lombardi,WR,Map,record,map_record,,-07:45.51,,1306695,76561198061022354,[U:1:100756626],
2020-07-21,01:32.58,wild,jump_lombardi,WR,Map,record,map_record,,-00:20.67,,1306695,76561198299425567,[U:1:339159839],
2020-07-21,01:18.21,wild,jump_lombardi,WR,Map,record,map_record,,-00:14.37,00:14.37,1306695,76561198299425567,[U:1:339159839],
2020-07-21,01:11.20,wild,jump_lombardi,WR,Map,record,map_record,,-00:07.00,00:07.00,1306695,76561198299425567,[U:1:339159839],
2020-07-21,01:07.87,Luke.,jump_lombardi,WR,Map,record,map_record,,-00:12.04,00:12.04,1306760,76561198098414676,[U:1:138148948],
2020-07-22,01:04.98,cander,jump_lombardi,WR,Map,record,map_record,,-00:02.89,,1307167,76561198318722879,[U:1:358457151],
2020-07-22,01:04.20,cander,jump_lombardi,WR,Map,record,map_record,,-00:00.78,00:00.78,1307167,76561198318722879,[U:1:358457151],
2020-07-22,01:01.85,cander,jump_lombardi,WR,Map,record,map_record,,-00:02.34,00:02.34,1307167,76561198318722879,[U:1:358457151],
2020-07-22,01:01.06,cander,jump_lombardi,WR,Map,record,map_record,,-00:00.79,00:00.79,1307167,76561198318722879,[U:1:358457151],
2020-07-22,00:59.29,cander,jump_lombardi,WR,Map,record,map_record,,-00:01.76,00:01.76,1307167,76561198318722879,[U:1:358457151],
2020-07-23,00:58.72,cander,jump_lombardi,WR,Map,record,map_record,,-00:00.57,00:00.57,1307799,76561198318722879,[U:1:358457151],
2020-07-23,00:57.36,cander,jump_lombardi,WR,Map,record,map_record,,-00:01.36,00:01.36,1307799,76561198318722879,[U:1:358457151],
2020-07-23,00:57.22,vice,jump_lombardi,WR,Map,record,map_record,,-00:00.13,00:01.65,1307799,,,
2020-07-23,00:56.21,cander,jump_lombardi,WR,Map,record,map_record,,-00:01.00,00:01.14,1308053,76561198318722879,[U:1:358457151],
2020-07-23,00:55.25,cander,jump_lombardi,WR,Map,record,map_record,,-00:00.95,00:00.95,1308053,76561198318722879,[U:1:358457151],
2020-07-24,00:53.30,vice,jump_lombardi,WR,Map,record,map_record,,-00:01.95,00:02.14,1308477,76561198366368448,[U:1:406102720],
2021-04-11,00:52.71,song,jump_lombardi,WR,Map,record,map_record,,-00:00.60,00:01.05,1561152,76561198210286877,[U:1:250021149],
