date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id,steam_candidates
2025-04-26,01:43.83,TUNG TUNG TUNG T,jump_matty_b7,WR,IRC,,-00:02.76,,false,3292316,,,
2025-04-26,01:46.59,riotbz,jump_matty_b7,WR,IRC,,-00:17.84,,false,3292316,,,
2025-04-26,01:52.42,newjuls,jump_matty_b7,WR,IRC,,-00:12.00,,false,3292316,,,
2025-04-26,02:20.37,riotbz,jump_matty_b7,WR,IRCSet,,,,false,3292316,,,
2025-04-26,03:49.44,turt,jump_matty_b7,WR,IRCSet,,,,false,3292316,,,
2025-04-26,02:20.37,riotbz,jump_matty_b7,WR,IRCSet,,,,false,3292298,,,
2025-04-26,03:49.44,turt,jump_matty_b7,WR,IRCSet,,,,false,3292298,,,
2025-04-26,01:46.59,riotbz,jump_matty_b7,WR,IRC,,-00:17.84,,false,3292496,,,
2025-04-26,01:52.42,newjuls,jump_matty_b7,WR,IRC,,-00:12.00,,false,3292496,,,
2025-04-26,02:20.37,riotbz,jump_matty_b7,WR,IRCSet,,,,false,3292496,,,
2025-04-26,03:49.44,turt,jump_matty_b7,WR,IRCSet,,,,false,3292496,,,
2025-04-26,01:27.30,TUNG TUNG TUNG T,jump_matty_b7,WR,IRC,,-00:02.73,,false,3292343,,,
2025-04-26,01:30.03,TUNG TUNG TUNG T,jump_matty_b7,WR,IRC,,-00:13.80,,false,3292343,,,
2025-04-26,01:43.83,TUNG TUNG TUNG T,jump_matty_b7,WR,IRC,,-00:02.76,,false,3292343,,,
2025-04-26,01:46.59,riotbz,jump_matty_b7,WR,IRC,,-00:17.84,,false,3292343,,,
2025-04-26,01:52.42,newjuls,jump_matty_b7,WR,IRC,,-00:12.00,,false,3292343,,,
2025-04-26,02:20.37,riotbz,jump_matty_b7,WR,IRCSet,,,,false,3292343,,,
2025-04-26,03:49.44,turt,jump_matty_b7,WR,IRCSet,,,,false,3292343,,,
2025-04-26,02:20.37,riotbz,jump_matty_b7,WR,IRCSet,,,,false,3292524,,,
2025-04-26,03:49.44,turt,jump_matty_b7,WR,IRCSet,,,,false,3292524,,,
2025-04-26,02:20.37,riotbz,jump_matty_b7,WR,IRCSet,,,,false,3292527,,,
2025-04-26,03:49.44,turt,jump_matty_b7,WR,IRCSet,,,,false,3292527,,,
2025-04-26,00:02.36,vice,jump_matty_b7,WR,Bonus 1,,-00:00.08,00:00.08,false,3292568,76561198366368448,[U:1:406102720],
2025-04-26,00:02.43,vice,jump_matty_b7,WR,Bonus 1,,-00:00.62,00:00.62,false,3292568,76561198366368448,[U:1:406102720],
2025-04-26,00:03.04,vice,jump_matty_b7,WR,Bonus 1,,-00:00.14,00:00.14,false,3292568,76561198366368448,[U:1:406102720],
2025-04-26,00:03.18,vice,jump_matty_b7,WR,Bonus 1 First,,,,false,3292568,76561198366368448,[U:1:406102720],
2025-04-26,02:20.37,riotbz,jump_matty_b7,WR,IRCSet,,,,false,3292568,,,
2025-04-26,02:20.37,Eleum Loyce,jump_matty_b7,WR,MapRun,03:52.62,+01:32.25,,true,3292568,76561198223267660,[U:1:263001932],
2025-04-26,02:20.37,vice,jump_matty_b7,WR,MapRun,02:51.63,+00:31.26,,true,3292568,76561198366368448,[U:1:406102720],
2025-04-26,03:49.44,turt,jump_matty_b7,WR,FirstRecord,,,,false,3292568,76561198105984518,[U:1:145718790],
2025-04-26,00:04.06,riotbz,jump_matty_b7,WR,Bonus 1 First,,,,false,3292564,76561198065169685,[U:1:104903957],
2025-04-26,00:18.09,riotbz,jump_matty_b7,WR,Bonus 2 First,,,,false,3292564,76561198065169685,[U:1:104903957],
2025-04-26,02:20.37,riotbz,jump_matty_b7,WR,FirstRecord,,,,false,3292564,76561198065169685,[U:1:104903957],
2025-04-26,03:49.44,turt,jump_matty_b7,WR,IRCSet,,,,false,3292564,,,
2025-04-26,01:26.32,Banjo,jump_matty_b7,WR,Bonus 3 First,,,,false,3292554,76561198004652853,[U:1:44387125],
2025-04-26,01:30.03,TUNG TUNG TUNG T,jump_matty_b7,WR,IRC,,-00:13.80,,false,3292554,,,
2025-04-26,01:43.83,TUNG TUNG TUNG T,jump_matty_b7,WR,IRC,,-00:02.76,,false,3292554,,,
2025-04-26,01:43.83,Banjo,jump_matty_b7,WR,MapRun,04:51.15,+03:07.32,,true,3292554,76561198004652853,[U:1:44387125],
