date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id
2017-12-06,32:31.06,pwn,jump_mireal3_final,WR,MapRecord,,-08:40.00,30:47.66,false,519325,76561198120366659,[U:1:160100931]
2018-02-07,22:52.33,tony pepperoni,jump_mireal3_final,WR,MapRecord,,-09:38.72,09:38.72,false,571365,76561198120366659,[U:1:160100931]
2018-07-27,20:25.29,newjuls,jump_mireal3_final,WR,IRC,,-02:27.04,,false,718071,,
2018-10-14,17:34.77,newjuls -ttdark,jump_mireal3_final,WR,IRC,,-02:50.52,,false,789050,,
2019-01-07,14:38.01,newjuls,jump_mireal3_final,WR,MapRecord,,-02:56.76,02:56.76,false,860265,76561198396018338,[U:1:435752610]
2019-07-03,11:58.78,ุ[o.W.n] natap,jump_mireal3_final,WR,IRC,,-02:39.22,,false,1001199,,
2020-01-02,10:53.20,i wanna know kno,jump_mireal3_final,WR,IRC,,-01:05.58,,false,1138938,,
2020-01-12,08:58.00,kater,jump_mireal3_final,WR,MapRecord,,-01:55.19,01:55.19,false,1147031,76561198222006144,[U:1:261740416]
2020-06-03,08:29.08,pi,jump_mireal3_final,WR,MapRecord,,-00:28.91,00:28.91,false,1265908,76561198222006144,[U:1:261740416]
2022-08-22,08:09.04,goofylight041,jump_mireal3_final,WR,MapRecord,,-00:20.04,00:26.22,false,2034172,76561198204967912,[U:1:244702184]
