date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id,steam_candidates
2018-06-07,02:03.34,and uhh  dog,jump_moist_v2_fix,WR,IRC,,-00:30.94,,false,671620,,,
2018-06-07,02:03.34,and uhh  dog,jump_moist_v2_fix,WR,IRC,,-00:30.94,,false,671632,,,
2018-06-07,01:36.82,and uhh  dog,jump_moist_v2_fix,WR,Course 2,,-00:14.38,00:30.38,false,671657,76561198396018338,[U:1:435752610],
2018-06-07,02:03.34,and uhh  dog,jump_moist_v2_fix,WR,MapRecord,,-00:30.94,00:30.94,false,671657,76561198396018338,[U:1:435752610],
2018-06-07,02:03.34,and uhh  dog,jump_moist_v2_fix,WR,Compact,,,,false,671657,76561198396018338,[U:1:435752610],
2018-06-07,02:34.28,and uhh  dog,jump_moist_v2_fix,WR,Compact,,,,false,671657,76561198396018338,[U:1:435752610],
2018-06-07,02:34.29,and uhh  dog,jump_moist_v2_fix,WR,MapRun,02:57.18,+00:22.89,,true,671657,76561198396018338,[U:1:435752610],
2018-08-14,02:03.34,newjuls -ttdark,jump_moist_v2_fix,WR,Compact,,,,false,733720,,,
2018-08-14,02:03.35,fig,jump_moist_v2_fix,WR,MapRun,22:08.32,+20:04.97,,true,733720,76561198153842796,[U:1:193577068],
2018-09-04,02:03.34,Shock,jump_moist_v2_fix,WR,MapRun,59:05.98,+57:02.64,,true,752155,76561198027443134,[U:1:67177406],
2018-09-04,02:03.34,jtravs,jump_moist_v2_fix,WR,MapRun,13:43.78,+11:40.44,06:34.95,true,752155,76561198117262056,[U:1:156996328],
2018-09-04,02:03.34,vete,jump_moist_v2_fix,WR,MapRun,07:11.15,+05:07.81,02:37.60,true,752155,76561198063901478,[U:1:103635750],
2018-09-04,02:03.34,vete,jump_moist_v2_fix,WR,MapRun,09:48.76,+07:45.42,,true,752155,76561198063901478,[U:1:103635750],
2018-09-19,00:10.21,vice,jump_moist_v2_fix,WR,Bonus 1,,,,false,766243,76561198366368448,[U:1:406102720],
2018-09-19,00:10.21,vice,jump_moist_v2_fix,WR,Bonus 1,,-00:01.03,,false,766243,76561198366368448,[U:1:406102720],
2019-04-16,01:30.36,samuel,jump_moist_v2_fix,WR,Course 2,,-00:01.23,00:01.23,false,941242,76561198222006144,[U:1:261740416],
2019-04-16,01:31.59,samuel,jump_moist_v2_fix,WR,Course 2,,-00:01.69,00:01.69,false,941242,76561198222006144,[U:1:261740416],
2019-04-16,01:33.28,samuel,jump_moist_v2_fix,WR,Course 2,,-00:03.54,00:25.92,false,941242,76561198222006144,[U:1:261740416],
2019-04-16,01:56.80,samuel,jump_moist_v2_fix,WR,MapRecord,,-00:06.53,00:07.89,false,941242,76561198222006144,[U:1:261740416],
2019-04-16,02:03.34,newjuls,jump_moist_v2_fix,WR,Compact,,,,false,941242,,,
2019-04-16,02:03.34,newjuls,jump_moist_v2_fix,WR,Compact,,,,false,941242,,,
2019-04-16,02:03.34,samuel,jump_moist_v2_fix,WR,MapRun,02:04.69,+00:01.35,00:18.31,true,941242,76561198222006144,[U:1:261740416],
2019-04-16,02:03.34,samuel,jump_moist_v2_fix,WR,MapRun,02:23.00,+00:19.66,00:11.47,true,941242,76561198222006144,[U:1:261740416],
2019-04-16,02:03.35,samuel,jump_moist_v2_fix,WR,MapRun,02:28.00,+00:24.65,,true,941242,76561198222006144,[U:1:261740416],
2019-04-16,01:56.80,samuel,jump_moist_v2_fix,WR,IRC,,-00:06.53,,false,941261,,,
2019-09-08,01:19.75,ุ,jump_moist_v2_fix,WR,Course 2,,-00:10.48,00:10.48,false,1053074,76561198222006144,[U:1:261740416],
2019-09-08,01:56.80,Detective Apples,jump_moist_v2_fix,WR,MapRun,12:45.61,+10:48.81,12:33.66,true,1053074,76561198165669347,[U:1:205403619],
2019-09-08,01:56.80,ghort,jump_moist_v2_fix,WR,MapRun,03:53.14,+01:56.34,,true,1053074,76561198396018338,[U:1:435752610],
2019-09-08,01:56.80,ghort,jump_moist_v2_fix,WR,MapRun,05:42.71,+03:45.91,,true,1053074,76561198396018338,[U:1:435752610],
2019-12-13,01:56.80,NOOOOOOOOOOOOOOO,jump_moist_v2_fix,WR,Ranked,,,,true,1123378,,,
2019-12-13,01:56.81,NOOOOOOOOOOOOOOO,jump_moist_v2_fix,WR,MapRun,04:06.42,+02:09.61,,true,1123378,,,
2019-12-13,01:56.81,c'est bon,jump_moist_v2_fix,WR,MapRun,3:58:35.94,+3:56:39.13,,true,1123378,76561198299748784,[U:1:339483056],
2019-12-13,01:56.81,jtravs,jump_moist_v2_fix,WR,MapRun,02:40.74,+00:43.93,00:58.93,true,1123378,76561198117262056,[U:1:156996328],
2019-12-13,01:56.81,jtravs,jump_moist_v2_fix,WR,MapRun,03:39.67,+01:42.86,00:32.59,true,1123378,76561198117262056,[U:1:156996328],
2019-12-25,00:17.81,super song -cg,jump_moist_v2_fix,WR,Course 1,,-00:00.44,00:00.50,false,1132181,76561198210286877,[U:1:250021149],
2019-12-25,00:17.55,stratman,jump_moist_v2_fix,WR,Course 1,,-00:00.26,00:00.71,false,1132234,76561198366368448,[U:1:406102720],
2019-12-25,01:56.80,santa tell me,jump_moist_v2_fix,WR,Compact,,,,false,1132234,,,
2020-01-14,00:17.41,song -cg,jump_moist_v2_fix,WR,Course 1,,-00:00.13,00:00.40,false,1148406,76561198210286877,[U:1:250021149],
2020-02-03,01:56.81,chiyo,jump_moist_v2_fix,WR,MapRun,02:06.55,+00:09.74,00:19.84,true,1164790,76561198046582124,[U:1:86316396],
