date,record_time,player,map,record_type,segment,evidence,evidence_source,run_time,split,improvement,demo_id,steam_id64,steam_id,steam_candidates
2021-07-09,00:02.25,goofylight041,jump_naught_v3,WR,Bonus 6,record,zone_record,,-00:00.40,00:01.08,1634073,76561198204967912,[U:1:244702184],
2021-07-09,00:10.89,phancy,jump_naught_v3,WR,Bonus 3,record,zone_first,,,,1634073,76561198116189732,[U:1:155924004],
2021-07-09,00:03.12,phancy,jump_naught_v3,WR,Bonus 4,record,zone_record,,-00:00.09,00:00.16,1634073,76561198116189732,[U:1:155924004],
2021-07-09,00:02.08,goofylight041,jump_naught_v3,WR,Bonus 6,record,zone_record,,-00:00.16,00:00.16,1634073,76561198204967912,[U:1:244702184],
2021-07-09,00:01.36,phancy,jump_naught_v3,WR,Bonus 5,record,zone_record,,-00:02.56,,1634073,76561198116189732,[U:1:155924004],
2021-07-09,00:36.75,goofylight041,jump_naught_v3,WR,Bonus 2,record,zone_first,,,,1634073,76561198204967912,[U:1:244702184],
2021-07-09,00:16.77,phancy,jump_naught_v3,WR,Bonus 2,record,zone_record,,-00:19.98,,1634073,76561198116189732,[U:1:155924004],
2021-07-09,04:38.55,phancy,jump_naught_v3,WR,Course 1,record,zone_first,,,,1634073,76561198116189732,[U:1:155924004],
2021-07-09,03:20.70,Waldo,jump_naught_v3,WR,Course 1,record,zone_record,,-00:01.54,00:01.54,1634121,76561198020256631,[U:1:59990903],
2021-07-09,08:41.86,Waldo,jump_naught_v3,WR,Course 2,record,zone_first,,,,1634121,76561198020256631,[U:1:59990903],
2021-07-09,12:18.75,Waldo,jump_naught_v3,WR,Map,record,first_record,,,,1634121,76561198020256631,[U:1:59990903],
2021-07-09,00:16.53,Waldo,jump_naught_v3,WR,Bonus 2,record,zone_record,,-00:00.24,,1634121,76561198020256631,[U:1:59990903],
2021-07-09,00:03.75,Waldo,jump_naught_v3,WR,Bonus 3,record,zone_record,,-00:00.81,00:00.81,1634121,76561198020256631,[U:1:59990903],
2021-07-09,00:02.91,Waldo,jump_naught_v3,WR,Bonus 4,record,zone_record,,-00:00.84,00:00.84,1634121,76561198020256631,[U:1:59990903],
2021-07-09,00:01.09,Waldo,jump_naught_v3,WR,Bonus 5,record,zone_record,,-00:00.79,00:00.79,1634121,76561198020256631,[U:1:59990903],
2021-07-09,00:00.43,Waldo,jump_naught_v3,WR,Bonus 5,record,zone_record,,-00:00.66,00:00.66,1634121,76561198020256631,[U:1:59990903],
2021-07-09,00:01.81,Waldo,jump_naught_v3,WR,Bonus 6,record,zone_record,,-00:00.21,00:00.21,1634121,76561198020256631,[U:1:59990903],
2021-07-09,00:01.74,Waldo,jump_naught_v3,WR,Bonus 6,record,zone_record,,-00:00.07,00:00.07,1634121,76561198020256631,[U:1:59990903],
2021-07-10,02:56.64,phancy,jump_naught_v3,WR,Course 1,record,zone_record,,-00:24.06,00:33.21,1634150,76561198116189732,[U:1:155924004],
2021-07-10,04:35.86,phancy,jump_naught_v3,WR,Course 2,record,zone_record,,-04:06.00,04:46.39,1634150,76561198116189732,[U:1:155924004],
2021-07-10,07:39.03,phancy,jump_naught_v3,WR,Map,record,map_record,,-04:39.72,05:20.64,1634150,76561198116189732,[U:1:155924004],
2021-07-10,02:53.94,Waldo,jump_naught_v3,WR,Course 1,record,zone_record,,-00:26.76,00:26.76,1634170,76561198020256631,[U:1:59990903],
2021-07-10,02:40.03,Waldo,jump_naught_v3,WR,Course 1,record,zone_record,,-00:13.90,00:13.90,1634170,76561198020256631,[U:1:59990903],
2021-07-10,02:28.51,Waldo,jump_naught_v3,WR,Course 1,record,zone_record,,-00:11.52,00:11.52,1634170,76561198020256631,[U:1:59990903],
2021-07-10,04:03.63,Waldo,jump_naught_v3,WR,Course 2,record,zone_record,,-00:50.32,00:50.32,1634170,76561198020256631,[U:1:59990903],
2021-07-10,06:36.45,Waldo,jump_naught_v3,WR,Map,record,map_record,,-01:06.39,01:06.39,1634170,76561198020256631,[U:1:59990903],
2021-07-10,00:00.37,Waldo,jump_naught_v3,WR,Bonus 5,record,zone_record,,-00:00.06,00:00.06,1634395,76561198020256631,[U:1:59990903],
2021-07-10,00:00.36,Waldo,jump_naught_v3,WR,Bonus 5,record,zone_record,,-00:00.01,00:00.01,1634395,76561198020256631,[U:1:59990903],
2021-07-10,00:00.34,Waldo,jump_naught_v3,WR,Bonus 5,record,zone_record,,-00:00.01,00:00.01,1634395,76561198020256631,[U:1:59990903],
2021-07-10,00:00.33,Waldo,jump_naught_v3,WR,Bonus 5,record,zone_record,,-00:00.01,00:00.01,1634395,76561198020256631,[U:1:59990903],
2021-07-10,00:00.31,Waldo,jump_naught_v3,WR,Bonus 5,record,zone_record,,-00:00.01,00:00.01,1634395,76561198020256631,[U:1:59990903],
2021-07-10,00:03.31,Waldo,jump_naught_v3,WR,Bonus 3,record,zone_record,,-00:00.43,00:00.43,1634395,76561198020256631,[U:1:59990903],
2021-07-10,00:02.85,Waldo,jump_naught_v3,WR,Bonus 4,record,zone_record,,-00:00.06,00:00.06,1634395,76561198020256631,[U:1:59990903],
2021-07-10,00:02.83,Waldo,jump_naught_v3,WR,Bonus 4,record,zone_record,,-00:00.01,00:00.01,1634395,76561198020256631,[U:1:59990903],
2021-07-10,00:02.79,Waldo,jump_naught_v3,WR,Bonus 4,record,zone_record,,-00:00.04,00:00.04,1634395,76561198020256631,[U:1:59990903],
2021-07-10,00:02.74,Waldo,jump_naught_v3,WR,Bonus 4,record,zone_record,,-00:00.04,00:00.04,1634395,76561198020256631,[U:1:59990903],
2021-07-10,00:15.43,goofylight041,jump_naught_v3,WR,Bonus 2,record,zone_record,,-00:01.09,00:21.31,1634451,76561198204967912,[U:1:244702184],
2021-07-10,00:01.60,cander,jump_naught_v3,WR,Bonus 6,record,zone_record,,-00:00.01,00:00.01,1634764,76561198318722879,[U:1:358457151],
