date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id,steam_candidates
2019-12-28,00:22.75,tomato tom,jump_nbn_b4b_redo_a1,WR,Bonus 1,,-00:06.31,00:13.17,false,1134514,76561198120374593,[U:1:160108865],
2019-12-28,00:29.06,G59 FTP,jump_nbn_b4b_redo_a1,WR,Bonus 1,,,,false,1134514,76561198152618680,[U:1:192352952],
2019-12-28,00:41.91,G59 FTP,jump_nbn_b4b_redo_a1,WR,Bonus 1 First,,,,false,1134514,76561198152618680,[U:1:192352952],
2020-04-25,08:31.70,Boshy,jump_nbn_b4b_redo_a1,WR,Compact,,,,false,1234548,,,
2020-04-25,05:53.62,Boshy,jump_nbn_b4b_redo_a1,WR,Course 2,,-00:21.03,00:41.15,false,1234653,76561198046601398,[U:1:86335670],
2020-04-25,08:31.70,Boshy,jump_nbn_b4b_redo_a1,WR,Compact,,,,false,1234653,76561198046601398,[U:1:86335670],
2020-05-06,01:14.50,Boshy,jump_nbn_b4b_redo_a1,WR,Course 1,,-00:01.15,00:01.15,false,1243371,76561198046601398,[U:1:86335670],
2020-05-06,07:52.19,Boshy,jump_nbn_b4b_redo_a1,WR,MapRecord,,-00:39.51,00:39.51,false,1243371,76561198046601398,[U:1:86335670],
2020-05-06,08:31.70,Boshy,jump_nbn_b4b_redo_a1,WR,Compact,,,,false,1243371,76561198046601398,[U:1:86335670],
2021-09-21,00:15.00,IV,jump_nbn_b4b_redo_a1,WR,Bonus 1,,-00:00.68,00:01.15,false,1708547,76561198036170813,[U:1:75905085],
2021-10-21,07:46.75,t.tv/rachellotf,jump_nbn_b4b_redo_a1,WR,IRC,,-00:05.44,,false,1740253,,,
2021-10-21,01:09.88,t.tv/rachellotf,jump_nbn_b4b_redo_a1,WR,Course 1,,-00:00.03,00:00.03,false,1740338,,,
2021-10-21,01:09.91,Rachello,jump_nbn_b4b_redo_a1,WR,Course 1,,-00:00.22,00:00.22,false,1740338,76561198815853361,[U:1:855587633],
2021-10-21,01:10.14,Rachello,jump_nbn_b4b_redo_a1,WR,Course 1,,-00:04.36,00:11.62,false,1740338,76561198815853361,[U:1:855587633],
2021-10-21,05:41.67,t.tv/rachellotf,jump_nbn_b4b_redo_a1,WR,Course 2,,-00:11.95,00:17.53,false,1740338,,,
2021-10-21,07:46.75,t.tv/rachellotf,jump_nbn_b4b_redo_a1,WR,MapRecord,,-00:05.44,00:32.37,false,1740338,,,
2021-10-21,07:46.75,Rachello,jump_nbn_b4b_redo_a1,WR,Compact,,,,false,1740338,76561198815853361,[U:1:855587633],
