date,record_time,player,map,record_type,segment,evidence,evidence_source,run_time,split,improvement,demo_id,steam_id64,steam_id,steam_candidates
2018-06-10,41:15.01,resistance is fu,jump_nebuchadnezzar_final,WR,Map,announcement,irc_set,,,,,,,
2018-06-10,05:08.50,JORBAN,jump_nebuchadnezzar_final,WR,Map,record,map_record,,-36:06.51,,674409,76561198033727092,[U:1:73461364],
2018-06-10,04:57.70,POSTMODERNISTS F,jump_nebuchadnezzar_final,WR,Map,announcement,irc,,-00:10.79,,,,,
2018-06-10,04:20.79,POSTMODERNISTS F,jump_nebuchadnezzar_final,WR,Map,announcement,irc,,-00:36.91,,,,,
2018-06-10,04:04.41,POSTMODERNISTS F,jump_nebuchadnezzar_final,WR,Map,announcement,irc,,-00:16.37,,,,,
2018-06-10,03:55.36,POSTMODERNISTS F,jump_nebuchadnezzar_final,WR,Map,announcement,irc,,-00:09.04,,,,,
2018-06-11,03:40.75,kaptain,jump_nebuchadnezzar_final,WR,Map,announcement,irc,,-00:14.61,,,76561198033727092,[U:1:73461364],
2018-06-12,03:33.90,iTac | bg5.tf,jump_nebuchadnezzar_final,WR,Map,command,wr_command,,,,,76561198108602947,[U:1:148337219],
2018-06-15,03:28.96,kaptain,jump_nebuchadnezzar_final,WR,Map,announcement,irc,,-00:04.93,,,76561198033727092,[U:1:73461364],
2018-06-15,03:24.90,kaptain,jump_nebuchadnezzar_final,WR,Map,announcement,irc,,-00:04.06,,,76561198033727092,[U:1:73461364],
2018-06-16,03:17.98,kaptain,jump_nebuchadnezzar_final,WR,Map,record,map_record,,-00:06.91,00:06.91,679894,76561198033727092,[U:1:73461364],
2018-06-17,03:15.27,kaptain,jump_nebuchadnezzar_final,WR,Map,announcement,irc,,-00:02.71,,,76561198033727092,[U:1:73461364],
2018-06-18,02:57.13,kaptain,jump_nebuchadnezzar_final,WR,Map,record,map_record,,-00:18.13,00:18.13,682031,76561198033727092,[U:1:73461364],
2018-07-03,02:49.54,iTac,jump_nebuchadnezzar_final,WR,Map,command,wr_command,,,,,76561198108602947,[U:1:148337219],
2018-07-04,02:44.20,iiiiiiiiiiiiiiii,jump_nebuchadnezzar_final,WR,Map,announcement,irc,,-00:05.34,,,,,
2018-07-04,02:42.10,iiiiiiiiiiiiiiii,jump_nebuchadnezzar_final,WR,Map,record,map_record,,-00:02.09,00:02.09,696813,,,
2018-07-05,02:41.02,FastFox73,jump_nebuchadnezzar_final,WR,Map,record,map_record,,-00:01.07,00:17.95,697423,76561198046601398,[U:1:86335670],
2018-07-06,02:25.18,FastFox73,jump_nebuchadnezzar_final,WR,Map,announcement,irc,,-00:15.84,,,76561198046601398,[U:1:86335670],
2023-07-29,02:20.25,spidda,jump_nebuchadnezzar_final,WR,Map,record,map_record,,-00:05.29,00:05.29,2428333,76561198057436685,[U:1:97170957],
2025-04-21,02:16.76,spidda,jump_nebuchadnezzar_final,WR,Map,announcement,irc,,-00:03.50,,,,,
2025-04-22,02:13.62,spidda,jump_nebuchadnezzar_final,WR,Map,announcement,irc,,-00:03.14,,,76561198057436685,[U:1:97170957],
2025-04-24,02:12.00,nikita@gosuslugi,jump_nebuchadnezzar_final,WR,Map,announcement,irc,,-00:01.62,,,,,
2025-04-24,02:06.92,ccrap double,jump_nebuchadnezzar_final,WR,Map,announcement,irc,,-00:05.08,,,76561198057436685,[U:1:97170957],
2025-04-29,02:06.14,spidda,jump_nebuchadnezzar_final,WR,Map,announcement,irc,,-00:00.78,,,,,
2025-05-06,02:03.82,spidda,jump_nebuchadnezzar_final,WR,Map,announcement,irc,,-00:02.31,,,,,
2025-05-13,01:56.61,spidda,jump_nebuchadnezzar_final,WR,Map,announcement,irc,,-00:07.22,,,76561198057436685,[U:1:97170957],
2025-12-31,01:55.64,unknown,jump_nebuchadnezzar_final,WR,Map,observed,wr_split,,,,,,,
