date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id
2018-07-12,00:49.20,ᴳʸᴺ Charles,jump_nepal_rc4,WR,MapRun,02:05.41,+01:16.21,,true,703938,,
2018-07-12,00:48.19,Dark,jump_nepal_rc4,WR,MapRecord,,-00:00.29,00:01.43,false,703964,76561198198339378,[U:1:238073650]
2018-07-14,00:47.17,angious^,jump_nepal_rc4,WR,MapRun,00:50.56,+00:03.39,,true,705888,76561198048843088,[U:1:88577360]
2018-07-16,00:46.80,devil's advocate,jump_nepal_rc4,WR,MapRecord,,-00:00.37,00:01.03,false,707939,76561198366368448,[U:1:406102720]
2018-09-04,00:46.49,kater ツ,jump_nepal_rc4,WR,MapRecord,,-00:00.30,00:00.46,false,752140,76561198222006144,[U:1:261740416]
2018-09-06,00:45.15,vice,jump_nepal_rc4,WR,MapRecord,,-00:01.02,00:01.02,false,754139,76561198366368448,[U:1:406102720]
2019-08-08,00:44.84,rice cake,jump_nepal_rc4,WR,MapRecord,,-00:00.30,00:01.89,false,1029133,76561198318722879,[U:1:358457151]
2019-08-09,00:44.56,nemesis,jump_nepal_rc4,WR,IRC,,-00:00.28,,false,1029895,,
2019-08-09,00:43.54,nemesis,jump_nepal_rc4,WR,MapRecord,,-00:01.01,00:01.01,false,1029897,76561198366368448,[U:1:406102720]
2020-02-21,00:43.36,FUCK CHINA,jump_nepal_rc4,WR,MapRecord,,-00:00.18,,false,1178117,76561198210286877,[U:1:250021149]
2020-03-06,00:43.26,yuji,jump_nepal_rc4,WR,MapRecord,,-00:00.10,00:00.26,false,1189780,76561198318722879,[U:1:358457151]
2020-03-07,00:42.98,yuji,jump_nepal_rc4,WR,MapRecord,,-00:00.27,00:00.27,false,1190448,76561198318722879,[U:1:358457151]
2020-03-09,00:42.23,song,jump_nepal_rc4,WR,MapRecord,,-00:00.75,00:01.12,false,1191997,76561198210286877,[U:1:250021149]
2021-06-13,00:41.56,song,jump_nepal_rc4,WR,IRC,,-00:01.42,,false,1612101,,
