date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id,steam_candidates
2017-12-20,03:28.33,Larry,jump_neptune_rc1,WR,MapRun,04:31.97,+01:03.64,,true,530411,76561198060570011,[U:1:100304283],
2018-01-02,03:28.33,Boshy,jump_neptune_rc1,WR,Compact,,,,false,541921,76561198046601398,[U:1:86335670],
2019-01-27,00:02.73,Boshy,jump_neptune_rc1,WR,Bonus 1,,-00:00.19,00:00.24,false,877905,76561198046601398,[U:1:86335670],
2019-10-04,03:28.33,snow on mirrors,jump_neptune_rc1,WR,Compact,,,,false,1072753,,,
2020-05-18,03:13.25,twitch.tv/boshyt,jump_neptune_rc1,WR,IRC,,-00:09.51,,false,1253314,,,
2020-05-18,03:22.77,twitch.tv/boshyt,jump_neptune_rc1,WR,IRC,,-00:03.31,,false,1253314,,,
2020-05-18,03:26.08,tomato tom,jump_neptune_rc1,WR,MapRecord,,-00:02.24,00:14.92,false,1253314,76561198120374593,[U:1:160108865],
2020-05-18,03:13.25,twitch.tv/boshyt,jump_neptune_rc1,WR,MapRecord,,-00:09.51,00:09.51,false,1253358,,,
2020-05-18,03:22.77,twitch.tv/boshyt,jump_neptune_rc1,WR,MapRecord,,-00:03.31,00:04.42,false,1253358,,,
2021-03-26,03:13.26,Boshy,jump_neptune_rc1,WR,Compact,,,,false,1547153,,,
2021-03-26,03:13.26,Boshy,jump_neptune_rc1,WR,Compact,,,,false,1547153,,,
2022-10-17,03:11.04,frankenfig,jump_neptune_rc1,WR,MapRecord,,-00:02.22,00:02.64,false,2090184,76561198153842796,[U:1:193577068],
2023-07-22,03:06.39,fig,jump_neptune_rc1,WR,IRC,,-00:04.65,,false,2418782,,,
2023-07-23,03:06.39,fig,jump_neptune_rc1,WR,MapRecord,,-00:04.65,00:04.65,false,2418838,76561198153842796,[U:1:193577068],
2023-07-24,03:00.63,POSEIDON,jump_neptune_rc1,WR,IRC,,-00:05.76,,false,2421812,,,
2023-07-24,03:00.63,POSEIDON,jump_neptune_rc1,WR,MapRecord,,-00:05.76,00:05.76,false,2421945,,,
2024-12-19,03:00.63,fig,jump_neptune_rc1,WR,Compact,,,,false,3180013,,,
2025-02-13,00:02.73,Tritibellum,jump_neptune_rc1,WR,Bonus 1,,,,false,3264366,,,
2025-02-13,00:02.73,Tritibellum,jump_neptune_rc1,WR,Bonus 1,,,,false,3264366,,,
