date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id,steam_candidates
2025-12-06,02:25.59,Waldo,jump_neurotwister_a4,WR,IRC,,-03:58.48,,false,3667302,,,
2025-12-06,06:24.08,sniperxdkoks,jump_neurotwister_a4,WR,IRCSet,,,,false,3667302,76561198841101139,[U:1:880835411],
2025-12-06,06:24.08,sniperxdkoks,jump_neurotwister_a4,WR,IRCSet,,,,false,3667494,,,
2025-12-06,02:25.59,Waldo,jump_neurotwister_a4,WR,IRC,,-03:58.48,,false,3667528,76561198020256631,[U:1:59990903],
2025-12-06,06:24.08,sniperxdkoks,jump_neurotwister_a4,WR,IRCSet,,,,false,3667528,,,
2025-12-06,02:25.59,Waldo,jump_neurotwister_a4,WR,IRC,,-03:58.48,,false,3667519,,,
2025-12-06,06:24.08,sniperxdkoks,jump_neurotwister_a4,WR,IRCSet,,,,false,3667519,76561198841101139,[U:1:880835411],
2025-12-06,01:58.40,Fluffie,jump_neurotwister_a4,WR,Ranked,,,,true,3667530,76561198028114870,[U:1:67849142],
2025-12-06,02:25.59,Waldo,jump_neurotwister_a4,WR,IRC,,-03:58.48,,false,3667530,,,
2025-12-06,02:25.59,Fluffie,jump_neurotwister_a4,WR,MapRun,04:37.08,+02:11.49,,true,3667530,76561198028114870,[U:1:67849142],
2025-12-06,06:24.08,sniperxdkoks,jump_neurotwister_a4,WR,IRCSet,,,,false,3667530,,,
2025-12-06,02:25.59,Waldo,jump_neurotwister_a4,WR,IRC,,-03:58.48,,false,3667526,,,
2025-12-06,06:24.08,sniperxdkoks,jump_neurotwister_a4,WR,IRCSet,,,,false,3667526,,,
2025-12-06,02:25.59,Waldo,jump_neurotwister_a4,WR,IRC,,-03:58.48,,false,3667485,,,
2025-12-06,06:24.08,sniperxdkoks,jump_neurotwister_a4,WR,IRCSet,,,,false,3667485,,,
2025-12-06,02:25.59,Waldo,jump_neurotwister_a4,WR,IRC,,-03:58.48,,false,3667541,,,
2025-12-06,06:24.08,sniperxdkoks,jump_neurotwister_a4,WR,IRCSet,,,,false,3667541,,,
2025-12-06,06:24.08,sniperxdkoks,jump_neurotwister_a4,WR,IRCSet,,,,false,3667458,,,
2025-12-06,06:24.08,sniperxdkoks,jump_neurotwister_a4,WR,IRCSet,,,,false,3667592,,,
2025-12-06,02:25.59,Waldo,jump_neurotwister_a4,WR,IRC,,-03:58.48,,false,3667513,,,
2025-12-06,06:24.08,sniperxdkoks,jump_neurotwister_a4,WR,IRCSet,,,,false,3667513,,,
2025-12-06,02:25.59,Waldo,jump_neurotwister_a4,WR,IRC,,-03:58.48,,false,3667609,,,
2025-12-06,06:24.08,sniperxdkoks,jump_neurotwister_a4,WR,IRCSet,,,,false,3667609,,,
2025-12-06,06:24.08,sniperxdkoks,jump_neurotwister_a4,WR,IRCSet,,,,false,3667610,,,
2025-12-06,06:24.08,sniperxdkoks,jump_neurotwister_a4,WR,IRCSet,,,,false,3667619,,,
2025-12-06,06:24.08,sniperxdkoks,jump_neurotwister_a4,WR,IRCSet,,,,false,3667582,,,
2025-12-06,02:25.59,Waldo,jump_neurotwister_a4,WR,IRC,,-03:58.48,,false,3667623,76561198020256631,[U:1:59990903],
2025-12-06,06:24.08,sniperxdkoks,jump_neurotwister_a4,WR,IRCSet,,,,false,3667613,,,
2025-12-06,02:25.59,Waldo,jump_neurotwister_a4,WR,MapRecord,,-03:58.48,,false,3667632,76561198020256631,[U:1:59990903],
2025-12-06,02:25.59,Waldo,jump_neurotwister_a4,WR,IRC,,-03:58.48,,false,3667627,,,
2025-12-06,02:25.59,Waldo,jump_neurotwister_a4,WR,IRC,,-03:58.48,,false,3667621,,,
2025-12-06,02:25.59,Waldo,jump_neurotwister_a4,WR,IRC,,-03:58.48,,false,3667624,,,
2025-12-06,00:56.58,Farma,jump_neurotwister_a4,WR,MapRecord,,-00:10.35,00:10.35,false,3667607,76561198124842300,[U:1:164576572],
2025-12-06,01:06.93,Farma,jump_neurotwister_a4,WR,MapRecord,,-00:06.66,00:06.66,false,3667607,76561198124842300,[U:1:164576572],
2025-12-06,01:13.59,Farma,jump_neurotwister_a4,WR,MapRecord,,-00:06.02,00:06.02,false,3667607,76561198124842300,[U:1:164576572],
2025-12-06,01:19.60,Farma,jump_neurotwister_a4,WR,MapRecord,,-00:04.17,00:37.98,false,3667607,76561198124842300,[U:1:164576572],
2025-12-06,01:23.77,Farma,jump_neurotwister_a4,WR,MapRun,01:57.58,+00:33.81,01:29.49,true,3667607,76561198124842300,[U:1:164576572],
2025-12-06,01:23.78,Farma,jump_neurotwister_a4,WR,MapRun,03:27.08,+02:03.30,,true,3667607,76561198124842300,[U:1:164576572],
2025-12-06,01:34.80,Ducky,jump_neurotwister_a4,WR,MapRun,11:40.11,+10:05.31,,true,3667607,76561198258396433,[U:1:298130705],
2025-12-06,01:58.39,Detective Fapp,jump_neurotwister_a4,WR,MapRun,08:40.30,+06:41.91,,true,3667607,76561198072139602,[U:1:111873874],
2025-12-06,02:25.59,Waldo,jump_neurotwister_a4,WR,IRC,,-03:58.48,,false,3667607,76561198020256631,[U:1:59990903],
2025-12-06,02:25.59,Waldo,jump_neurotwister_a4,WR,Ranked,,,,true,3667607,76561198020256631,[U:1:59990903],
2025-12-06,06:24.08,sniperxdkoks,jump_neurotwister_a4,WR,IRCSet,,,,false,3667607,,,
2025-12-06,02:25.59,Waldo,jump_neurotwister_a4,WR,IRC,,-03:58.48,,false,3667544,,,
2025-12-06,06:24.08,sniperxdkoks,jump_neurotwister_a4,WR,IRCSet,,,,false,3667544,,,
2025-12-06,02:25.59,Waldo,jump_neurotwister_a4,WR,IRC,,-03:58.48,,false,3667459,,,
2025-12-06,06:24.08,sniperxdkoks,jump_neurotwister_a4,WR,IRCSet,,,,false,3667459,,,
2025-12-06,02:25.59,Waldo,jump_neurotwister_a4,WR,IRC,,-03:58.48,,false,3667572,,,
2025-12-06,06:24.08,sniperxdkoks,jump_neurotwister_a4,WR,IRCSet,,,,false,3667572,,,
2025-12-07,02:25.59,Waldo,jump_neurotwister_a4,WR,Compact,,,,false,3667597,,,
2025-12-07,02:25.59,Waldo,jump_neurotwister_a4,WR,IRC,,-03:58.48,,false,3667597,,,
2025-12-07,06:24.08,sniperxdkoks,jump_neurotwister_a4,WR,FirstRecord,,,,false,3667597,76561198841101139,[U:1:880835411],
2025-12-07,02:25.59,Waldo,jump_neurotwister_a4,WR,IRC,,-03:58.48,,false,3667518,,,
2025-12-07,06:24.08,sniperxdkoks,jump_neurotwister_a4,WR,IRCSet,,,,false,3667518,,,
2025-12-07,02:25.59,Waldo,jump_neurotwister_a4,WR,IRC,,-03:58.48,,false,3667517,,,
2025-12-07,06:24.08,sniperxdkoks,jump_neurotwister_a4,WR,IRCSet,,,,false,3667517,,,
2025-12-07,02:25.59,Waldo,jump_neurotwister_a4,WR,IRC,,-03:58.48,,false,3667637,,,
2025-12-07,01:55.34,sammy -rng,jump_neurotwister_a4,WR,MapRun,03:51.30,+01:55.96,,true,3667697,76561199001307670,[U:1:1041041942],
2025-12-07,01:13.59,Farma,jump_neurotwister_a4,WR,IRC,,-00:06.02,,false,3667672,,,
2025-12-07,01:19.60,Farma,jump_neurotwister_a4,WR,IRC,,-00:04.17,,false,3667672,,,
2025-12-07,00:56.58,Farma,jump_neurotwister_a4,WR,IRC,,-00:10.35,,false,3667667,,,
2025-12-07,01:06.93,Farma,jump_neurotwister_a4,WR,IRC,,-00:06.66,,false,3667667,,,
2025-12-07,01:13.59,Farma,jump_neurotwister_a4,WR,IRC,,-00:06.02,,false,3667667,,,
2025-12-07,01:19.60,Farma,jump_neurotwister_a4,WR,IRC,,-00:04.17,,false,3667667,,,
2025-12-07,01:55.34,Fireball7d7,jump_neurotwister_a4,WR,MapRun,04:45.92,+02:50.58,,true,3667667,76561198087251749,[U:1:126986021],
2025-12-07,01:58.39,GoFigglo,jump_neurotwister_a4,WR,MapRun,12:01.96,+10:03.57,,true,3667667,76561198079322509,[U:1:119056781],
2025-12-07,01:13.59,Farma,jump_neurotwister_a4,WR,IRC,,-00:06.02,,false,3667616,,,
2025-12-07,01:19.60,Farma,jump_neurotwister_a4,WR,IRC,,-00:04.17,,false,3667616,,,
2025-12-07,02:25.59,Waldo,jump_neurotwister_a4,WR,IRC,,-03:58.48,,false,3667616,,,
2025-12-07,06:24.08,sniperxdkoks,jump_neurotwister_a4,WR,IRCSet,,,,false,3667616,,,
2025-12-07,01:34.80,ShadowOfLight,jump_neurotwister_a4,WR,MapRun,11:59.64,+10:24.84,,true,3667724,76561198135648105,[U:1:175382377],
2025-12-07,01:06.93,Farma,jump_neurotwister_a4,WR,IRC,,-00:06.66,,false,3667745,,,
2025-12-07,01:13.59,Farma,jump_neurotwister_a4,WR,IRC,,-00:06.02,,false,3667745,,,
2025-12-07,01:19.60,Farma,jump_neurotwister_a4,WR,IRC,,-00:04.17,,false,3667745,,,
2025-12-07,01:19.60,Farma,jump_neurotwister_a4,WR,IRC,,-00:04.17,,false,3667748,,,
2025-12-07,00:56.58,Farma,jump_neurotwister_a4,WR,IRC,,-00:10.35,,false,3667725,,,
2025-12-07,01:06.93,Farma,jump_neurotwister_a4,WR,IRC,,-00:06.66,,false,3667725,,,
2025-12-07,01:13.59,Farma,jump_neurotwister_a4,WR,IRC,,-00:06.02,,false,3667725,,,
2025-12-07,01:19.60,Farma,jump_neurotwister_a4,WR,IRC,,-00:04.17,,false,3667725,,,
2025-12-07,01:19.60,Farma,jump_neurotwister_a4,WR,IRC,,-00:04.17,,false,3667540,,,
2025-12-07,02:25.59,Waldo,jump_neurotwister_a4,WR,IRC,,-03:58.48,,false,3667540,,,
2025-12-07,06:24.08,sniperxdkoks,jump_neurotwister_a4,WR,IRCSet,,,,false,3667540,76561198841101139,[U:1:880835411],
2025-12-07,01:19.60,Farma,jump_neurotwister_a4,WR,IRC,,-00:04.17,,false,3667749,,,
2025-12-07,01:19.60,Farma,jump_neurotwister_a4,WR,IRC,,-00:04.17,,false,3667735,,,
2025-12-07,01:19.60,Farma,jump_neurotwister_a4,WR,IRC,,-00:04.17,,false,3667763,,,
2025-12-07,01:19.60,Farma,jump_neurotwister_a4,WR,IRC,,-00:04.17,,false,3667747,,,
2025-12-07,00:56.58,Farma,jump_neurotwister_a4,WR,IRC,,-00:10.35,,false,3667760,,,
2025-12-07,01:06.93,Farma,jump_neurotwister_a4,WR,IRC,,-00:06.66,,false,3667760,,,
2025-12-07,01:13.59,Farma,jump_neurotwister_a4,WR,IRC,,-00:06.02,,false,3667760,,,
2025-12-07,01:19.60,Farma,jump_neurotwister_a4,WR,IRC,,-00:04.17,,false,3667760,,,
2025-12-07,01:19.60,abraham lincoln,jump_neurotwister_a4,WR,MapRun,02:10.92,+00:51.32,01:27.28,true,3667760,,,
2025-12-07,01:19.60,abraham lincoln,jump_neurotwister_a4,WR,MapRun,04:55.84,+03:36.24,,true,3667760,,,
2025-12-07,01:23.77,abraham lincoln,jump_neurotwister_a4,WR,MapRun,03:38.20,+02:14.43,,true,3667760,,,
2025-12-07,01:13.59,Farma,jump_neurotwister_a4,WR,IRC,,-00:06.02,,false,3667771,,,
2025-12-07,01:06.93,Farma,jump_neurotwister_a4,WR,IRC,,-00:06.66,,false,3667799,,,
2025-12-07,00:56.58,Farma,jump_neurotwister_a4,WR,IRC,,-00:10.35,,false,3667767,,,
2025-12-07,01:06.93,Farma,jump_neurotwister_a4,WR,IRC,,-00:06.66,,false,3667767,,,
2025-12-07,01:13.59,Farma,jump_neurotwister_a4,WR,IRC,,-00:06.02,,false,3667767,,,
2025-12-07,00:56.58,Farma,jump_neurotwister_a4,WR,IRC,,-00:10.35,,false,3667790,,,
