date,record_time,player,map,record_type,segment,evidence,evidence_source,run_time,split,improvement,demo_id,steam_id64,steam_id,steam_candidates
2017-12-28,25:43.45,Mac,jump_ninjacookie_final,WR,Map,record,first_record,,,,537750,76561198001371660,[U:1:41105932],
2017-12-28,11:11.47,TiLoM,jump_ninjacookie_final,WR,Map,record,map_record,,-27:54.55,27:54.55,537750,76561198160964111,[U:1:200698383],
2017-12-28,10:24.80,maxxy,jump_ninjacookie_final,WR,Map,record,map_record,,-00:46.66,03:17.46,537750,76561198083235528,[U:1:122969800],
2017-12-28,07:44.77,maxxy,jump_ninjacookie_final,WR,Map,record,map_record,,-00:20.79,02:40.03,537750,76561198083235528,[U:1:122969800],
2017-12-28,05:16.30,Santa Chuck,jump_ninjacookie_final,WR,Map,record,map_record,,-02:28.46,05:30.32,537757,76561198064467753,[U:1:104202025],
2017-12-29,04:21.55,Ninja Cookie,jump_ninjacookie_final,WR,Map,record,map_record,,-00:54.75,,538194,76561197961575317,[U:1:1309589],
2017-12-29,04:11.71,Ninja Cookie,jump_ninjacookie_final,WR,Map,record,map_record,,-00:09.83,00:09.83,538194,76561197961575317,[U:1:1309589],
2017-12-29,03:33.20,Ninja Cookie,jump_ninjacookie_final,WR,Map,record,map_record,,-00:38.50,00:38.50,538194,76561197961575317,[U:1:1309589],
2018-04-06,03:27.59,kidder,jump_ninjacookie_final,WR,Map,record,map_record,,-00:05.60,00:12.43,618240,76561198000949987,[U:1:40684259],
2018-10-09,03:26.00,LJ,jump_ninjacookie_final,WR,Map,record,map_record,,-00:12.12,00:12.12,784316,76561198043956413,[U:1:83690685],
2019-04-19,03:15.79,LJ,jump_ninjacookie_final,WR,Map,record,map_record,,-00:10.21,00:10.21,943817,76561198043956413,[U:1:83690685],
2019-06-25,03:12.58,Xtral,jump_ninjacookie_final,WR,Map,record,map_record,,-00:25.32,00:25.32,994686,76561198080496461,[U:1:120230733],
2019-06-26,03:00.10,LJ,jump_ninjacookie_final,WR,Map,record,map_record,,-00:15.69,00:15.69,995613,76561198043956413,[U:1:83690685],
2019-10-23,02:54.64,vamptear,jump_ninjacookie_final,WR,Map,record,map_record,,-00:05.45,03:47.32,1087625,76561198066947056,[U:1:106681328],
2019-10-27,02:48.05,LJ,jump_ninjacookie_final,WR,Map,record,map_record,,-00:06.58,00:12.04,1090685,76561198043956413,[U:1:83690685],
2021-08-01,02:47.83,lily,jump_ninjacookie_final,WR,Map,record,map_record,,-00:00.22,00:13.86,1654079,76561198304963161,[U:1:344697433],
2023-02-06,02:45.99,lily,jump_ninjacookie_final,WR,Map,record,map_record,,-00:01.84,00:01.84,2206221,76561198304963161,[U:1:344697433],
2023-02-17,02:43.29,lily,jump_ninjacookie_final,WR,Map,record,map_record,,-00:02.70,00:02.70,2217180,76561198304963161,[U:1:344697433],
2023-04-28,02:41.19,lily,jump_ninjacookie_final,WR,Map,record,map_record,,-00:02.10,00:02.10,2295639,76561198304963161,[U:1:344697433],
2023-04-28,02:38.35,lily,jump_ninjacookie_final,WR,Map,record,map_record,,-00:02.83,00:02.83,2295639,76561198304963161,[U:1:344697433],
2023-06-06,02:34.21,lily,jump_ninjacookie_final,WR,Map,record,map_record,,-00:04.14,00:04.14,2352313,76561198304963161,[U:1:344697433],
2023-11-25,02:31.78,lily,jump_ninjacookie_final,WR,Map,record,map_record,,-00:02.43,00:02.43,2608530,76561198304963161,[U:1:344697433],
2024-06-23,02:23.67,lily,jump_ninjacookie_final,WR,Map,record,map_record,,-00:08.11,00:08.11,2917473,76561198304963161,[U:1:344697433],
