date,record_time,player,map,record_type,segment,evidence,evidence_source,run_time,split,improvement,demo_id,steam_id64,steam_id,steam_candidates
2020-12-12,10:40.84,Elandi!! cheese,jump_nysel_final2,WR,Map,record,first_record,,,,1445127,,,
2020-12-12,00:11.43,Elandi!! cheese,jump_nysel_final2,WR,Bonus 1,record,zone_first,,,,1445127,,,
2020-12-12,03:22.44,rintincan,jump_nysel_final2,WR,Map,record,map_record,,-07:18.40,,1445127,76561198124772544,[U:1:164506816],
2020-12-12,03:18.12,rintincan,jump_nysel_final2,WR,Map,record,map_record,,-00:04.32,00:04.32,1445127,76561198124772544,[U:1:164506816],
2020-12-12,02:34.51,rintincan,jump_nysel_final2,WR,Map,record,map_record,,-00:43.60,00:43.60,1445127,76561198124772544,[U:1:164506816],
2020-12-13,00:10.93,maxxy,jump_nysel_final2,WR,Bonus 1,record,zone_record,,-00:00.49,00:00.60,1445155,76561198083235528,[U:1:122969800],
2020-12-13,00:10.86,sgt Bytheway,jump_nysel_final2,WR,Bonus 1,record,zone_record,,-00:00.69,00:00.69,1445155,76561198094169965,[U:1:133904237],
2020-12-13,00:10.51,Holy Meem,jump_nysel_final2,WR,Bonus 1,record,zone_record,,-00:00.64,00:00.64,1445155,76561198065422550,[U:1:105156822],
2020-12-13,00:10.39,Holy Meem,jump_nysel_final2,WR,Bonus 1,record,zone_record,,-00:00.12,00:00.12,1445155,76561198065422550,[U:1:105156822],
2020-12-13,00:10.30,Holy Meem,jump_nysel_final2,WR,Bonus 1,record,zone_record,,-00:00.09,00:00.09,1445155,76561198065422550,[U:1:105156822],
2020-12-13,00:10.26,Holy Meem,jump_nysel_final2,WR,Bonus 1,record,zone_record,,-00:00.04,00:00.04,1445155,76561198065422550,[U:1:105156822],
2020-12-13,00:10.17,sgt Bytheway,jump_nysel_final2,WR,Bonus 1,record,zone_record,,-00:00.13,00:00.13,1445155,76561198094169965,[U:1:133904237],
2020-12-13,00:10.15,sgt Bytheway,jump_nysel_final2,WR,Bonus 1,record,zone_record,,-00:00.01,00:00.01,1445155,76561198094169965,[U:1:133904237],
2020-12-13,00:10.14,sgt Bytheway,jump_nysel_final2,WR,Bonus 1,record,zone_record,,-00:00.01,00:00.01,1445155,76561198094169965,[U:1:133904237],
2020-12-13,00:09.88,sgt Bytheway,jump_nysel_final2,WR,Bonus 1,record,zone_record,,-00:00.25,00:00.25,1445155,76561198094169965,[U:1:133904237],
2020-12-13,00:09.78,sgt Bytheway,jump_nysel_final2,WR,Bonus 1,record,zone_record,,-00:00.10,00:00.10,1445155,76561198094169965,[U:1:133904237],
2020-12-13,00:09.73,sgt Bytheway,jump_nysel_final2,WR,Bonus 1,record,zone_record,,-00:00.04,00:00.04,1445155,76561198094169965,[U:1:133904237],
2020-12-13,00:09.60,Ltfx,jump_nysel_final2,WR,Bonus 1,record,zone_record,,-00:00.82,00:00.82,1445155,76561198051610309,[U:1:91344581],
2020-12-13,00:09.45,Ltfx,jump_nysel_final2,WR,Bonus 1,record,zone_record,,-00:00.15,00:00.15,1445155,76561198051610309,[U:1:91344581],
2020-12-13,00:09.28,sgt Bytheway,jump_nysel_final2,WR,Bonus 1,record,zone_record,,-00:00.24,00:00.24,1445155,76561198094169965,[U:1:133904237],
2020-12-13,00:09.22,DenDro,jump_nysel_final2,WR,Bonus 1,record,zone_record,,-00:00.06,00:00.06,1445657,76561198126091800,[U:1:165826072],
2020-12-13,02:34.29,DenDro,jump_nysel_final2,WR,Map,record,map_record,,-00:00.22,00:23.61,1445657,76561198126091800,[U:1:165826072],
2020-12-13,02:23.92,DenDro,jump_nysel_final2,WR,Map,record,map_record,,-00:10.36,00:10.36,1445657,76561198126091800,[U:1:165826072],
2020-12-13,00:09.15,DenDro,jump_nysel_final2,WR,Bonus 1,record,zone_record,,-00:00.01,00:00.03,1445657,76561198126091800,[U:1:165826072],
2020-12-14,02:22.90,DenDro,jump_nysel_final2,WR,Map,record,map_record,,-00:01.02,00:01.02,1446352,76561198126091800,[U:1:165826072],
2020-12-15,02:22.66,DenDro,jump_nysel_final2,WR,Map,record,map_record,,-00:00.24,00:00.24,1447402,76561198126091800,[U:1:165826072],
2020-12-15,02:22.65,DenDro,jump_nysel_final2,WR,Map,record,map_record,,-00:00.01,00:00.01,1447402,76561198126091800,[U:1:165826072],
2020-12-15,02:07.98,DenDro,jump_nysel_final2,WR,Map,record,map_record,,-00:14.67,00:14.67,1447402,76561198126091800,[U:1:165826072],
2020-12-16,02:04.93,DenDro,jump_nysel_final2,WR,Map,record,map_record,,-00:03.04,00:03.04,1448503,76561198126091800,[U:1:165826072],
2020-12-19,02:03.88,DenDro,jump_nysel_final2,WR,Map,record,map_record,,-00:01.05,00:01.05,1451450,76561198126091800,[U:1:165826072],
2020-12-19,01:58.35,DenDro,jump_nysel_final2,WR,Map,record,map_record,,-00:05.53,00:05.53,1451450,76561198126091800,[U:1:165826072],
2020-12-19,00:09.13,DenDro,jump_nysel_final2,WR,Bonus 1,record,zone_record,,-00:00.01,00:00.01,1451836,76561198126091800,[U:1:165826072],
2020-12-19,00:09.09,DenDro,jump_nysel_final2,WR,Bonus 1,record,zone_record,,-00:00.04,00:00.04,1451836,76561198126091800,[U:1:165826072],
2020-12-19,00:09.06,DenDro,jump_nysel_final2,WR,Bonus 1,record,zone_record,,-00:00.03,00:00.03,1451836,76561198126091800,[U:1:165826072],
2020-12-19,00:08.98,DenDro,jump_nysel_final2,WR,Bonus 1,record,zone_record,,-00:00.07,00:00.07,1451836,76561198126091800,[U:1:165826072],
2021-06-18,00:08.92,DenDro,jump_nysel_final2,WR,Bonus 1,record,zone_record,,-00:00.01,00:00.03,1616613,76561198126091800,[U:1:165826072],
2022-03-23,00:08.86,Todaeri,jump_nysel_final2,WR,Bonus 1,record,zone_record,,-00:00.06,00:00.09,1895440,76561198210286877,[U:1:250021149],
2022-03-23,00:08.85,I Deaf & Blind,jump_nysel_final2,WR,Bonus 1,record,zone_record,,-00:00.01,00:00.01,1895566,76561198126091800,[U:1:165826072],
2023-03-21,01:56.26,Warped,jump_nysel_final2,WR,Map,record,map_record,,-00:05.02,00:05.02,2247731,76561197989916494,[U:1:29650766],
2023-04-10,01:54.79,Tupikas,jump_nysel_final2,WR,Map,record,map_record,,-00:06.31,00:06.31,2269077,76561198391066129,[U:1:430800401],
2023-06-16,00:08.83,うさぎ。,jump_nysel_final2,WR,Bonus 1,record,zone_record,,-00:00.01,00:00.03,2367264,76561198210286877,[U:1:250021149],
2024-02-28,01:51.13,belt,jump_nysel_final2,WR,Map,announcement,irc,,-00:03.66,,,,,
2024-04-12,00:08.82,garf,jump_nysel_final2,WR,Bonus 1,record,zone_record,,-00:00.01,00:00.03,2813891,76561199243400809,[U:1:1283135081],
2024-04-25,01:50.40,Tupikas,jump_nysel_final2,WR,Map,record,map_record,,-00:00.73,00:00.73,2831641,76561198391066129,[U:1:430800401],
2024-04-26,01:49.03,Tupikas,jump_nysel_final2,WR,Map,announcement,irc,,-00:01.36,,,,,
2024-04-28,01:45.81,Tupikas,jump_nysel_final2,WR,Map,record,map_record,,-00:03.22,00:03.22,2836461,76561198391066129,[U:1:430800401],
2024-05-12,00:08.79,garf,jump_nysel_final2,WR,Bonus 1,record,zone_record,,-00:00.03,00:00.03,2855962,76561199243400809,[U:1:1283135081],
2024-05-12,00:08.76,₍ᐢᐢ₎. us,jump_nysel_final2,WR,Bonus 1,record,zone_record,,-00:00.03,00:00.03,2856145,,,
2024-12-27,01:45.60,nikita@gosuslugi,jump_nysel_final2,WR,Map,record,map_record,,-00:02.92,00:02.92,3191904,,,
2025-04-21,00:08.73,nikita@gosuslugi,jump_nysel_final2,WR,Bonus 1,record,zone_record,,-00:00.03,00:00.04,3285397,,,
