date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id,steam_candidates
2025-04-26,03:37.78,sammy,jump_nyx,WR,MapRun,04:44.80,+01:07.02,,true,3292284,76561199001307670,[U:1:1041041942],
2025-04-26,04:01.05,Waldo,jump_nyx,WR,FirstRecord,,,,false,3292284,76561198020256631,[U:1:59990903],
2025-04-26,03:08.14,cander,jump_nyx,WR,MapRecord,,-00:29.64,,false,3292605,76561198318722879,[U:1:358457151],
2025-04-26,03:37.78,Exile,jump_nyx,WR,Compact,,,,false,3292605,,,
2025-04-26,03:08.14,cander,jump_nyx,WR,Compact,,,,false,3293004,,,
2025-04-26,02:59.25,Hubert,jump_nyx,WR,Ranked,,,,true,3293483,76561198019003403,[U:1:58737675],
2025-04-28,01:59.14,itsame,jump_nyx,WR,MapRun,07:23.44,+05:24.30,,true,3295559,76561198059284918,[U:1:99019190],
2025-04-28,01:59.14,cander,jump_nyx,WR,MapRecord,,-00:04.26,00:04.26,false,3295499,76561198318722879,[U:1:358457151],
2025-04-28,02:03.40,cander,jump_nyx,WR,MapRecord,,-00:11.43,00:11.43,false,3295499,76561198318722879,[U:1:358457151],
2025-04-28,02:14.84,cander,jump_nyx,WR,MapRecord,,-00:41.12,00:53.31,false,3295499,76561198318722879,[U:1:358457151],
2025-05-06,01:59.14,cander,jump_nyx,WR,Compact,,,,false,3308025,,,
2025-05-07,01:59.14,cander,jump_nyx,WR,Compact,,,,false,3309102,,,
2025-08-04,01:59.14,cander,jump_nyx,WR,Compact,,,,false,3435576,,,
