date,record_time,player,map,record_type,segment,evidence,evidence_source,run_time,split,improvement,demo_id,steam_id64,steam_id,steam_candidates
2018-10-22,02:16.51,879m,jump_oreotopolis_c6,WR,Map,record,map_record,,-00:02.17,00:06.89,796348,76561198043793220,[U:1:83527492],
2018-10-22,02:11.64,879m,jump_oreotopolis_c6,WR,Map,record,map_record,,-00:04.87,00:04.87,796397,76561198043793220,[U:1:83527492],
2018-10-22,02:08.59,879m,jump_oreotopolis_c6,WR,Map,record,map_record,,-00:03.04,00:03.04,796397,76561198043793220,[U:1:83527492],
2018-10-22,00:51.46,879m,jump_oreotopolis_c6,WR,Course 1,record,zone_record,,-00:00.25,00:00.84,796348,76561198043793220,[U:1:83527492],
2018-10-22,00:50.75,879m,jump_oreotopolis_c6,WR,Course 1,record,zone_record,,-00:00.70,00:00.70,796348,76561198043793220,[U:1:83527492],
2018-10-22,00:50.62,879m,jump_oreotopolis_c6,WR,Course 1,record,zone_record,,-00:00.13,00:00.13,796397,76561198043793220,[U:1:83527492],
2018-10-22,01:17.47,879m,jump_oreotopolis_c6,WR,Course 2,record,zone_record,,-00:01.90,00:03.32,796397,76561198043793220,[U:1:83527492],
2018-10-22,00:50.09,879m,jump_oreotopolis_c6,WR,Course 1,record,zone_record,,-00:00.52,00:00.52,796397,76561198043793220,[U:1:83527492],
2018-10-22,01:14.76,879m,jump_oreotopolis_c6,WR,Course 2,record,zone_record,,-00:02.71,00:02.71,796397,76561198043793220,[U:1:83527492],
2018-10-22,01:14.53,maxxy,jump_oreotopolis_c6,WR,Course 2,record,zone_record,,-00:00.22,00:00.39,796564,76561198083235528,[U:1:122969800],
2018-10-22,01:12.78,maxxy,jump_oreotopolis_c6,WR,Course 2,record,zone_record,,-00:01.75,00:01.75,796564,76561198083235528,[U:1:122969800],
2018-10-22,02:08.41,maxxy,jump_oreotopolis_c6,WR,Map,record,map_record,,-00:00.17,00:00.49,796564,76561198083235528,[U:1:122969800],
2018-10-22,01:12.45,maxxy,jump_oreotopolis_c6,WR,Course 2,record,zone_record,,-00:00.32,00:00.32,796564,76561198083235528,[U:1:122969800],
2018-10-22,02:07.00,maxxy,jump_oreotopolis_c6,WR,Map,record,map_record,,-00:01.41,00:01.41,796564,76561198083235528,[U:1:122969800],
2018-10-22,00:49.69,maxxy,jump_oreotopolis_c6,WR,Course 1,record,zone_record,,-00:00.19,00:00.32,796564,76561198083235528,[U:1:122969800],
2018-10-22,01:11.76,maxxy,jump_oreotopolis_c6,WR,Course 2,record,zone_record,,-00:00.13,00:00.13,796780,76561198083235528,[U:1:122969800],
2018-10-22,01:11.32,maxxy,jump_oreotopolis_c6,WR,Course 2,record,zone_record,,-00:00.43,00:00.43,796780,76561198083235528,[U:1:122969800],
2018-10-22,01:09.46,maxxy,jump_oreotopolis_c6,WR,Course 2,record,zone_record,,-00:01.85,00:01.85,796780,76561198083235528,[U:1:122969800],
2018-10-22,02:03.93,maxxy,jump_oreotopolis_c6,WR,Map,record,map_record,,-00:03.07,00:03.07,796780,76561198083235528,[U:1:122969800],
