date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id,steam_candidates
2018-10-23,02:03.56,Thriller,jump_oreotopolis_c7,WR,IRC,,-00:00.36,,false,797010,,,
2018-10-23,00:47.87,Thriller,jump_oreotopolis_c7,WR,Course 1,,-00:00.10,00:00.10,false,797014,76561198040963460,[U:1:80697732],
2018-10-23,00:47.98,Thriller,jump_oreotopolis_c7,WR,Course 1,,-00:01.26,00:01.26,false,797014,76561198040963460,[U:1:80697732],
2018-10-23,01:09.14,Thriller,jump_oreotopolis_c7,WR,Course 2,,-00:00.31,00:02.61,false,797014,76561198040963460,[U:1:80697732],
2018-10-23,02:03.56,Thriller,jump_oreotopolis_c7,WR,MapRecord,,-00:00.36,00:07.59,false,797014,76561198040963460,[U:1:80697732],
2018-10-23,02:03.57,Thriller,jump_oreotopolis_c7,WR,MapRun,02:16.46,+00:12.89,,true,797014,76561198040963460,[U:1:80697732],
2018-10-23,02:03.93,maxxy,jump_oreotopolis_c7,WR,Compact,,,,false,797014,,,
2018-10-23,02:03.93,maxxy,jump_oreotopolis_c7,WR,Compact,,,,false,797014,,,
2018-10-23,02:03.93,Thriller,jump_oreotopolis_c7,WR,MapRun,02:11.15,+00:07.22,01:11.98,true,797014,76561198040963460,[U:1:80697732],
2018-10-23,02:03.56,Thriller,jump_oreotopolis_c7,WR,IRC,,-00:00.36,,false,797028,76561198040963460,[U:1:80697732],
2018-10-23,02:02.58,maxxy,jump_oreotopolis_c7,WR,IRC,,-00:00.98,,false,797128,,,
2018-10-23,01:06.48,maxxy,jump_oreotopolis_c7,WR,Course 2,,-00:01.36,00:01.36,false,797232,76561198083235528,[U:1:122969800],
2018-10-23,01:07.84,maxxy,jump_oreotopolis_c7,WR,Course 2,,-00:01.15,00:01.15,false,797232,76561198083235528,[U:1:122969800],
2018-10-23,01:09.00,maxxy,jump_oreotopolis_c7,WR,Course 2,,-00:00.14,00:00.26,false,797232,76561198083235528,[U:1:122969800],
2018-10-23,02:02.36,maxxy,jump_oreotopolis_c7,WR,MapRecord,,-00:00.21,00:00.21,false,797232,76561198083235528,[U:1:122969800],
2018-10-23,02:02.36,maxxy,jump_oreotopolis_c7,WR,Compact,,,,false,797232,76561198083235528,[U:1:122969800],
2018-10-23,02:02.37,Chochy,jump_oreotopolis_c7,WR,MapRun,18:56.37,+16:54.00,,true,797232,76561198275783619,[U:1:315517891],
2018-10-23,02:02.37,moost,jump_oreotopolis_c7,WR,MapRun,06:23.47,+04:21.10,,true,797232,76561198073066447,[U:1:112800719],
2018-10-23,02:02.37,nicco,jump_oreotopolis_c7,WR,MapRun,08:45.82,+06:43.45,,true,797232,76561198046217866,[U:1:85952138],
2018-10-23,02:02.58,maxxy,jump_oreotopolis_c7,WR,MapRecord,,-00:00.98,00:01.34,false,797232,76561198083235528,[U:1:122969800],
2018-10-26,00:47.41,Soala,jump_oreotopolis_c7,WR,Course 1,,-00:00.19,00:00.19,false,799963,76561198058753054,[U:1:98487326],
2018-10-26,00:47.61,Soala,jump_oreotopolis_c7,WR,Course 1,,-00:00.13,00:00.13,false,799963,76561198058753054,[U:1:98487326],
2018-10-26,02:02.36,maxxy,jump_oreotopolis_c7,WR,Compact,,,,false,799963,76561198083235528,[U:1:122969800],
2018-10-26,02:02.36,twitch.tv/zike10,jump_oreotopolis_c7,WR,MapRun,02:29.93,+00:27.57,,true,799963,,,
2018-10-26,02:02.37,yeekyeek,jump_oreotopolis_c7,WR,MapRun,02:33.45,+00:31.08,,true,799963,76561198120630343,[U:1:160364615],
2018-10-27,01:05.80,maxxy,jump_oreotopolis_c7,WR,Course 2,,-00:00.37,00:00.67,false,800099,76561198083235528,[U:1:122969800],
2018-10-29,01:59.22,Thriller,jump_oreotopolis_c7,WR,IRC,,-00:03.14,,false,801930,76561198040963460,[U:1:80697732],
2018-10-29,01:59.22,Thriller,jump_oreotopolis_c7,WR,IRC,,-00:03.14,,false,801935,,,
2018-10-29,01:59.22,Thriller,jump_oreotopolis_c7,WR,MapRecord,,-00:03.14,00:03.23,false,801943,76561198040963460,[U:1:80697732],
2018-10-29,02:02.36,maxxy,jump_oreotopolis_c7,WR,Compact,,,,false,801943,,,
2018-10-29,01:59.22,Thriller,jump_oreotopolis_c7,WR,IRC,,-00:03.14,,false,801955,76561198040963460,[U:1:80697732],
2018-11-22,01:59.22,Diller,jump_oreotopolis_c7,WR,Compact,,,,false,822378,,,
2018-11-22,01:59.22,kapbpbpppbbbbper,jump_oreotopolis_c7,WR,MapRun,02:48.25,+00:49.03,01:12.52,true,822378,76561198058846478,[U:1:98580750],
2018-11-22,01:59.23,kapbpbpppbbbbper,jump_oreotopolis_c7,WR,MapRun,04:00.78,+02:01.55,,true,822378,76561198058846478,[U:1:98580750],
2019-04-15,01:59.22,Jesus,jump_oreotopolis_c7,WR,MapRun,06:40.41,+04:41.19,,true,940366,76561198920260899,[U:1:959995171],
2019-10-08,01:59.22,Zike1017 ツ -tt,jump_oreotopolis_c7,WR,MapRun,03:31.45,+01:32.23,,true,1075942,,,
2019-10-08,01:59.23,ΔMirageΔ,jump_oreotopolis_c7,WR,MapRun,04:56.73,+02:57.50,,true,1075942,76561198065967716,[U:1:105701988],
2019-10-09,01:59.22,Eros,jump_oreotopolis_c7,WR,MapRun,02:24.25,+00:25.03,00:28.79,true,1077306,76561198037106251,[U:1:76840523],
