date,record_time,player,map,record_type,segment,evidence,evidence_source,run_time,split,improvement,demo_id,steam_id64,steam_id,steam_candidates
2025-07-22,05:14.48,Banjo,jump_orient,WR,Map,record,first_record,,,,3416287,76561198004652853,[U:1:44387125],
2025-07-22,05:12.40,Goth,jump_orient,WR,Map,record,map_record,,-00:02.07,,3416284,76561198143568244,[U:1:183302516],
2025-07-22,03:24.16,Goth,jump_orient,WR,Map,record,map_record,,-01:48.24,01:48.24,3416284,76561198143568244,[U:1:183302516],
2025-07-22,00:01.89,Salty,jump_orient,WR,Bonus 1,record,zone_record,,-00:00.12,,3416639,76561198070497462,[U:1:110231734],
2025-07-22,02:34.05,hiei,jump_orient,WR,Map,command,rank_command,,,,,,,
2025-07-22,00:01.76,vice,jump_orient,WR,Bonus 1,record,zone_record,,-00:00.14,00:00.48,3416550,76561198366368448,[U:1:406102720],
2025-07-22,00:01.60,vice,jump_orient,WR,Bonus 1,record,zone_record,,-00:00.15,00:00.15,3416550,76561198366368448,[U:1:406102720],
2025-07-22,02:26.46,vice,jump_orient,WR,Map,record,map_record,,-00:07.59,00:08.43,3416550,76561198366368448,[U:1:406102720],
2025-07-25,02:24.38,sammy -sfc,jump_orient,WR,Map,record,map_record,,-00:05.73,00:05.73,3420251,76561199001307670,[U:1:1041041942],
2025-07-31,00:01.58,edkij gilnid,jump_orient,WR,Bonus 1,record,zone_record,,-00:00.04,00:00.04,3430076,76561199514776310,[U:1:1554510582],
