date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id,steam_candidates
2017-12-09,06:47.93,Santa Chuck,jump_pants_b2,WR,Ranked,,,,true,520984,,,
2017-12-09,06:47.93,resistance is fu,jump_pants_b2,WR,MapRun,56:51.77,+50:03.84,,true,520984,,,
2017-12-09,06:47.93,tripbwai,jump_pants_b2,WR,MapRun,1:29:22.34,+1:22:34.41,,true,520984,76561198109904512,[U:1:149638784],
2017-12-13,06:47.93,Gorge004,jump_pants_b2,WR,MapRun,07:52.76,+01:04.83,03:16.49,true,524802,76561198056605260,[U:1:96339532],
2017-12-13,06:47.93,kidder,jump_pants_b2,WR,MapRun,07:36.14,+00:48.21,03:02.53,true,524802,76561198000949987,[U:1:40684259],
2017-12-13,06:47.94,Gorge004,jump_pants_b2,WR,MapRun,08:12.91,+01:24.97,,true,524802,76561198056605260,[U:1:96339532],
2017-12-13,06:47.94,kidder,jump_pants_b2,WR,MapRun,10:38.68,+03:50.74,00:13.27,true,524802,76561198000949987,[U:1:40684259],
2017-12-13,06:47.94,kidder,jump_pants_b2,WR,MapRun,12:24.82,+05:36.88,,true,524802,76561198000949987,[U:1:40684259],
2017-12-13,06:47.94,kidder,jump_pants_b2,WR,MapRun,12:33.97,+05:46.03,,true,524802,76561198000949987,[U:1:40684259],
2017-12-15,06:13.66,Starkie,jump_pants_b2,WR,MapRun,23:52.24,+17:38.58,,true,526369,76561198008003429,[U:1:47737701],
2017-12-15,06:13.67,Starkie,jump_pants_b2,WR,MapRun,09:45.07,+03:31.40,07:39.90,true,526369,76561198008003429,[U:1:47737701],
2017-12-15,06:47.94,Draky™,jump_pants_b2,WR,MapRun,39:36.25,+32:48.31,,true,526369,76561198072399195,[U:1:112133467],
2017-12-15,06:47.94,kaptain,jump_pants_b2,WR,MapRun,08:54.41,+02:06.47,08:38.22,true,526369,76561198033727092,[U:1:73461364],
2017-12-15,06:47.94,kaptain,jump_pants_b2,WR,MapRun,17:32.64,+10:44.70,38:20.55,true,526369,76561198033727092,[U:1:73461364],
2017-12-15,06:13.66,kaptain,jump_pants_b2,WR,MapRun,07:36.41,+01:22.75,01:17.99,true,526524,76561198033727092,[U:1:73461364],
2018-06-09,04:51.04,poopdek,jump_pants_b2,WR,MapRun,1:16:56.03,+1:12:04.99,,true,673958,76561198041285102,[U:1:81019374],
2019-01-03,00:09.58,Boshy,jump_pants_b2,WR,Bonus 3,,,,false,857508,76561198046601398,[U:1:86335670],
2019-01-03,00:13.34,Boshy,jump_pants_b2,WR,Bonus 1,,,,false,857508,76561198046601398,[U:1:86335670],
2019-01-03,04:51.04,iTac,jump_pants_b2,WR,Compact,,,,false,857508,76561198108602947,[U:1:148337219],
2019-12-05,00:18.88,foxgirl,jump_pants_b2,WR,Bonus 2,,-00:01.72,00:03.76,false,1117392,76561198046601398,[U:1:86335670],
2020-03-17,00:18.23,Daelin,jump_pants_b2,WR,Bonus 2,,-00:00.02,00:02.79,false,1199241,76561198083131259,[U:1:122865531],
2020-03-17,04:51.04,Vadim.♿♿,jump_pants_b2,WR,MapRun,1:18:57.29,+1:14:06.25,,true,1199241,76561198006531064,[U:1:46265336],
2020-03-17,00:09.27,Boshy,jump_pants_b2,WR,Bonus 2,,-00:07.78,00:07.78,false,1199295,76561198046601398,[U:1:86335670],
2021-03-07,00:13.65,song,jump_pants_b2,WR,Bonus 1,,-00:00.12,00:00.15,false,1528759,76561198210286877,[U:1:250021149],
2021-06-10,04:51.04,DRIFTA,jump_pants_b2,WR,MapRun,46:43.36,+41:52.32,,true,1610061,76561198077555267,[U:1:117289539],
2021-06-10,04:51.04,ddavid9,jump_pants_b2,WR,MapRun,1:03:48.07,+58:57.03,,true,1610061,76561198098074486,[U:1:137808758],
2021-06-10,04:51.04,ir_-oh,jump_pants_b2,WR,MapRun,1:27:11.11,+1:22:20.07,,true,1610061,76561198118512004,[U:1:158246276],
2021-06-10,04:51.05,DRIFTA,jump_pants_b2,WR,MapRun,21:41.10,+16:50.05,25:02.26,true,1610061,76561198077555267,[U:1:117289539],
2021-06-10,04:51.05,ronv45,jump_pants_b2,WR,MapRun,1:00:21.90,+55:30.85,,true,1610061,76561198023181047,[U:1:62915319],
2021-06-10,04:51.05,wrath,jump_pants_b2,WR,MapRun,34:47.34,+29:56.29,,true,1610061,76561198102462417,[U:1:142196689],
2021-11-01,00:07.48,IV,jump_pants_b2,WR,Bonus 2,,-00:00.66,00:02.31,false,1752187,76561198036170813,[U:1:75905085],
2022-07-12,00:08.04,Skye,jump_pants_b2,WR,Bonus 3,,-00:00.70,00:00.70,false,1998869,76561197988619397,[U:1:28353669],
2022-07-13,00:08.02,Skye,jump_pants_b2,WR,Bonus 3,,-00:00.01,00:00.01,false,1999856,76561197988619397,[U:1:28353669],
2022-07-16,00:07.98,Skye,jump_pants_b2,WR,Bonus 3,,-00:00.04,00:00.04,false,2002587,76561197988619397,[U:1:28353669],
2022-08-01,04:51.05,Fluffie,jump_pants_b2,WR,MapRun,28:04.80,+23:13.75,,true,2019461,76561198028114870,[U:1:67849142],
2022-08-01,04:51.05,Shanks,jump_pants_b2,WR,MapRun,2:35:38.76,+2:30:47.71,,true,2019461,76561198049588377,[U:1:89322649],
2022-09-16,00:10.23,deluxeuser,jump_pants_b2,WR,Bonus 1,,-00:00.75,00:00.75,false,2059638,76561198417147943,[U:1:456882215],
2022-09-16,00:10.98,deluxeuser,jump_pants_b2,WR,Bonus 1,,-00:00.28,00:00.28,false,2059638,76561198417147943,[U:1:456882215],
2022-09-16,00:11.26,deluxeuser,jump_pants_b2,WR,Bonus 1,,-00:01.83,00:02.22,false,2059638,76561198417147943,[U:1:456882215],
2022-09-16,04:51.04,SLENDERMAN,jump_pants_b2,WR,MapRun,16:57.52,+12:06.48,,true,2059638,76561198059082549,[U:1:98816821],
2022-09-16,04:51.05,SLENDERMAN,jump_pants_b2,WR,MapRun,13:07.08,+08:16.03,,true,2059638,76561198059082549,[U:1:98816821],
2022-09-16,04:51.05,row,jump_pants_b2,WR,MapRun,49:56.16,+45:05.11,,true,2059638,76561199231624538,[U:1:1271358810],
2023-05-04,04:51.04,Star,jump_pants_b2,WR,MapRun,06:50.20,+01:59.16,,true,2304489,76561198243197910,[U:1:282932182],
2023-09-11,04:21.18,ixam -CC,jump_pants_b2,WR,MapRecord,,-00:24.60,00:34.51,false,2496636,76561198082109328,[U:1:121843600],
2023-09-11,04:45.78,Star,jump_pants_b2,WR,Compact,,,,false,2496636,,,
2023-09-11,04:45.78,ixam -CC,jump_pants_b2,WR,MapRun,04:55.69,+00:09.91,00:08.25,true,2496636,76561198082109328,[U:1:121843600],
2023-09-11,04:45.78,ixam -CC,jump_pants_b2,WR,MapRun,05:03.94,+00:18.16,00:02.55,true,2496636,76561198082109328,[U:1:121843600],
2023-09-11,04:45.78,ixam -CC,jump_pants_b2,WR,MapRun,05:43.77,+00:57.99,,true,2496636,76561198082109328,[U:1:121843600],
2023-09-11,04:45.78,newjuls,jump_pants_b2,WR,MapRun,05:48.84,+01:03.06,01:49.15,true,2496636,76561198396018338,[U:1:435752610],
2023-09-11,04:45.78,newjuls,jump_pants_b2,WR,MapRun,07:37.99,+02:52.21,02:00.37,true,2496636,76561198396018338,[U:1:435752610],
2023-09-11,04:45.78,newjuls,jump_pants_b2,WR,MapRun,10:31.71,+05:45.93,,true,2496636,76561198396018338,[U:1:435752610],
2023-09-11,04:45.78,riotbz,jump_pants_b2,WR,MapRun,05:42.15,+00:56.37,01:36.25,true,2496636,76561198065169685,[U:1:104903957],
2023-09-11,04:45.78,riotbz,jump_pants_b2,WR,MapRun,07:18.40,+02:32.62,02:06.88,true,2496636,76561198065169685,[U:1:104903957],
2024-02-07,04:21.18,Star,jump_pants_b2,WR,MapRun,08:19.38,+03:58.20,,true,2720285,76561198243197910,[U:1:282932182],
2024-02-07,04:21.18,Star,jump_pants_b2,WR,MapRun,08:20.74,+03:59.56,,true,2720285,76561198243197910,[U:1:282932182],
2024-02-07,04:21.18,bp12,jump_pants_b2,WR,MapRun,1:16:54.57,+1:12:33.39,,true,2720285,76561197973093864,[U:1:12828136],
2024-02-07,04:21.18,broz,jump_pants_b2,WR,MapRun,1:00:40.30,+56:19.12,,true,2720285,76561198823526581,[U:1:863260853],
2024-02-10,04:21.18,garf,jump_pants_b2,WR,MapRun,19:57.64,+15:36.46,,true,2725412,76561199243400809,[U:1:1283135081],
2024-02-20,04:21.18,ronz,jump_pants_b2,WR,MapRun,57:51.85,+53:30.67,,true,2739595,76561198202166884,[U:1:241901156],
2024-03-02,04:21.18,Noogai,jump_pants_b2,WR,MapRun,18:40.03,+14:18.85,,true,2756070,76561198120915268,[U:1:160649540],
2024-03-02,04:21.18,ᵐüˢˡⁱ,jump_pants_b2,WR,MapRun,32:01.65,+27:40.47,,true,2756070,76561198379555950,[U:1:419290222],
2024-03-06,04:21.18,kitty,jump_pants_b2,WR,MapRun,28:50.11,+24:28.93,,true,2762574,76561198085095003,[U:1:124829275],
2024-03-07,04:21.18,9gon Pepper,jump_pants_b2,WR,MapRun,1:45:45.58,+1:41:24.40,,true,2764071,76561198116645978,[U:1:156380250],
2024-03-07,04:21.18,Star,jump_pants_b2,WR,MapRun,07:08.10,+02:46.92,,true,2764071,76561198243197910,[U:1:282932182],
2024-03-07,04:21.18,Star,jump_pants_b2,WR,MapRun,09:07.33,+04:46.15,,true,2764071,76561198243197910,[U:1:282932182],
2024-03-07,04:21.18,Star,jump_pants_b2,WR,MapRun,13:01.99,+08:40.81,,true,2764071,76561198243197910,[U:1:282932182],
2024-03-07,04:21.18,danmar33 of the,jump_pants_b2,WR,MapRun,30:43.75,+26:22.57,,true,2764071,,,
2024-03-07,04:21.18,ocramep,jump_pants_b2,WR,MapRun,50:24.40,+46:03.22,,true,2764071,76561198165634208,[U:1:205368480],
2024-03-15,04:21.18,Penny,jump_pants_b2,WR,MapRun,1:23:01.54,+1:18:40.36,,true,2774184,76561198857391400,[U:1:897125672],
2024-03-15,04:21.18,Virtu,jump_pants_b2,WR,MapRun,1:15:13.29,+1:10:52.11,,true,2774184,76561198343298434,[U:1:383032706],
2024-03-15,04:21.18,rocha,jump_pants_b2,WR,MapRun,1:22:06.42,+1:17:45.24,,true,2774184,76561198124806363,[U:1:164540635],
2024-03-17,04:21.18,Star,jump_pants_b2,WR,MapRun,08:07.44,+03:46.26,,true,2778212,76561198243197910,[U:1:282932182],
2024-03-17,04:21.18,Zagrfige,jump_pants_b2,WR,MapRun,08:59.62,+04:38.44,00:26.29,true,2778212,76561198392773187,[U:1:432507459],
2024-03-17,04:21.18,Zagrfige,jump_pants_b2,WR,MapRun,09:25.92,+05:04.74,02:07.92,true,2778212,76561198392773187,[U:1:432507459],
2024-03-17,04:21.18,Zagrfige,jump_pants_b2,WR,MapRun,11:33.84,+07:12.66,26:38.49,true,2778212,76561198392773187,[U:1:432507459],
2024-03-18,04:21.18,garden gnome jel,jump_pants_b2,WR,MapRun,37:19.86,+32:58.68,,true,2778588,,,
2024-03-18,04:21.18,spidda,jump_pants_b2,WR,MapRun,12:21.06,+07:59.88,08:41.43,true,2778588,76561198057436685,[U:1:97170957],
