date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id,steam_candidates
2021-05-28,02:41.07,maxxy,jump_plunder_final,WR,IRC,,-01:27.04,,false,1599756,,,
2021-05-28,04:08.11,♫Delirious♫,jump_plunder_final,WR,IRCSet,,,,false,1599756,,,
2021-05-28,02:41.07,maxxy,jump_plunder_final,WR,IRC,,-01:27.04,,false,1599843,,,
2021-05-28,04:08.11,♫Delirious♫,jump_plunder_final,WR,IRCSet,,,,false,1599843,,,
2021-05-28,02:41.07,maxxy,jump_plunder_final,WR,IRC,,-01:27.04,,false,1599992,76561198083235528,[U:1:122969800],
2021-05-28,04:08.11,♫Delirious♫,jump_plunder_final,WR,IRCSet,,,,false,1599992,,,
2021-05-28,02:41.07,maxxy,jump_plunder_final,WR,IRC,,-01:27.04,,false,1599997,76561198083235528,[U:1:122969800],
2021-05-28,04:08.11,♫Delirious♫,jump_plunder_final,WR,IRCSet,,,,false,1599997,76561198057735172,[U:1:97469444],
2021-05-28,01:18.42,Face,jump_plunder_final,WR,MapRun,03:37.21,+02:18.79,,true,1600003,76561198010648520,[U:1:50382792],
2021-05-28,01:18.42,SMORT,jump_plunder_final,WR,MapRun,06:14.16,+04:55.74,,true,1600003,76561198026699627,[U:1:66433899],
2021-05-28,01:18.42,This guy just de,jump_plunder_final,WR,MapRun,03:19.81,+02:01.39,,true,1600003,,,
2021-05-28,01:18.42,johnson,jump_plunder_final,WR,MapRun,09:51.94,+08:33.52,,true,1600003,76561198134266094,[U:1:174000366],
2021-05-28,01:47.40,Fluffie,jump_plunder_final,WR,MapRun,04:45.73,+02:58.33,,true,1600003,76561198028114870,[U:1:67849142],
2021-05-28,01:47.40,andro,jump_plunder_final,WR,MapRun,09:50.79,+08:03.39,,true,1600003,76561198281630040,[U:1:321364312],
2021-05-28,01:47.40,bron's plan,jump_plunder_final,WR,MapRun,12:45.70,+10:58.30,,true,1600003,76561198068840752,[U:1:108575024],
2021-05-28,01:47.40,cringe,jump_plunder_final,WR,MapRun,07:14.11,+05:26.71,,true,1600003,76561198133806310,[U:1:173540582],
2021-05-28,01:47.40,makly,jump_plunder_final,WR,MapRun,02:30.27,+00:42.87,,true,1600003,76561197976761681,[U:1:16495953],
2021-05-28,01:47.40,speedyll,jump_plunder_final,WR,MapRun,14:08.02,+12:20.62,,true,1600003,76561198207307879,[U:1:247042151],
2021-05-28,01:51.96,Tombah,jump_plunder_final,WR,MapRun,05:49.68,+03:57.72,,true,1600003,76561198011223077,[U:1:50957349],
2021-05-28,01:51.96,Udo2700,jump_plunder_final,WR,MapRun,06:55.69,+05:03.73,,true,1600003,76561198979680671,[U:1:1019414943],
2021-05-28,02:26.17,mp,jump_plunder_final,WR,MapRun,06:49.06,+04:22.89,,true,1600003,76561198067831006,[U:1:107565278],
2021-05-28,02:41.07,maxxy,jump_plunder_final,WR,IRC,,-01:27.04,,false,1600003,,,
2021-05-28,04:08.11,♫Delirious♫,jump_plunder_final,WR,FirstRecord,,,,false,1600003,76561198057735172,[U:1:97469444],
2021-05-28,01:47.40,Dinky.Hotchkiss,jump_plunder_final,WR,MapRun,19:34.09,+17:46.69,,true,1600005,76561198041796560,[U:1:81530832],
2021-05-28,01:51.96,Kyle,jump_plunder_final,WR,MapRun,11:19.14,+09:27.18,,true,1600005,76561198065151241,[U:1:104885513],
2021-05-28,01:51.96,fibu,jump_plunder_final,WR,MapRun,11:27.19,+09:35.23,,true,1600005,76561198060274494,[U:1:100008766],
2021-05-28,02:41.07,maxxy,jump_plunder_final,WR,MapRecord,,-01:27.04,,false,1600005,76561198083235528,[U:1:122969800],
2021-05-28,04:08.11,♫Delirious♫,jump_plunder_final,WR,IRCSet,,,,false,1600005,,,
