date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id,steam_candidates
2018-07-28,02:03.33,yeye,jump_prism_final,WR,MapRun,09:42.66,+07:39.33,,true,719600,76561198120630343,[U:1:160364615],
2018-07-28,02:00.11,Boshy,jump_prism_final,WR,MapRecord,,-00:00.96,00:03.21,false,719860,76561198046601398,[U:1:86335670],
2018-12-31,01:57.66,twitch.tv/arving,jump_prism_final,WR,MapRecord,,-00:02.45,00:20.24,false,854562,,,
2018-12-31,02:00.11,twitch.tv/arving,jump_prism_final,WR,MapRun,02:20.84,+00:20.73,,true,854562,,,
2018-12-31,01:56.02,Boshy,jump_prism_final,WR,IRC,,-00:01.63,,false,854768,,,
2018-12-31,01:56.02,Boshy,jump_prism_final,WR,MapRecord,,-00:01.63,00:04.09,false,854854,76561198046601398,[U:1:86335670],
2018-12-31,01:57.66,Boshy,jump_prism_final,WR,MapRun,02:26.71,+00:29.05,,true,854854,76561198046601398,[U:1:86335670],
2018-12-31,01:56.02,Boshy,jump_prism_final,WR,IRC,,-00:01.63,,false,854867,,,
2019-01-22,01:48.27,twitch.tv/newjul,jump_prism_final,WR,MapRecord,,-00:07.75,00:07.75,false,873229,,,
2019-01-22,01:56.02,porkie,jump_prism_final,WR,MapRun,02:48.46,+00:52.44,00:53.24,true,873229,76561198054239403,[U:1:93973675],
2019-01-22,01:56.03,.flac,jump_prism_final,WR,MapRun,08:59.44,+07:03.41,,true,873229,76561198039312327,[U:1:79046599],
2019-01-22,01:56.03,Van Dyke,jump_prism_final,WR,MapRun,17:52.20,+15:56.17,,true,873229,76561198149289770,[U:1:189024042],
2019-01-22,01:56.03,porkie,jump_prism_final,WR,MapRun,02:31.65,+00:35.62,00:16.81,true,873229,76561198054239403,[U:1:93973675],
2019-01-22,01:56.03,porkie,jump_prism_final,WR,MapRun,03:41.71,+01:45.68,01:15.25,true,873229,76561198054239403,[U:1:93973675],
2019-01-22,01:56.03,porkie,jump_prism_final,WR,MapRun,04:56.97,+03:00.94,05:07.66,true,873229,76561198054239403,[U:1:93973675],
2021-11-18,01:48.27,Salty,jump_prism_final,WR,MapRun,02:08.38,+00:20.11,00:18.82,true,1769811,76561198070497462,[U:1:110231734],
2022-03-11,01:42.61,Let Me Drop MMR,jump_prism_final,WR,MapRecord,,-00:05.66,00:10.57,false,1883879,76561198126091800,[U:1:165826072],
2022-03-11,01:42.61,ɪsʜ,jump_prism_final,WR,MapRun,22:48.49,+21:05.88,,true,1883879,76561198996353852,[U:1:1036088124],
2022-03-11,01:48.27,Let Me Drop MMR,jump_prism_final,WR,MapRun,01:53.19,+00:04.92,00:06.31,true,1883879,76561198126091800,[U:1:165826072],
2022-03-11,01:48.27,Let Me Drop MMR,jump_prism_final,WR,MapRun,01:53.38,+00:05.11,,true,1883879,76561198126091800,[U:1:165826072],
2022-03-11,01:48.27,Let Me Drop MMR,jump_prism_final,WR,MapRun,01:56.23,+00:07.96,,true,1883879,76561198126091800,[U:1:165826072],
2022-03-11,01:48.27,Let Me Drop MMR,jump_prism_final,WR,MapRun,01:59.19,+00:10.92,,true,1883879,76561198126091800,[U:1:165826072],
2022-03-11,01:48.27,Let Me Drop MMR,jump_prism_final,WR,MapRun,01:59.50,+00:11.23,00:03.03,true,1883879,76561198126091800,[U:1:165826072],
2022-03-11,01:48.27,Let Me Drop MMR,jump_prism_final,WR,MapRun,02:06.16,+00:17.89,,true,1883879,76561198126091800,[U:1:165826072],
2022-03-11,01:42.61,Let Me Drop MMR,jump_prism_final,WR,IRC,,-00:05.66,,false,1883940,,,
2023-05-12,01:41.08,Helmi.,jump_prism_final,WR,MapRecord,,-00:01.53,00:06.18,false,2314814,76561198201985399,[U:1:241719671],
2023-05-12,01:42.61,Helmi.,jump_prism_final,WR,MapRun,01:47.26,+00:04.65,00:05.26,true,2314814,76561198201985399,[U:1:241719671],
2023-05-12,01:42.62,Helmi.,jump_prism_final,WR,MapRun,01:52.53,+00:09.91,00:10.18,true,2314814,76561198201985399,[U:1:241719671],
2024-02-10,01:41.08,cutegirl999,jump_prism_final,WR,MapRun,06:21.55,+04:40.47,,true,2725029,76561198039506482,[U:1:79240754],
2024-02-10,01:41.09,SLUBBER FOOT,jump_prism_final,WR,MapRun,10:17.79,+08:36.70,,true,2725987,76561198183060018,[U:1:222794290],
