date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id
2014-10-30,04:35.00,Vice,jump_proto_a2,WR,IRCSet,,,,false,27161,,
2014-10-30,01:26.18,sinpooky,jump_proto_a2,WR,IRC,,-00:17.70,,false,27164,,
2014-10-30,01:24.86,Fossssssssilssss,jump_proto_a2,WR,IRC,,-00:01.31,,false,27270,,
2014-10-31,01:22.67,sinpooky,jump_proto_a2,WR,MapRecord,,-00:02.19,00:03.51,false,27408,76561198067226764,[U:1:106961036]
2014-11-01,01:20.64,dono,jump_proto_a2,WR,MapRecord,,-00:02.02,00:06.48,false,27658,76561197993416444,[U:1:33150716]
2014-11-02,01:19.16,Executioner,jump_proto_a2,WR,IRC,,-00:01.47,,false,27889,,
2014-11-16,01:16.40,Kucino <3 LeraYn,jump_proto_a2,WR,MapRecord,,-00:02.75,00:11.58,false,30929,76561198045405184,[U:1:85139456]
2015-03-15,01:14.99,Ltfx,jump_proto_a2,WR,MapRecord,,-00:01.41,00:02.43,false,70809,76561198051610309,[U:1:91344581]
2015-06-23,01:12.97,Soup Can,jump_proto_a2,WR,MapRecord,,-00:02.02,00:03.05,false,109875,76561198029285343,[U:1:69019615]
2017-11-18,01:02.54,vice,jump_proto_a2,WR,IRC,,-00:02.18,,false,506043,,
2023-05-20,00:59.29,vice,jump_proto_a2,WR,MapRecord,,-00:00.90,00:00.90,false,2327073,76561198366368448,[U:1:406102720]
