date,record_time,player,map,record_type,segment,evidence,evidence_source,run_time,split,improvement,demo_id,steam_id64,steam_id,steam_candidates
2014-10-30,04:30.43,Vice,jump_proto_a2,WR,Map,record,first_record,,,,27165,76561197960496196,[U:1:230468],
2014-10-30,03:05.70,Vice,jump_proto_a2,WR,Map,record,map_record,,-01:24.72,01:24.72,27165,76561197960496196,[U:1:230468],
2014-10-30,02:23.44,Vice,jump_proto_a2,WR,Map,record,map_record,,-00:42.26,00:42.26,27165,76561197960496196,[U:1:230468],
2014-10-30,02:18.25,Torii,jump_proto_a2,WR,Map,record,map_record,,-00:05.18,00:47.86,27165,76561198017342289,[U:1:57076561],
2014-10-31,01:59.50,dd5f,jump_proto_a2,WR,Map,record,map_record,,-00:18.75,00:23.62,27496,76561198059797692,[U:1:99531964],
2014-10-31,01:56.14,Brock,jump_proto_a2,WR,Map,record,map_record,,-00:03.35,00:28.43,27505,76561198037486453,[U:1:77220725],
2014-10-31,01:44.69,Brock,jump_proto_a2,WR,Map,record,map_record,,-00:11.44,00:11.44,27505,76561198037486453,[U:1:77220725],
2014-11-01,01:42.53,Brock,jump_proto_a2,WR,Map,record,map_record,,-00:02.16,00:02.16,27706,76561198037486453,[U:1:77220725],
2015-01-18,01:38.08,Torii,jump_proto_a2,WR,Map,record,map_record,,-00:04.45,00:23.96,51555,76561198017342289,[U:1:57076561],
2018-09-21,01:19.00,kidder,jump_proto_a2,WR,Map,record,map_record,,-00:03.19,00:03.19,767874,76561198000949987,[U:1:40684259],
2019-12-22,01:17.62,teardrop,jump_proto_a2,WR,Map,record,map_record,,-00:01.38,00:04.19,1130014,76561198066947056,[U:1:106681328],
2020-07-17,01:16.18,twitch.tv/boshyt,jump_proto_a2,WR,Map,record,map_record,,-00:01.43,00:04.67,1303297,,,
2022-12-08,01:16.09,betteroffx,jump_proto_a2,WR,Map,record,map_record,,-00:00.24,00:00.24,2140817,76561198111359203,[U:1:151093475],
2023-10-13,01:15.90,AerEE,jump_proto_a2,WR,Map,record,map_record,,-00:00.19,00:03.55,2544428,76561198065367158,[U:1:105101430],
2023-10-20,01:14.61,AerEE,jump_proto_a2,WR,Map,record,map_record,,-00:01.29,00:01.29,2554429,76561198065367158,[U:1:105101430],
2023-10-29,01:14.49,AerEE,jump_proto_a2,WR,Map,record,map_record,,-00:00.12,00:00.12,2568177,76561198065367158,[U:1:105101430],
2023-11-11,01:13.50,proto choker,jump_proto_a2,WR,Map,record,map_record,,-00:00.99,00:00.99,2587061,,,
2023-11-16,01:13.23,AerEE,jump_proto_a2,WR,Map,record,map_record,,-00:00.27,00:00.27,2594796,76561198065367158,[U:1:105101430],
2023-11-22,01:11.44,XXII,jump_proto_a2,WR,Map,record,map_record,,-00:01.78,00:01.78,2603163,,,
