date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id,steam_candidates
2018-06-10,11:14.41,and uhh  dog,jump_psionic,WR,IRC,,-06:16.78,,false,674285,,,
2018-06-10,17:31.20,baldrick,jump_psionic,WR,IRCSet,,,,false,674285,,,
2018-06-10,11:14.41,and uhh  dog,jump_psionic,WR,IRC,,-06:16.78,,false,674301,,,
2018-06-10,17:31.20,baldrick,jump_psionic,WR,IRCSet,,,,false,674301,,,
2018-06-10,11:14.41,and uhh  dog,jump_psionic,WR,IRC,,-06:16.78,,false,674302,,,
2018-06-10,17:31.20,baldrick,jump_psionic,WR,IRCSet,,,,false,674302,,,
2018-06-10,11:14.41,and uhh  dog,jump_psionic,WR,MapRecord,,-06:16.78,08:31.47,false,674307,76561198396018338,[U:1:435752610],
2018-06-10,17:31.20,baldrick,jump_psionic,WR,FirstRecord,,,,false,674307,76561198070882254,[U:1:110616526],
2018-06-10,17:31.20,and uhh  dog,jump_psionic,WR,MapRun,19:45.88,+02:14.68,,true,674307,76561198396018338,[U:1:435752610],
2018-06-10,11:14.41,and uhh  dog,jump_psionic,WR,IRC,,-06:16.78,,false,674311,,,
2018-06-10,11:14.41,vov&sons,jump_psionic,WR,MapRun,46:54.72,+35:40.31,,true,674311,76561198074337139,[U:1:114071411],
2018-06-10,17:31.20,baldrick,jump_psionic,WR,IRCSet,,,,false,674311,,,
2018-06-10,11:14.41,and uhh  dog,jump_psionic,WR,IRC,,-06:16.78,,false,674322,76561198396018338,[U:1:435752610],
2018-06-10,11:14.41,and uhh  dog,jump_psionic,WR,IRC,,-06:16.78,,false,674328,,,
2018-06-10,11:14.41,and uhh  dog,jump_psionic,WR,IRC,,-06:16.78,,false,674332,,,
2018-06-10,10:09.42,Zike1017 ツ | b,jump_psionic,WR,IRC,,-01:04.99,,false,674424,,,
2018-06-10,11:14.41,vov&sons,jump_psionic,WR,MapRun,17:22.03,+06:07.62,29:32.69,true,674438,76561198074337139,[U:1:114071411],
2018-06-10,10:09.42,Zike1017 ツ | b,jump_psionic,WR,IRC,,-01:04.99,,false,674440,,,
2018-06-10,10:09.42,Zike1017 ツ | b,jump_psionic,WR,IRC,,-01:04.99,,false,674514,,,
2018-06-10,10:09.42,Zike1017 ツ | b,jump_psionic,WR,IRC,,-01:04.99,,false,674534,,,
2018-06-10,10:09.42,Zike1017 ツ | b,jump_psionic,WR,MapRecord,,-01:04.99,08:50.90,false,674542,,,
2018-06-10,11:14.41,Zike1017 ツ | b,jump_psionic,WR,MapRun,19:00.32,+07:45.91,22:40.05,true,674542,,,
2018-06-10,11:14.41,and uhh  dog,jump_psionic,WR,Ranked,,,,true,674542,,,
2018-06-10,11:14.42,Zike1017 ツ | b,jump_psionic,WR,MapRun,41:40.38,+30:25.96,,true,674542,,,
2018-06-10,10:09.42,Zike1017 ツ | b,jump_psionic,WR,IRC,,-01:04.99,,false,674557,,,
2018-06-10,10:09.42,Zike1017 ツ | b,jump_psionic,WR,IRC,,-01:04.99,,false,674563,,,
2018-06-10,10:09.42,Zike1017 ツ | b,jump_psionic,WR,IRC,,-01:04.99,,false,674581,,,
2018-06-11,10:09.42,cutting edge kni,jump_psionic,WR,MapRun,40:57.16,+30:47.74,,true,675184,,,
2018-06-11,10:09.42,deceptive,jump_psionic,WR,MapRun,42:11.80,+32:02.38,,true,675184,76561198281755237,[U:1:321489509],
2018-06-11,10:09.42,Zike1017 ツ | b,jump_psionic,WR,Compact,,,,false,675374,,,
